suite,task_id,scenario_id,model_id,track,n_success,n_total,fail_count,fail_rate,mse_mean,mse_std,mse_sem,mse_ci95,mse_db_mean,mse_db_std,mse_db_sem,mse_db_ci95,rmse_mean,rmse_std,rmse_sem,rmse_ci95,timing_ms_per_step_mean,timing_ms_per_step_std,timing_ms_per_step_sem,timing_ms_per_step_ci95,recovery_k_mean,recovery_k_std,recovery_k_sem,recovery_k_ci95,nll_mean,nll_std,nll_sem,nll_ci95
shift,C_shift_Rscale_v0,3211e34db732,adaptive_knet,frozen,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,3211e34db732,kalmannet_tsp,frozen,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,339fdebda713,adaptive_knet,budgeted,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,339fdebda713,adaptive_knet,frozen,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,339fdebda713,kalmannet_tsp,budgeted,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,339fdebda713,kalmannet_tsp,frozen,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,339fdebda713,my_model,budgeted,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,339fdebda713,my_model,frozen,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,4c92537d0279,kalmannet_tsp,frozen,1,1,0,0.0,1280920334687047.8,0.0,0.0,0.0,151.07522120157108,0.0,0.0,0.0,35789947.39709808,0.0,0.0,0.0,0.028830690959985077,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,,,
shift,C_shift_Rscale_v0,9929a388f02b,adaptive_knet,frozen,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,9929a388f02b,kalmannet_tsp,frozen,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,b82eac38c3a2,adaptive_knet,budgeted,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,b82eac38c3a2,adaptive_knet,frozen,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,b82eac38c3a2,kalmannet_tsp,budgeted,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,b82eac38c3a2,kalmannet_tsp,frozen,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,b82eac38c3a2,my_model,budgeted,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,b82eac38c3a2,my_model,frozen,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,f46f1dd56990,adaptive_knet,budgeted,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,f46f1dd56990,adaptive_knet,frozen,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,f46f1dd56990,kalmannet_tsp,budgeted,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,f46f1dd56990,kalmannet_tsp,frozen,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,f46f1dd56990,my_model,budgeted,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,f46f1dd56990,my_model,frozen,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,f5bf58828b48,adaptive_knet,frozen,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,f5bf58828b48,kalmannet_tsp,frozen,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
