model_id,baseline_mode,is_oracle_kf,init_id,track_id,task_id,scenario_id,seed,x_dim,y_dim,T,q2,r2,inv_r2_db,mse_db,mse,rmse,run_dir
adaptive_knet,,False,untrained,frozen,A_linear_canonical_v0,6342acad14a9,0,5,5,100,0.001,1.0,-0.0,450.2674471052551,1.0635176713843907e+45,3.2611618656307e+22,/home/xynus/bench/runs/all_simple_paperlike/A_linear_canonical_v0/adaptive_knet/frozen/seed_0/scenario_6342acad14a9/init_untrained
adaptive_knet,,False,untrained,frozen,A_linear_canonical_v0,e430cbdcf2b5,0,5,5,100,0.001,0.01,20.0,457.7213501693278,5.917455721655975e+45,7.692500062824812e+22,/home/xynus/bench/runs/all_simple_paperlike/A_linear_canonical_v0/adaptive_knet/frozen/seed_0/scenario_e430cbdcf2b5/init_untrained
adaptive_knet,,False,untrained,frozen,A_linear_canonical_v0,eb80d13a14d9,0,5,5,100,0.001,0.1,10.0,447.8869921411205,6.147509578810294e+44,2.4794171853099455e+22,/home/xynus/bench/runs/all_simple_paperlike/A_linear_canonical_v0/adaptive_knet/frozen/seed_0/scenario_eb80d13a14d9/init_untrained
adaptive_knet,,False,untrained,frozen,A_linear_canonical_v0,ebdd3128c726,0,5,5,100,0.001,10.0,-10.0,382.8403524054693,1.9232477832853137e+38,1.3868120937190134e+19,/home/xynus/bench/runs/all_simple_paperlike/A_linear_canonical_v0/adaptive_knet/frozen/seed_0/scenario_ebdd3128c726/init_untrained
adaptive_knet,,False,untrained,frozen,A_linear_canonical_v0,fd75d1016844,0,5,5,100,0.001,0.001,30.0,460.4320160810718,1.1045912740656284e+46,1.0509953729991529e+23,/home/xynus/bench/runs/all_simple_paperlike/A_linear_canonical_v0/adaptive_knet/frozen/seed_0/scenario_fd75d1016844/init_untrained
kalmannet_tsp,,False,untrained,frozen,A_linear_canonical_v0,6342acad14a9,0,5,5,100,0.001,1.0,-0.0,57.82659977453818,606261.4829109198,778.6279489659486,/home/xynus/bench/runs/all_simple_paperlike/A_linear_canonical_v0/kalmannet_tsp/frozen/seed_0/scenario_6342acad14a9/init_untrained
kalmannet_tsp,,False,untrained,frozen,A_linear_canonical_v0,e430cbdcf2b5,0,5,5,100,0.001,0.01,20.0,61.36810064443161,1370282.352003991,1170.5905996564259,/home/xynus/bench/runs/all_simple_paperlike/A_linear_canonical_v0/kalmannet_tsp/frozen/seed_0/scenario_e430cbdcf2b5/init_untrained
kalmannet_tsp,,False,untrained,frozen,A_linear_canonical_v0,eb80d13a14d9,0,5,5,100,0.001,0.1,10.0,62.30264340009307,1699277.629195171,1303.563435048395,/home/xynus/bench/runs/all_simple_paperlike/A_linear_canonical_v0/kalmannet_tsp/frozen/seed_0/scenario_eb80d13a14d9/init_untrained
kalmannet_tsp,,False,untrained,frozen,A_linear_canonical_v0,ebdd3128c726,0,5,5,100,0.001,10.0,-10.0,54.79942011253427,301954.8511217426,549.504186628039,/home/xynus/bench/runs/all_simple_paperlike/A_linear_canonical_v0/kalmannet_tsp/frozen/seed_0/scenario_ebdd3128c726/init_untrained
kalmannet_tsp,,False,untrained,frozen,A_linear_canonical_v0,fd75d1016844,0,5,5,100,0.001,0.001,30.0,63.86618773885829,2435671.8334035557,1560.663907894187,/home/xynus/bench/runs/all_simple_paperlike/A_linear_canonical_v0/kalmannet_tsp/frozen/seed_0/scenario_fd75d1016844/init_untrained
maml_knet,,False,untrained,frozen,A_linear_canonical_v0,6342acad14a9,0,5,5,100,0.001,1.0,-0.0,608.8684113746671,7.70621528383965e+60,2.7760070756105164e+30,/home/xynus/bench/runs/all_simple_paperlike/A_linear_canonical_v0/maml_knet/frozen/seed_0/scenario_6342acad14a9/init_untrained
maml_knet,,False,untrained,frozen,A_linear_canonical_v0,e430cbdcf2b5,0,5,5,100,0.001,0.01,20.0,603.5721056250142,2.2762007520796413e+60,1.508708305829739e+30,/home/xynus/bench/runs/all_simple_paperlike/A_linear_canonical_v0/maml_knet/frozen/seed_0/scenario_e430cbdcf2b5/init_untrained
maml_knet,,False,untrained,frozen,A_linear_canonical_v0,eb80d13a14d9,0,5,5,100,0.001,0.1,10.0,594.3170021701475,2.7020925310405806e+59,5.198165571661392e+29,/home/xynus/bench/runs/all_simple_paperlike/A_linear_canonical_v0/maml_knet/frozen/seed_0/scenario_eb80d13a14d9/init_untrained
maml_knet,,False,untrained,frozen,A_linear_canonical_v0,ebdd3128c726,0,5,5,100,0.001,10.0,-10.0,702.2478806926016,1.6779849808200336e+70,1.295370595937716e+35,/home/xynus/bench/runs/all_simple_paperlike/A_linear_canonical_v0/maml_knet/frozen/seed_0/scenario_ebdd3128c726/init_untrained
maml_knet,,False,untrained,frozen,A_linear_canonical_v0,fd75d1016844,0,5,5,100,0.001,0.001,30.0,617.8713833521034,6.1254547390156e+61,7.826528437957407e+30,/home/xynus/bench/runs/all_simple_paperlike/A_linear_canonical_v0/maml_knet/frozen/seed_0/scenario_fd75d1016844/init_untrained
mb_kf_nominal,nominal,False,untrained,frozen,A_linear_canonical_v0,6342acad14a9,0,5,5,100,0.001,1.0,-0.0,-10.862242011603506,0.08199281534985856,0.28634387604741707,/home/xynus/bench/runs/all_simple_paperlike/A_linear_canonical_v0/mb_kf_nominal/frozen/seed_0/scenario_6342acad14a9
mb_kf_nominal,nominal,False,untrained,frozen,A_linear_canonical_v0,e430cbdcf2b5,0,5,5,100,0.001,0.01,20.0,-25.014781030308594,0.003151533275355321,0.056138518642330784,/home/xynus/bench/runs/all_simple_paperlike/A_linear_canonical_v0/mb_kf_nominal/frozen/seed_0/scenario_e430cbdcf2b5
mb_kf_nominal,nominal,False,untrained,frozen,A_linear_canonical_v0,eb80d13a14d9,0,5,5,100,0.001,0.1,10.0,-18.119478180371917,0.015418857046447838,0.12417269042123488,/home/xynus/bench/runs/all_simple_paperlike/A_linear_canonical_v0/mb_kf_nominal/frozen/seed_0/scenario_eb80d13a14d9
mb_kf_nominal,nominal,False,untrained,frozen,A_linear_canonical_v0,ebdd3128c726,0,5,5,100,0.001,10.0,-10.0,-3.7398259987839615,0.4226855489330336,0.6501427142812827,/home/xynus/bench/runs/all_simple_paperlike/A_linear_canonical_v0/mb_kf_nominal/frozen/seed_0/scenario_ebdd3128c726
mb_kf_nominal,nominal,False,untrained,frozen,A_linear_canonical_v0,fd75d1016844,0,5,5,100,0.001,0.001,30.0,-31.16971206155682,0.0007638864277803368,0.02763849539646355,/home/xynus/bench/runs/all_simple_paperlike/A_linear_canonical_v0/mb_kf_nominal/frozen/seed_0/scenario_fd75d1016844
