suite,task_id,scenario_id,model_id,track,seed,status,mse,mse_db,rmse,timing_ms_per_step,recovery_k,nll,run_dir,error
basic,A_linear_canonical_v0,fd75d1016844,adaptive_knet,budgeted,0,missing,,,,,,,,
basic,A_linear_canonical_v0,fd75d1016844,adaptive_knet,budgeted,1,missing,,,,,,,,
basic,A_linear_canonical_v0,fd75d1016844,adaptive_knet,budgeted,2,missing,,,,,,,,
basic,A_linear_canonical_v0,fd75d1016844,adaptive_knet,frozen,0,missing,,,,,,,,
basic,A_linear_canonical_v0,fd75d1016844,adaptive_knet,frozen,1,missing,,,,,,,,
basic,A_linear_canonical_v0,fd75d1016844,adaptive_knet,frozen,2,missing,,,,,,,,
basic,A_linear_canonical_v0,fd75d1016844,kalmannet_tsp,budgeted,0,missing,,,,,,,,
basic,A_linear_canonical_v0,fd75d1016844,kalmannet_tsp,budgeted,1,missing,,,,,,,,
basic,A_linear_canonical_v0,fd75d1016844,kalmannet_tsp,budgeted,2,missing,,,,,,,,
basic,A_linear_canonical_v0,fd75d1016844,kalmannet_tsp,frozen,0,missing,,,,,,,,
basic,A_linear_canonical_v0,fd75d1016844,kalmannet_tsp,frozen,1,missing,,,,,,,,
basic,A_linear_canonical_v0,fd75d1016844,kalmannet_tsp,frozen,2,missing,,,,,,,,
basic,A_linear_canonical_v0,fd75d1016844,my_model,budgeted,0,missing,,,,,,,,
basic,A_linear_canonical_v0,fd75d1016844,my_model,budgeted,1,missing,,,,,,,,
basic,A_linear_canonical_v0,fd75d1016844,my_model,budgeted,2,missing,,,,,,,,
basic,A_linear_canonical_v0,fd75d1016844,my_model,frozen,0,missing,,,,,,,,
basic,A_linear_canonical_v0,fd75d1016844,my_model,frozen,1,missing,,,,,,,,
basic,A_linear_canonical_v0,fd75d1016844,my_model,frozen,2,missing,,,,,,,,
