suite,task_id,scenario_id,model_id,seed,init_id,track_id,track,status,failure_type,failure_stage,mse,mse_db,rmse,x_dim,y_dim,T,q2,r2,inv_r2_db,nll,recovery_k,t0,severity_r_scale,timing_ms_per_step,train_time_s,eval_time_s,adapt_time_s,total_time_s,train_updates_used,adapt_updates_used,adapt_updates_per_step_max,train_max_updates,adapt_max_updates,adapt_max_updates_per_step,cache_enabled,cache_hit,train_skipped,cache_key,run_dir,error
fig5a_kalmannet_tsp_light,F5aL_m2n2_T100_invR2db_0,4f09cc90108a,kalmannet_tsp,0,untrained,frozen,frozen,ok,,,2033097.25,63.08158152926392,1425.8671922728288,2,2,100,1.0,1.0,-0.0,,,,,0.015511253125168878,,0.09927202000108082,,0.09927202000108082,0,0,0,300,0,0,False,False,False,,/home/xynus/bench/runs/fig5a_kalmannet_tsp_light/F5aL_m2n2_T100_invR2db_0/kalmannet_tsp/frozen/seed_0/scenario_4f09cc90108a,
fig5a_kalmannet_tsp_light,F5aL_m2n2_T100_invR2db_0,91989ac41db2,kalmannet_tsp,0,untrained,frozen,frozen,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/xynus/bench/runs/fig5a_kalmannet_tsp_light/F5aL_m2n2_T100_invR2db_0/kalmannet_tsp/frozen/seed_0/scenario_91989ac41db2,missing_data: expected test split at /home/xynus/bench/bench_data_cache/fig5a_kalmannet_tsp_light/F5aL_m2n2_T100_invR2db_0/scenario_91989ac41db2/seed_0/test.npz
fig5a_kalmannet_tsp_light,F5aL_m2n2_T100_invR2db_20,287ba0a13518,kalmannet_tsp,0,unknown,frozen,frozen,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig5a_kalmannet_tsp_light,F5aL_m2n2_T100_invR2db_20,2c405e4617ac,kalmannet_tsp,0,untrained,frozen,frozen,ok,,,450827.28125,56.540101889575666,671.436729148771,2,2,100,0.01,0.01,20.0,,,,,0.015385342343279262,,0.09846619099698728,,0.09846619099698728,0,0,0,300,0,0,False,False,False,,/home/xynus/bench/runs/fig5a_kalmannet_tsp_light/F5aL_m2n2_T100_invR2db_20/kalmannet_tsp/frozen/seed_0/scenario_2c405e4617ac,
fig5a_kalmannet_tsp_light,F5aL_m2n2_T100_invR2db_40,649f9bb3b4ff,kalmannet_tsp,0,unknown,frozen,frozen,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig5a_kalmannet_tsp_light,F5aL_m2n2_T100_invR2db_40,9a0d665da69f,kalmannet_tsp,0,untrained,frozen,frozen,ok,,,517726.09375,57.14100054273053,719.5318573558783,2,2,100,0.0001,0.0001,40.0,,,,,0.015236059531389401,,0.09751078100089217,,0.09751078100089217,0,0,0,300,0,0,False,False,False,,/home/xynus/bench/runs/fig5a_kalmannet_tsp_light/F5aL_m2n2_T100_invR2db_40/kalmannet_tsp/frozen/seed_0/scenario_9a0d665da69f,
fig5a_kalmannet_tsp_light,F5aL_m2n2_T100_invR2db_m5,bc21fcbda5c8,kalmannet_tsp,0,unknown,frozen,frozen,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig5a_kalmannet_tsp_light,F5aL_m2n2_T100_invR2db_m5,2abffe39e6d4,kalmannet_tsp,0,untrained,frozen,frozen,ok,,,5531198.0,67.4281920516385,2351.849910177093,2,2,100,3.1622776601683795,3.1622776601683795,-5.0,,,,,0.011827946093490027,,0.07569885499833617,,0.07569885499833617,0,0,0,300,0,0,False,False,False,,/home/xynus/bench/runs/fig5a_kalmannet_tsp_light/F5aL_m2n2_T100_invR2db_m5/kalmannet_tsp/frozen/seed_0/scenario_2abffe39e6d4,
fig5a_kalmannet_tsp_light,F5aL_m5n5_T150_invR2db_0,25b98a463b88,kalmannet_tsp,0,unknown,frozen,frozen,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig5a_kalmannet_tsp_light,F5aL_m5n5_T150_invR2db_0,9d8c31924bda,kalmannet_tsp,0,untrained,frozen,frozen,ok,,,36703268864.0,105.64704745079801,191580.9720823026,5,5,150,1.0,1.0,-0.0,,,,,0.0147485465625626,,0.14158604700060096,,0.14158604700060096,0,0,0,300,0,0,False,False,False,,/home/xynus/bench/runs/fig5a_kalmannet_tsp_light/F5aL_m5n5_T150_invR2db_0/kalmannet_tsp/frozen/seed_0/scenario_9d8c31924bda,
