suite,task_id,scenario_id,model_id,init_id,track_id,track,n_success,n_total,fail_count,fail_rate,failure_type,x_dim,y_dim,T,q2,r2,inv_r2_db,mse_mean,mse_std,mse_sem,mse_ci95,mse_db_mean,mse_db_std,mse_db_sem,mse_db_ci95,rmse_mean,rmse_std,rmse_sem,rmse_ci95,timing_ms_per_step_mean,timing_ms_per_step_std,timing_ms_per_step_sem,timing_ms_per_step_ci95,recovery_k_mean,recovery_k_std,recovery_k_sem,recovery_k_ci95,nll_mean,nll_std,nll_sem,nll_ci95,train_time_s_mean,train_time_s_median,eval_time_s_mean,eval_time_s_median,adapt_time_s_mean,adapt_time_s_median,total_time_s_mean,total_time_s_median,train_updates_used_mean,train_updates_used_median,train_outer_updates_used_mean,train_outer_updates_used_median,train_inner_updates_used_mean,train_inner_updates_used_median,adapt_updates_used_mean,adapt_updates_used_median,adapt_updates_per_step_max_mean,adapt_updates_per_step_max_median,cache_enabled_rate,cache_hit_rate,train_skipped_rate,severity_r_scale_mean,t0_mean
fig5a_knet_vs_kf,F5a_m10n10_T100_invR2db_0,695135479047,kalmannet_tsp,unknown,frozen,frozen,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig5a_knet_vs_kf,F5a_m10n10_T100_invR2db_0,695135479047,oracle_kf,unknown,frozen,frozen,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig5a_knet_vs_kf,F5a_m10n10_T100_invR2db_0,eeea7dcbcfbe,kalmannet_tsp,trained,frozen,frozen,0,1,1,1.0,runtime_error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
fig5a_knet_vs_kf,F5a_m10n10_T100_invR2db_0,eeea7dcbcfbe,oracle_kf,pretrained,frozen,frozen,1,2,1,0.5,runtime_error,10,10,100,1.0,1.0,-0.0,0.760081946849823,0.0,0.0,0.0,-1.1913958252692778,0.0,0.0,0.0,0.8718267871829949,0.0,0.0,0.0,0.035094152449892134,0.0,0.0,0.0,,,,,,,,,,,0.7018830489978427,0.7018830489978427,,,0.7018830489978427,0.7018830489978427,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,
fig5a_knet_vs_kf,F5a_m10n10_T100_invR2db_20,4e6024226cd9,kalmannet_tsp,trained,frozen,frozen,0,1,1,1.0,runtime_error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
fig5a_knet_vs_kf,F5a_m10n10_T100_invR2db_20,4e6024226cd9,oracle_kf,pretrained,frozen,frozen,1,2,1,0.5,runtime_error,10,10,100,0.01,0.01,20.0,0.007856729440391064,0.0,0.0,0.0,-21.047582022539043,0.0,0.0,0.0,0.08863819402712954,0.0,0.0,0.0,0.03556757549959002,0.0,0.0,0.0,,,,,,,,,,,0.7113515099918004,0.7113515099918004,,,0.7113515099918004,0.7113515099918004,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,
fig5a_knet_vs_kf,F5a_m10n10_T100_invR2db_20,d369e5ae380e,kalmannet_tsp,unknown,frozen,frozen,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig5a_knet_vs_kf,F5a_m10n10_T100_invR2db_20,d369e5ae380e,oracle_kf,unknown,frozen,frozen,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig5a_knet_vs_kf,F5a_m10n10_T100_invR2db_40,86126a873017,kalmannet_tsp,unknown,frozen,frozen,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig5a_knet_vs_kf,F5a_m10n10_T100_invR2db_40,86126a873017,oracle_kf,unknown,frozen,frozen,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
