suite,task_id,scenario_id,model_id,seed,init_id,track_id,track,status,failure_type,failure_stage,mse,mse_db,rmse,x_dim,y_dim,T,q2,r2,inv_r2_db,nll,recovery_k,t0,severity_r_scale,timing_ms_per_step,train_time_s,eval_time_s,adapt_time_s,total_time_s,train_updates_used,adapt_updates_used,adapt_updates_per_step_max,train_max_updates,adapt_max_updates,adapt_max_updates_per_step,cache_enabled,cache_hit,train_skipped,cache_key,run_dir,error
full_compare,A_linear_full_compare_v0,5fe2d60fe970,adaptive_knet,0,trained,budgeted,budgeted,ok,,,451644667985920.0,146.54796887416973,21251933.276432052,3,3,60,0.001,0.001,30.0,,,,,0.026362391145084985,,0.10123158199712634,,0.10123158199712634,0,0,0,200,40,1,True,True,True,ebcefc9a5b14b507d8738e2b,/home/xynus/bench/runs/full_compare/A_linear_full_compare_v0/adaptive_knet/budgeted/seed_0/scenario_5fe2d60fe970/init_trained,
full_compare,A_linear_full_compare_v0,5fe2d60fe970,adaptive_knet,0,trained,frozen,frozen,ok,,,451644667985920.0,146.54796887416973,21251933.276432052,3,3,60,0.001,0.001,30.0,,,,,0.028545140882367075,,0.10961334098828956,,0.10961334098828956,200,0,0,200,0,0,True,False,False,ebcefc9a5b14b507d8738e2b,/home/xynus/bench/runs/full_compare/A_linear_full_compare_v0/adaptive_knet/frozen/seed_0/scenario_5fe2d60fe970/init_trained,
full_compare,A_linear_full_compare_v0,1f52a2740a4e,adaptive_knet,0,unknown,budgeted,budgeted,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full_compare,A_linear_full_compare_v0,1f52a2740a4e,adaptive_knet,1,unknown,budgeted,budgeted,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full_compare,A_linear_full_compare_v0,1f52a2740a4e,adaptive_knet,0,unknown,frozen,frozen,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full_compare,A_linear_full_compare_v0,1f52a2740a4e,adaptive_knet,1,unknown,frozen,frozen,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full_compare,A_linear_full_compare_v0,5fe2d60fe970,adaptive_knet,0,untrained,frozen,frozen,ok,io_error,data_loading,1.500139887940369e+20,201.7613175887429,12248019790.726864,3,3,60,0.001,0.001,30.0,,,,,0.025765394790748058,,0.09893911599647254,,0.09893911599647254,0,0,0,200,0,0,False,False,False,,/home/xynus/bench/runs/full_compare/A_linear_full_compare_v0/adaptive_knet/frozen/seed_0/scenario_5fe2d60fe970,missing_data: expected test split at /home/xynus/bench/bench_data_cache/full_compare/A_linear_full_compare_v0/scenario_5fe2d60fe970/seed_0/test.npz
full_compare,A_linear_full_compare_v0,5fe2d60fe970,adaptive_knet,1,untrained,frozen,frozen,ok,io_error,data_loading,inf,inf,inf,3,3,60,0.001,0.001,30.0,,,,,0.02351275937447402,,0.09028899599798024,,0.09028899599798024,0,0,0,200,0,0,False,False,False,,/home/xynus/bench/runs/full_compare/A_linear_full_compare_v0/adaptive_knet/frozen/seed_1/scenario_5fe2d60fe970,missing_data: expected test split at /home/xynus/bench/bench_data_cache/full_compare/A_linear_full_compare_v0/scenario_5fe2d60fe970/seed_1/test.npz
full_compare,A_linear_full_compare_v0,5fe2d60fe970,kalmannet_tsp,0,trained,budgeted,budgeted,ok,,,5.711405277252197,7.567429784854443,2.389854656093587,3,3,60,0.001,0.001,30.0,,,,,0.028391241926328803,,0.1090223689971026,,0.1090223689971026,0,0,0,200,40,1,True,True,True,79e00074dec928bc680bf787,/home/xynus/bench/runs/full_compare/A_linear_full_compare_v0/kalmannet_tsp/budgeted/seed_0/scenario_5fe2d60fe970/init_trained,
full_compare,A_linear_full_compare_v0,5fe2d60fe970,kalmannet_tsp,0,trained,frozen,frozen,ok,,,5.711405277252197,7.567429784854443,2.389854656093587,3,3,60,0.001,0.001,30.0,,,,,0.02473826041295979,,0.09499491998576559,,0.09499491998576559,200,0,0,200,0,0,True,False,False,79e00074dec928bc680bf787,/home/xynus/bench/runs/full_compare/A_linear_full_compare_v0/kalmannet_tsp/frozen/seed_0/scenario_5fe2d60fe970/init_trained,
