suite,task_id,scenario_id,model_id,init_id,track_id,track,n_success,n_total,fail_count,fail_rate,failure_type,x_dim,y_dim,T,q2,r2,inv_r2_db,mse_mean,mse_std,mse_sem,mse_ci95,mse_db_mean,mse_db_std,mse_db_sem,mse_db_ci95,rmse_mean,rmse_std,rmse_sem,rmse_ci95,timing_ms_per_step_mean,timing_ms_per_step_std,timing_ms_per_step_sem,timing_ms_per_step_ci95,recovery_k_mean,recovery_k_std,recovery_k_sem,recovery_k_ci95,nll_mean,nll_std,nll_sem,nll_ci95,train_time_s_mean,train_time_s_median,eval_time_s_mean,eval_time_s_median,adapt_time_s_mean,adapt_time_s_median,total_time_s_mean,total_time_s_median,train_updates_used_mean,train_updates_used_median,train_outer_updates_used_mean,train_outer_updates_used_median,train_inner_updates_used_mean,train_inner_updates_used_median,adapt_updates_used_mean,adapt_updates_used_median,adapt_updates_per_step_max_mean,adapt_updates_per_step_max_median,cache_enabled_rate,cache_hit_rate,train_skipped_rate,severity_r_scale_mean,t0_mean
shift,C_shift_Rscale_v0,339fdebda713,adaptive_knet,unknown,budgeted,budgeted,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,339fdebda713,adaptive_knet,unknown,frozen,frozen,0,2,2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,339fdebda713,adaptive_knet,untrained,frozen,frozen,1,1,0,0.0,,5,5,200,0.001,0.001,30.0,inf,0.0,0.0,0.0,inf,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.028869993859989337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2.8869993859989336,2.8869993859989336,,,2.8869993859989336,2.8869993859989336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,10.0,100.0
shift,C_shift_Rscale_v0,339fdebda713,kalmannet_tsp,unknown,budgeted,budgeted,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,339fdebda713,kalmannet_tsp,unknown,frozen,frozen,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,339fdebda713,mb_kf_nominal,unknown,budgeted,budgeted,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,339fdebda713,mb_kf_nominal,unknown,frozen,frozen,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,339fdebda713,mb_kf_oracle,unknown,budgeted,budgeted,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,339fdebda713,mb_kf_oracle,unknown,frozen,frozen,0,2,2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,339fdebda713,mb_kf_oracle,untrained,frozen,frozen,1,1,0,0.0,,5,5,200,0.001,0.001,30.0,0.0018521794117987156,0.0,0.0,0.0,-27.3231694757833,0.0,0.0,0.0,0.0430369540255664,0.0,0.0,0.0,0.006622425929999736,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,,,,,,0.6622425929999736,0.6622425929999736,,,0.6622425929999736,0.6622425929999736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,10.0,100.0
shift,C_shift_Rscale_v0,339fdebda713,my_model,unknown,budgeted,budgeted,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,339fdebda713,my_model,unknown,frozen,frozen,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,b82eac38c3a2,adaptive_knet,unknown,budgeted,budgeted,0,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,b82eac38c3a2,adaptive_knet,unknown,frozen,frozen,0,2,2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shift,C_shift_Rscale_v0,b82eac38c3a2,adaptive_knet,untrained,frozen,frozen,1,1,0,0.0,,5,5,200,0.001,0.001,30.0,inf,0.0,0.0,0.0,inf,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.028681305330010218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2.868130533001022,2.868130533001022,,,2.868130533001022,2.868130533001022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,30.0,100.0
