suite,task_id,scenario_id,model_id,seed,init_id,track_id,track,status,failure_type,failure_stage,mse,mse_db,rmse,nll,recovery_k,t0,severity_r_scale,timing_ms_per_step,train_time_s,eval_time_s,adapt_time_s,total_time_s,train_updates_used,adapt_updates_used,adapt_updates_per_step_max,train_max_updates,adapt_max_updates,adapt_max_updates_per_step,cache_enabled,cache_hit,train_skipped,cache_key,run_dir,error
shift_light,C_shift_Rscale_light_v0,c2781d0d162b,adaptive_knet,0,trained,budgeted,budgeted,failed,runtime_error,train,,,,,,,,,,,,,,,,,,,False,False,False,,/home/xynus/bench/runs/shift_light/C_shift_Rscale_light_v0/adaptive_knet/budgeted/seed_0/scenario_c2781d0d162b/init_trained,"RuntimeError: Deterministic behavior was enabled with either `torch.use_deterministic_algorithms(True)` or `at::Context::setDeterministicAlgorithms(true)`, but this operation is not deterministic because it uses CuBLAS and you have CUDA >= 10.2. To enable deterministic behavior in this case, you must set an environment variable before running your PyTorch application: CUBLAS_WORKSPACE_CONFIG=:4096:8 or CUBLAS_WORKSPACE_CONFIG=:16:8. For more information, go to https://docs.nvidia.com/cuda/cublas/index.html#results-reproducibility"
shift_light,C_shift_Rscale_light_v0,d951006a3e97,adaptive_knet,0,trained,budgeted,budgeted,failed,runtime_error,train,,,,,,,,,,,,,,,,,,,False,False,False,,/home/xynus/bench/runs/shift_light/C_shift_Rscale_light_v0/adaptive_knet/budgeted/seed_0/scenario_d951006a3e97/init_trained,"RuntimeError: Deterministic behavior was enabled with either `torch.use_deterministic_algorithms(True)` or `at::Context::setDeterministicAlgorithms(true)`, but this operation is not deterministic because it uses CuBLAS and you have CUDA >= 10.2. To enable deterministic behavior in this case, you must set an environment variable before running your PyTorch application: CUBLAS_WORKSPACE_CONFIG=:4096:8 or CUBLAS_WORKSPACE_CONFIG=:16:8. For more information, go to https://docs.nvidia.com/cuda/cublas/index.html#results-reproducibility"
shift_light,C_shift_Rscale_light_v0,c2781d0d162b,adaptive_knet,0,trained,frozen,frozen,failed,runtime_error,train,,,,,,,,,,,,,,,,,,,False,False,False,,/home/xynus/bench/runs/shift_light/C_shift_Rscale_light_v0/adaptive_knet/frozen/seed_0/scenario_c2781d0d162b/init_trained,"RuntimeError: Deterministic behavior was enabled with either `torch.use_deterministic_algorithms(True)` or `at::Context::setDeterministicAlgorithms(true)`, but this operation is not deterministic because it uses CuBLAS and you have CUDA >= 10.2. To enable deterministic behavior in this case, you must set an environment variable before running your PyTorch application: CUBLAS_WORKSPACE_CONFIG=:4096:8 or CUBLAS_WORKSPACE_CONFIG=:16:8. For more information, go to https://docs.nvidia.com/cuda/cublas/index.html#results-reproducibility"
shift_light,C_shift_Rscale_light_v0,d951006a3e97,adaptive_knet,0,trained,frozen,frozen,failed,runtime_error,train,,,,,,,,,,,,,,,,,,,False,False,False,,/home/xynus/bench/runs/shift_light/C_shift_Rscale_light_v0/adaptive_knet/frozen/seed_0/scenario_d951006a3e97/init_trained,"RuntimeError: Deterministic behavior was enabled with either `torch.use_deterministic_algorithms(True)` or `at::Context::setDeterministicAlgorithms(true)`, but this operation is not deterministic because it uses CuBLAS and you have CUDA >= 10.2. To enable deterministic behavior in this case, you must set an environment variable before running your PyTorch application: CUBLAS_WORKSPACE_CONFIG=:4096:8 or CUBLAS_WORKSPACE_CONFIG=:16:8. For more information, go to https://docs.nvidia.com/cuda/cublas/index.html#results-reproducibility"
shift_light,C_shift_Rscale_light_v0,b7b2a052e58d,adaptive_knet,0,unknown,budgeted,budgeted,missing,,,,,,,,,,,,,,,,,,,,,,,,,,
shift_light,C_shift_Rscale_light_v0,c5cd4cbb6de8,adaptive_knet,0,unknown,budgeted,budgeted,missing,,,,,,,,,,,,,,,,,,,,,,,,,,
shift_light,C_shift_Rscale_light_v0,b7b2a052e58d,adaptive_knet,0,unknown,frozen,frozen,missing,,,,,,,,,,,,,,,,,,,,,,,,,,
shift_light,C_shift_Rscale_light_v0,c5cd4cbb6de8,adaptive_knet,0,unknown,frozen,frozen,missing,,,,,,,,,,,,,,,,,,,,,,,,,,
shift_light,C_shift_Rscale_light_v0,c2781d0d162b,kalmannet_tsp,0,trained,budgeted,budgeted,failed,runtime_error,train,,,,,,,,,,,,,,,,,,,False,False,False,,/home/xynus/bench/runs/shift_light/C_shift_Rscale_light_v0/kalmannet_tsp/budgeted/seed_0/scenario_c2781d0d162b/init_trained,"RuntimeError: Deterministic behavior was enabled with either `torch.use_deterministic_algorithms(True)` or `at::Context::setDeterministicAlgorithms(true)`, but this operation is not deterministic because it uses CuBLAS and you have CUDA >= 10.2. To enable deterministic behavior in this case, you must set an environment variable before running your PyTorch application: CUBLAS_WORKSPACE_CONFIG=:4096:8 or CUBLAS_WORKSPACE_CONFIG=:16:8. For more information, go to https://docs.nvidia.com/cuda/cublas/index.html#results-reproducibility"
shift_light,C_shift_Rscale_light_v0,d951006a3e97,kalmannet_tsp,0,trained,budgeted,budgeted,failed,runtime_error,train,,,,,,,,,,,,,,,,,,,False,False,False,,/home/xynus/bench/runs/shift_light/C_shift_Rscale_light_v0/kalmannet_tsp/budgeted/seed_0/scenario_d951006a3e97/init_trained,"RuntimeError: Deterministic behavior was enabled with either `torch.use_deterministic_algorithms(True)` or `at::Context::setDeterministicAlgorithms(true)`, but this operation is not deterministic because it uses CuBLAS and you have CUDA >= 10.2. To enable deterministic behavior in this case, you must set an environment variable before running your PyTorch application: CUBLAS_WORKSPACE_CONFIG=:4096:8 or CUBLAS_WORKSPACE_CONFIG=:16:8. For more information, go to https://docs.nvidia.com/cuda/cublas/index.html#results-reproducibility"
