t,mse_t,rmse_t,mse_db_t
0,1.2410098314285278,1.1140062079847346,0.9377522204526177
1,2.229377031326294,1.4931098523974362,3.481835223957563
2,5.690489768981934,2.385474747085354,7.551496468542096
3,14.065491676330566,3.750398868964549,11.481549180572143
4,34.73285675048828,5.893458810451489,15.407405051636193
5,80.61124420166016,8.978376479167052,19.063956243626723
6,201.34268188476562,14.18952719031771,23.039358491169185
7,508.1919860839844,22.54311393938256,27.060278121764796
8,1405.62646484375,37.49168527612156,31.478699253707084
9,3828.0771484375,61.871456653593505,35.82980681665692
10,10576.2900390625,102.84109119929883,40.24333352186686
11,33269.35546875,182.39889108421136,45.22044387310761
12,102458.4375,320.0912955704981,50.10547728562553
13,346991.1875,589.0595789052242,55.403184451980174
14,1233299.125,1110.5400150377293,60.91068423377247
15,5004119.5,2236.98893604774,66.9932767223859
