t,mse_t,rmse_t,mse_db_t
0,0.9246511459350586,0.9615878253883307,-0.3402208777114628
1,1.763137698173523,1.3278319540414454,2.4628623131331318
2,5.596310615539551,2.3656522600626557,7.479018114079011
3,16.315462112426758,4.039240289018067,12.125993790760702
4,45.8558235168457,6.771692810283533,16.613944972716915
5,146.9886932373047,12.123889360980852,21.6728392894202
6,486.808349609375,22.06373380933914,26.873580185271724
7,1598.9715576171875,39.987142403742574,32.038407386181746
8,5284.5146484375,72.69466726271949,37.2300510608341
9,18098.896484375,134.53213922470349,42.57652096120199
10,67055.7734375,258.9512954929942,48.264361761339806
11,263545.28125,513.3666148572578,54.20855244624462
12,1082264.625,1040.3194821784316,60.3433346328989
13,4703535.0,2168.7634725806315,66.72424380050187
14,21112404.0,4594.8236092368115,73.24537687807481
15,96567168.0,9826.859518686528,79.84829495151705
16,454776064.0,21325.47922087567,86.5779759861403
17,2155574528.0,46428.16524481664,93.3356304298188
18,10370962432.0,101837.92236686686,100.15819061067135
19,49996025856.0,223597.9111172553,106.98935483987923
20,242509365248.0,492452.3989666412,113.84728514884641
21,1191899168768.0,1091741.3470085303,120.76239516897604
22,5868030525440.0,2422401.809246352,127.6849236437296
23,28687030288384.0,5356027.472706241,134.5768559195034
24,141196026445824.0,11882593.422558226,141.49822474924466
25,694090740006912.0,26345601.910127465,148.41416250437905
26,3355505745461248.0,57926727.38435383,155.25757986773226
27,1.598501465096192e+16,126431857.73752563,162.03713038657693
28,7.617507610538803e+16,275998326.27280194,168.81812896792098
29,3.61059037078356e+17,600881882.8009012,175.5757821958177
30,1.6695116497546117e+18,1292095836.1339192,182.2258945388245
31,7.687999706177208e+18,2772724239.115244,188.85813358062464
32,3.538021709997146e+19,5948127192.652446,195.48760493498247
33,1.625682653365414e+20,12750226089.624506,202.11035771674187
34,7.541884154606707e+20,27462491064.37125,208.7747985723939
35,3.52323607576114e+21,59356853654.49503,215.46941744221658
36,1.6445463744696229e+22,128239868000.15129,222.16046124636728
37,7.604618002631085e+22,275764718603.2159,228.81077403331017
38,3.518552501033661e+23,593173878473.5603,235.4636403560758
39,1.620542431650118e+24,1273005275578.2742,242.09660406914202
40,7.685976574734647e+24,2772359387729.9976,248.8569905649068
41,3.6591233634085354e+25,6049068823718.685,255.6337705150477
42,1.74461816071051e+26,13208399451525.193,262.41700388978575
43,8.339781112291481e+26,28878679180827.3,269.21154652199914
44,3.964923101145579e+27,62967635346625.32,275.9823476868464
45,1.8762901787371191e+28,136977741941423.44,282.7330000530036
46,9.042853911207304e+28,300713383659711.8,289.5630551479906
47,4.322982726787207e+29,657493933567999.4,296.3578350023965
48,2.0837172364088808e+30,1443508654774498.0,303.18838784205616
49,9.979637910663438e+30,3159056490578071.0,309.9911478414773
50,4.755382247003321e+31,6895927962938216.0,316.771854321235
51,2.2561484295914415e+32,1.5020480783222092e+16,323.5336766802053
52,1.070827650645906e+33,3.2723503031397876e+16,330.2971957690404
53,5.137692561341989e+33,7.1677699191184904e+16,337.1076811259917
54,2.4975271932737204e+34,1.5803566664755523e+17,343.97510225556454
55,1.2099209005770075e+35,3.478391726900534e+17,350.8275697893975
56,inf,inf,inf
57,inf,inf,inf
58,inf,inf,inf
59,inf,inf,inf
60,inf,inf,inf
61,inf,inf,inf
62,inf,inf,inf
63,inf,inf,inf
64,inf,inf,inf
65,inf,inf,inf
66,inf,inf,inf
67,inf,inf,inf
68,inf,inf,inf
69,inf,inf,inf
70,inf,inf,inf
71,inf,inf,inf
72,inf,inf,inf
73,inf,inf,inf
74,inf,inf,inf
75,inf,inf,inf
76,inf,inf,inf
77,inf,inf,inf
78,inf,inf,inf
79,inf,inf,inf
80,inf,inf,inf
81,inf,inf,inf
82,inf,inf,inf
83,inf,inf,inf
84,inf,inf,inf
85,inf,inf,inf
86,inf,inf,inf
87,inf,inf,inf
88,inf,inf,inf
89,inf,inf,inf
90,inf,inf,inf
91,inf,inf,inf
92,inf,inf,inf
93,inf,inf,inf
94,inf,inf,inf
95,inf,inf,inf
96,inf,inf,inf
97,inf,inf,inf
98,inf,inf,inf
99,inf,inf,inf
100,inf,inf,inf
101,inf,inf,inf
102,inf,inf,inf
103,inf,inf,inf
104,inf,inf,inf
105,inf,inf,inf
106,inf,inf,inf
107,inf,inf,inf
108,inf,inf,inf
109,inf,inf,inf
110,inf,inf,inf
111,inf,inf,inf
112,inf,inf,inf
113,inf,inf,inf
114,inf,inf,inf
115,inf,inf,inf
116,inf,inf,inf
117,inf,inf,inf
118,inf,inf,inf
119,inf,inf,inf
120,inf,inf,inf
121,inf,inf,inf
122,inf,inf,inf
123,inf,inf,inf
124,inf,inf,inf
125,inf,inf,inf
126,inf,inf,inf
127,inf,inf,inf
128,inf,inf,inf
129,inf,inf,inf
130,inf,inf,inf
131,inf,inf,inf
132,inf,inf,inf
133,inf,inf,inf
134,inf,inf,inf
135,inf,inf,inf
136,inf,inf,inf
137,inf,inf,inf
138,inf,inf,inf
139,inf,inf,inf
140,inf,inf,inf
141,inf,inf,inf
142,inf,inf,inf
143,inf,inf,inf
144,inf,inf,inf
145,inf,inf,inf
146,inf,inf,inf
147,inf,inf,inf
148,inf,inf,inf
149,inf,inf,inf
150,inf,inf,inf
151,inf,inf,inf
152,inf,inf,inf
153,inf,inf,inf
154,inf,inf,inf
155,inf,inf,inf
156,inf,inf,inf
157,inf,inf,inf
158,inf,inf,inf
159,inf,inf,inf
160,inf,inf,inf
161,inf,inf,inf
162,inf,inf,inf
163,inf,inf,inf
164,inf,inf,inf
165,inf,inf,inf
166,inf,inf,inf
167,inf,inf,inf
168,inf,inf,inf
169,inf,inf,inf
170,inf,inf,inf
171,inf,inf,inf
172,inf,inf,inf
173,inf,inf,inf
174,inf,inf,inf
175,inf,inf,inf
176,inf,inf,inf
177,inf,inf,inf
178,inf,inf,inf
179,inf,inf,inf
180,inf,inf,inf
181,inf,inf,inf
182,inf,inf,inf
183,inf,inf,inf
184,inf,inf,inf
185,inf,inf,inf
186,inf,inf,inf
187,inf,inf,inf
188,inf,inf,inf
189,inf,inf,inf
190,inf,inf,inf
191,inf,inf,inf
192,inf,inf,inf
193,inf,inf,inf
194,inf,inf,inf
