t,mse_t,rmse_t,mse_db_t
0,0.9284526109695435,0.9635624582607728,-0.3224025812738002
1,1.7399942874908447,1.3190884305045074,2.4054782246922244
2,5.416006088256836,2.3272314212937304,7.336791438777642
3,15.417128562927246,3.926465148569034,11.880034939873143
4,42.20292282104492,6.496377669212661,16.253425296605975
5,130.75660705566406,11.434885528752094,21.164636427425286
6,421.2548522949219,20.524493959533373,26.245449164022965
7,1341.5030517578125,36.62653480412544,31.275916649767023
8,4174.990234375,64.61416434788119,36.206554639724324
9,13086.52734375,114.39636071025161,41.16824416945548
10,42654.12890625,206.52876048204521,46.29961077107508
11,146272.0625,382.45530784655085,51.65161385177215
12,518881.9375,720.334601070919,57.15068552983206
13,1907748.875,1381.212827554103,62.80521206122997
14,8046492.0,2836.633920688392,69.05606583834607
15,36570476.0,6047.352809287713,75.63130613136185
16,154281616.0,12421.015095393774,81.88314179171235
17,699332480.0,26444.89515955773,88.44683699207204
18,3006954752.0,54835.706907087464,94.7812689298094
19,12314530816.0,110970.85570545089,100.9041786985731
20,54059753472.0,232507.53422631277,107.3287406085967
21,214890790912.0,463563.1466283747,113.3221780431509
22,885551202304.0,941037.3012288089,119.47213677028309
23,4068104994816.0,2016954.3859036574,126.0939215321845
24,17988841373696.0,4241325.426526005,132.5500319218298
25,82906517078016.0,9105301.591820888,139.18588670716437
26,357355371888640.0,18903845.425961353,145.53100314950012
27,1677025546862592.0,40951502.376135014,152.24539678453996
28,7593030269796352.0,87137995.5576002,158.80415131206684
29,3.629953028246733e+16,190524356.13975272,165.59901005282603
30,1.7059187474930074e+17,413027692.47267276,172.31958341980518
31,7.985131728467395e+17,893595642.8087256,179.02282084967254
32,3.444563221636186e+18,1855953453.5209084,185.37134160217727
33,1.6061875865272713e+19,4007727019.8047066,192.05796265124593
34,7.400650038839345e+19,8602703086.146439,198.69269867823175
35,3.4076088997094254e+20,18459709910.259766,205.3244974382796
36,1.5994137196889155e+21,39992670824.6513,212.0396081705303
37,7.210733629581224e+21,84916038706.36703,218.57979452662616
38,3.320237842522289e+22,182215198118.11224,225.21169195148383
39,1.5016006361090063e+23,387504920757.0152,231.7655444358943
40,6.847435003040687e+23,827492296220.375,238.35527918552177
41,3.2403769694964074e+24,1800104710703.3545,245.10595536826622
42,1.5033807036775628e+25,3877345359492.191,251.77068971651636
43,6.9306206819101935e+25,8325034944016.868,258.4077213023344
44,3.209223969754146e+26,17914307047034.07,265.0640002729622
45,1.4587331036003298e+27,38193364654090.5,271.63975838681097
46,6.91003876410344e+27,83126642925739.77,278.39480483696775
47,3.233284382712181e+28,179813358311116.06,285.09643904553104
48,1.528111798007074e+29,390910705661417.5,291.84155128769396
49,7.261307154506054e+29,852133038586467.1,298.6101480787491
50,3.4547267629737923e+30,1858689528397304.0,305.3841370438018
51,1.5990936923889809e+31,3998866955012358.0,312.03873910209944
52,7.103226926300007e+31,8428064384127596.0,318.514556892695
53,3.335365213027322e+32,1.8262982267492136e+16,325.23143394869805
54,1.3874570445477243e+33,3.72485844636776e+16,331.4221954631387
55,5.872845110581671e+33,7.663449034593805e+16,337.68848546985174
56,2.5971593311034943e+34,1.6115704548990387e+17,344.1449859364026
57,1.1274672605315844e+35,3.357777926742006e+17,350.52103939661384
58,inf,inf,inf
59,inf,inf,inf
60,inf,inf,inf
61,inf,inf,inf
62,inf,inf,inf
63,inf,inf,inf
64,inf,inf,inf
65,inf,inf,inf
66,inf,inf,inf
67,inf,inf,inf
68,inf,inf,inf
69,inf,inf,inf
70,inf,inf,inf
71,inf,inf,inf
72,inf,inf,inf
73,inf,inf,inf
74,inf,inf,inf
75,inf,inf,inf
76,inf,inf,inf
77,inf,inf,inf
78,inf,inf,inf
79,inf,inf,inf
80,inf,inf,inf
81,inf,inf,inf
82,inf,inf,inf
83,inf,inf,inf
84,inf,inf,inf
85,inf,inf,inf
86,inf,inf,inf
87,inf,inf,inf
88,inf,inf,inf
89,inf,inf,inf
90,inf,inf,inf
91,inf,inf,inf
92,inf,inf,inf
93,inf,inf,inf
94,inf,inf,inf
95,inf,inf,inf
96,inf,inf,inf
97,inf,inf,inf
98,inf,inf,inf
99,inf,inf,inf
100,inf,inf,inf
101,inf,inf,inf
102,inf,inf,inf
103,inf,inf,inf
104,inf,inf,inf
105,inf,inf,inf
106,inf,inf,inf
107,inf,inf,inf
108,inf,inf,inf
109,inf,inf,inf
110,inf,inf,inf
111,inf,inf,inf
112,inf,inf,inf
113,inf,inf,inf
114,inf,inf,inf
115,inf,inf,inf
116,inf,inf,inf
117,inf,inf,inf
118,inf,inf,inf
119,inf,inf,inf
120,inf,inf,inf
121,inf,inf,inf
122,inf,inf,inf
123,inf,inf,inf
124,inf,inf,inf
125,inf,inf,inf
126,inf,inf,inf
127,inf,inf,inf
128,inf,inf,inf
129,inf,inf,inf
130,inf,inf,inf
131,inf,inf,inf
132,inf,inf,inf
133,inf,inf,inf
134,inf,inf,inf
135,inf,inf,inf
136,inf,inf,inf
137,inf,inf,inf
138,inf,inf,inf
139,inf,inf,inf
140,inf,inf,inf
141,inf,inf,inf
142,inf,inf,inf
143,inf,inf,inf
144,inf,inf,inf
145,inf,inf,inf
146,inf,inf,inf
147,inf,inf,inf
148,inf,inf,inf
149,inf,inf,inf
150,inf,inf,inf
151,inf,inf,inf
152,inf,inf,inf
153,inf,inf,inf
154,inf,inf,inf
155,inf,inf,inf
156,inf,inf,inf
157,inf,inf,inf
158,inf,inf,inf
159,inf,inf,inf
160,inf,inf,inf
161,inf,inf,inf
162,inf,inf,inf
163,inf,inf,inf
164,inf,inf,inf
165,inf,inf,inf
166,inf,inf,inf
167,inf,inf,inf
168,inf,inf,inf
169,inf,inf,inf
170,inf,inf,inf
171,inf,inf,inf
172,inf,inf,inf
173,inf,inf,inf
174,inf,inf,inf
175,inf,inf,inf
176,inf,inf,inf
177,inf,inf,inf
178,inf,inf,inf
179,inf,inf,inf
180,inf,inf,inf
181,inf,inf,inf
182,inf,inf,inf
183,inf,inf,inf
184,inf,inf,inf
185,inf,inf,inf
186,inf,inf,inf
187,inf,inf,inf
188,inf,inf,inf
189,inf,inf,inf
190,inf,inf,inf
191,inf,inf,inf
192,inf,inf,inf
193,inf,inf,inf
194,inf,inf,inf
195,inf,inf,inf
196,inf,inf,inf
197,inf,inf,inf
198,inf,inf,inf
199,inf,inf,inf
