t,mse_t,rmse_t,mse_db_t
0,0.9122738242149353,0.9551302655737255,-0.3987478612721929
1,1.8758007287979126,1.3695987473701605,2.731867002583348
2,6.038805961608887,2.4573982098164078,7.809510751197594
3,17.457231521606445,4.178185194747409,12.419753716592707
4,47.648685455322266,6.9028027246418,16.78050923707299
5,147.71682739257812,12.153881165807823,21.694299714627423
6,476.919189453125,21.838479559097628,26.78444797178968
7,1490.0743408203125,38.601481070294604,31.732079361992863
8,4514.56103515625,67.1904832186542,36.54615528895958
9,13924.3486328125,118.0014772484332,41.43774888456778
10,45147.1953125,212.4786937848122,46.546307757317216
11,156082.046875,395.07220463479837,51.93352951803483
12,576862.8125,759.5148533768119,57.61072543037531
13,2276505.0,1508.809133058254,63.572686085076064
14,9518120.0,3085.14505331597,69.7855117587872
15,43431752.0,6590.2770806696735,76.37807348786254
16,198888592.0,14102.786674980232,82.98609873252457
17,911684608.0,30194.11545318061,89.5984462265406
18,4168781312.0,64566.10033136584,96.20009113288269
19,19598776320.0,139995.62964607147,102.92228956353321
20,92969402368.0,304908.84271860664,109.68340039207692
21,441404030976.0,664382.4433080694,116.44836294894147
22,2074338787328.0,1440256.5005331517,123.16879688143328
23,9904435757056.0,3147131.353638739,129.95829739382197
24,46554345897984.0,6823074.519451183,136.67960229064198
25,221316175101952.0,14876699.066054674,143.45013155910132
26,1031741808574464.0,32120737.983029965,150.13571029519377
27,4756267184685056.0,68965695.70942539,156.77266243250082
28,2.2319534140555264e+16,149397236.0539353,163.48685125646472
29,1.0275135448049254e+17,320548521.25769126,170.11787555507001
30,4.7836115664214426e+17,691636578.4443042,176.79755907307978
31,2.2411887018434888e+18,1497060019.4526234,183.50478424459732
32,1.0398775255714759e+19,3224713205.1881385,190.16982192086613
33,4.863903430527576e+19,6974169076.332732,196.8698494373069
34,2.2788286242457492e+20,15095789559.495552,203.57711665968907
35,1.0684351014972833e+21,32686925543.667812,210.2874814754117
36,5.002283777059184e+21,70726825017.52206,216.99168325402297
37,2.3686121542001516e+22,153902961446.4956,223.7449395347059
38,1.1082235485211724e+23,332899917170.4872,230.44627374197955
39,5.229855147311845e+23,723177374321.9463,237.18489660264146
40,2.4732518233686266e+24,1572657567103.7312,243.932683379268
41,1.1534349005528484e+25,3396225700027.677,250.6199308812586
42,5.402712380267173e+25,7350314537669.237,257.3261184797827
43,2.576387385017296e+26,16051128885587.13,264.11011164016406
44,1.239252857167618e+27,35203023409468.94,270.9315992886886
45,5.96294632501895e+27,77220116064526.53,277.7546090009654
46,2.826536332218032e+28,168123060054771.56,284.51254572241
47,1.3832333722058196e+29,371918455068556.6,291.40895458280613
48,6.649391972599452e+29,815438040110924.2,298.2278193477414
49,3.250226986947966e+30,1802838591485096.2,305.11913691974763
50,1.5807702455262459e+31,3975890146276989.0,311.98868752695614
51,7.77862476749903e+31,8819651221844903.0,318.9090282209512
52,3.7898791538698346e+32,1.946761195902013e+16,325.78625362040833
53,1.8342888711051988e+33,4.2828598752529816e+16,332.63467731142
54,8.917734424689642e+33,9.443375680703189e+16,339.5025453466427
55,4.279724104598808e+34,2.068749405945246e+17,346.3141577281869
56,inf,inf,inf
57,inf,inf,inf
58,inf,inf,inf
59,inf,inf,inf
60,inf,inf,inf
61,inf,inf,inf
62,inf,inf,inf
63,inf,inf,inf
64,inf,inf,inf
65,inf,inf,inf
66,inf,inf,inf
67,inf,inf,inf
68,inf,inf,inf
69,inf,inf,inf
70,inf,inf,inf
71,inf,inf,inf
72,inf,inf,inf
73,inf,inf,inf
74,inf,inf,inf
75,inf,inf,inf
76,inf,inf,inf
77,inf,inf,inf
78,inf,inf,inf
79,inf,inf,inf
80,inf,inf,inf
81,inf,inf,inf
82,inf,inf,inf
83,inf,inf,inf
84,inf,inf,inf
85,inf,inf,inf
86,inf,inf,inf
87,inf,inf,inf
88,inf,inf,inf
89,inf,inf,inf
90,inf,inf,inf
91,inf,inf,inf
92,inf,inf,inf
93,inf,inf,inf
94,inf,inf,inf
95,inf,inf,inf
96,inf,inf,inf
97,inf,inf,inf
98,inf,inf,inf
99,inf,inf,inf
100,inf,inf,inf
101,inf,inf,inf
102,inf,inf,inf
103,inf,inf,inf
104,inf,inf,inf
105,inf,inf,inf
106,inf,inf,inf
107,inf,inf,inf
108,inf,inf,inf
109,inf,inf,inf
110,inf,inf,inf
111,inf,inf,inf
112,inf,inf,inf
113,inf,inf,inf
114,inf,inf,inf
115,inf,inf,inf
116,inf,inf,inf
117,inf,inf,inf
118,inf,inf,inf
119,inf,inf,inf
120,inf,inf,inf
121,inf,inf,inf
122,inf,inf,inf
123,inf,inf,inf
124,inf,inf,inf
125,inf,inf,inf
126,inf,inf,inf
127,inf,inf,inf
128,inf,inf,inf
129,inf,inf,inf
130,inf,inf,inf
131,inf,inf,inf
132,inf,inf,inf
133,inf,inf,inf
134,inf,inf,inf
135,inf,inf,inf
136,inf,inf,inf
137,inf,inf,inf
138,inf,inf,inf
139,inf,inf,inf
140,inf,inf,inf
141,inf,inf,inf
142,inf,inf,inf
143,inf,inf,inf
144,inf,inf,inf
145,inf,inf,inf
146,inf,inf,inf
147,inf,inf,inf
148,inf,inf,inf
149,inf,inf,inf
150,inf,inf,inf
151,inf,inf,inf
152,inf,inf,inf
153,inf,inf,inf
154,inf,inf,inf
155,inf,inf,inf
156,inf,inf,inf
157,inf,inf,inf
158,inf,inf,inf
159,inf,inf,inf
160,inf,inf,inf
161,inf,inf,inf
162,inf,inf,inf
163,inf,inf,inf
164,inf,inf,inf
165,inf,inf,inf
166,inf,inf,inf
167,inf,inf,inf
168,inf,inf,inf
169,inf,inf,inf
170,inf,inf,inf
171,inf,inf,inf
172,inf,inf,inf
173,inf,inf,inf
174,inf,inf,inf
175,inf,inf,inf
176,inf,inf,inf
177,inf,inf,inf
178,inf,inf,inf
179,inf,inf,inf
180,inf,inf,inf
181,inf,inf,inf
182,inf,inf,inf
183,inf,inf,inf
184,inf,inf,inf
185,inf,inf,inf
186,inf,inf,inf
187,inf,inf,inf
188,inf,inf,inf
189,inf,inf,inf
190,inf,inf,inf
191,inf,inf,inf
192,inf,inf,inf
193,inf,inf,inf
194,inf,inf,inf
195,inf,inf,inf
196,inf,inf,inf
197,inf,inf,inf
198,inf,inf,inf
199,inf,inf,inf
