t,mse_t,rmse_t,mse_db_t
0,1.0414024591445923,1.0204912832281285,0.1761859887420943
1,1.9610127210617065,1.4003616393852363,2.9248041093906596
2,5.557997226715088,2.357540503727367,7.449183257406272
3,15.820748329162598,3.9775304309536836,11.992270219896998
4,42.63710021972656,6.529709045564478,16.2978766033851
5,115.404541015625,10.742650558201406,20.622228980677818
6,313.0110168457031,17.692117364682588,24.955596233965966
7,867.3092041015625,29.450113821538324,29.381739552561214
8,2537.91748046875,50.37774787015344,34.04477497049588
9,7376.810546875,85.88836095114983,38.678686299402415
10,19900.392578125,141.06875124606796,42.988616438886865
11,57031.4296875,238.81254089243302,47.561142587955125
12,171731.375,414.40484432496686,52.348496471968666
13,506115.375,711.4178624409145,57.04249530701864
14,1354376.5,1163.776825684375,61.317394096542856
15,3735670.0,1932.788141519913,65.7236850473445
16,11911419.0,3451.292366636011,70.75963501798546
17,41556360.0,6446.422263550535,76.18637499877774
18,145858560.0,12077.191726556302,81.63931921642029
19,526957408.0,22955.552879423314,87.21775514229446
20,2054147200.0,45322.70071388068,93.12631561879145
21,7670092800.0,87579.0659918225,98.84800618484067
22,32181794816.0,179392.8505152867,105.07610261545118
23,130419056640.0,361135.78698323434,111.15341054501067
24,493178945536.0,702267.0044477385,116.9300452771138
25,1648919183360.0,1284102.4816423338,122.17199370574235
26,5575502987264.0,2361250.301696963,127.46284052839403
27,19699993673728.0,4438467.491570486,132.9446608669634
28,78934603464704.0,8884514.81312874,138.97267431590606
29,302842036355072.0,17402357.206857696,144.8121615778297
30,976184057790464.0,31243944.33791073,149.89531710849528
31,3506358687105024.0,59214514.159157164,155.4485634069746
32,1.4321558784835584e+16,119672715.28980859,161.55990289955764
33,5.925369952809779e+16,243420828.04907593,167.72715470875906
34,2.328583005620142e+17,482553935.3916971,173.6709172358302
35,9.376807647560335e+17,968339178.571245,179.7205500713952
36,3.764683558162006e+18,1940279247.4698083,185.75728477291105
37,1.576210721409912e+19,3970152039.1666512,191.976142772576
38,7.0982896188567585e+19,8425134787.560824,198.51153715116578
39,3.2478862760186846e+20,18021893008.279358,205.11600814115252
40,1.574790570201244e+21,39683631010.79895,211.97222805583633
41,7.220304904689293e+21,84972377303.97623,218.58555537684333
42,3.0681511051800393e+22,175161385732.70193,224.86876744628267
43,1.2869255710873008e+23,358737448712.4673,231.0955343035366
44,5.661765123383453e+23,752447016299.7162,237.52951848827337
45,2.2981289555415576e+24,1515958098214.3132,243.61374394721622
46,1.015975067154486e+25,3187436379215.256,250.06883050142693
47,4.348443140629321e+25,6594272621471.849,256.38333795700237
48,1.9614037436624226e+26,14005012472905.629,262.92566999887424
49,8.400513696740236e+26,28983639689901.33,269.2430584425692
50,3.898374332077359e+27,62436962867177.96,275.90883538873476
51,1.6797727935048472e+28,129606048990965.2,282.2525054291624
52,7.138550182257154e+28,267180653907747.47,288.5361001684887
53,3.1259504705016743e+29,559102000577861.9,294.9498209250651
54,1.3386140924924258e+30,1156984914548338.2,301.2665539280216
55,6.20899888374832e+30,2491786283722647.0,307.93021581768676
56,3.036389588784018e+31,5510344443665948.0,314.82357493641143
57,1.3871930538343467e+32,1.1777916003412262e+16,321.42136905471693
58,5.8915171923079696e+32,2.427244773875921e+16,327.7022714935391
59,2.6053648928598935e+33,5.104277512890432e+16,334.15868556755595
60,1.1398102654872832e+34,1.0676189701795688e+17,340.5683256404718
61,4.81707129051524e+34,2.1947827433518883e+17,346.8278307372741
62,inf,inf,inf
63,inf,inf,inf
64,inf,inf,inf
65,inf,inf,inf
66,inf,inf,inf
67,inf,inf,inf
68,inf,inf,inf
69,inf,inf,inf
70,inf,inf,inf
71,inf,inf,inf
72,inf,inf,inf
73,inf,inf,inf
74,inf,inf,inf
75,inf,inf,inf
76,inf,inf,inf
77,inf,inf,inf
78,inf,inf,inf
