t,mse_t,rmse_t,mse_db_t
0,1.1148796081542969,1.055878595367051,0.47227972014479147
1,2.0651252269744873,1.4370543576964956,3.1494639194158998
2,5.611083030700684,2.3687724733922173,7.49046695277746
3,15.336798667907715,3.9162224997959085,11.857347164606228
4,41.711360931396484,6.458433318645977,16.202543599573996
5,104.47807312011719,10.221451615114029,20.190251543500533
6,264.2608642578125,16.256102369812158,24.220328510039778
7,660.6607666015625,25.70332209270939,28.199785169576074
8,1485.1326904296875,38.53741935352817,31.717652577926145
9,3767.69921875,61.381586968324626,35.76076225105155
10,8980.3408203125,94.76466018676213,39.53292819247734
11,22831.7265625,151.1017093301727,43.58538754600788
12,56498.203125,237.6935066950715,47.520346356901186
13,127170.3046875,356.6094568116499,51.0438571181585
14,355109.0625,595.9102805792161,55.50361755780975
15,971554.4375,985.6746103557705,59.874671397206725
16,2499061.75,1580.842101539556,63.97776987360117
17,6467043.5,2543.038241946039,68.10705782200623
18,17702082.0,4207.384223006024,72.48024348166112
19,40264932.0,6345.46546756028,76.04926969986258
20,104317928.0,10213.614835111024,80.18358952361167
21,286990208.0,16940.785341890147,84.57867079019307
22,819522176.0,28627.297741840743,89.13560709931076
23,2524414720.0,50243.554014420595,94.02160703904947
24,9196473344.0,95898.24473888977,99.63621316381145
25,33370261504.0,182675.28980133028,105.233596099901
26,121619365888.0,348739.68212407373,110.85002734711742
27,379969830912.0,616416.9294495407,115.79749115594232
28,1467045904384.0,1211216.7041384461,121.66443703283474
29,5848592023552.0,2418386.2436658046,127.67051327620845
30,24203417878528.0,4919696.929540274,133.83876699078468
31,107043335700480.0,10346174.930885326,140.29559634184395
32,397795106226176.0,19944801.483749494,145.99659436023106
33,1280253917921280.0,35780636.07485591,151.07296113566375
34,4934410080092160.0,70245356.28845625,156.93235239219493
35,2.000022388342784e+16,141422147.78254443,163.01034857203635
36,7.798851437697434e+16,279264237.5546399,168.92030647434157
37,3.19675068676309e+17,565398150.5773687,175.04708767149037
38,1.3045794798881997e+18,1142181894.3969474,181.15470543095398
