t,mse_t,rmse_t,mse_db_t
0,1.5033425092697144,1.2261086857492343,1.7705793796519929
1,3.2280664443969727,1.7966820654742932,5.0894246537406485
2,8.441618919372559,2.905446423421461,9.264257428729714
3,22.026447296142578,4.693234204271355,13.429444542953332
4,54.11503219604492,7.356292014054698,17.333179211689057
5,120.49441528320312,10.976994820223025,20.809669185466223
6,266.2815856933594,16.31813671021785,24.25341134488982
7,582.62890625,24.137707145667335,27.653920276885636
8,1226.8468017578125,35.026372946078965,30.887903350944903
9,2574.4033203125,50.73857822517793,34.10676586882544
10,5192.68310546875,72.06027411458237,37.15391819659253
11,9945.6904296875,99.72808245267478,39.976349372236925
12,22919.0546875,151.39040487263387,43.601967008839694
13,49640.05859375,222.8004905599402,46.9583228545617
14,117930.0703125,343.40947906617254,50.716245574757444
15,283802.75,532.7314051189398,54.5301659938093
16,700387.6875,836.8916820592734,58.45338502777186
17,1817169.75,1348.0243877615865,62.593954986040536
18,5449514.5,2334.419520994459,67.36357812485257
19,16558326.0,4069.192303148132,72.19016428722367
20,56979116.0,7548.451231875318,77.55715707113004
21,142625392.0,11942.5873243615,81.5419685106836
22,411683872.0,20289.994381467925,86.14563853544482
23,1126427520.0,33562.293127854064,90.5170325227224
24,2266829312.0,47611.23094396951,93.55418819796859
25,5505613312.0,74199.82016150713,97.40805705356983
26,12915208192.0,113645.09752734606,101.11101411353937
27,39099338752.0,197735.52728834542,105.92169412669884
28,140471894016.0,374795.8030928308,111.47589438157043
29,598328213504.0,773516.7829491484,117.7693948200001
30,3305389948928.0,1818073.1417982061,125.19222702150762
31,19412719501312.0,4405986.779520792,132.88086379369952
32,111807033245696.0,10573884.491789004,140.4846912379836
33,521227500257280.0,22830407.36073888,147.1702732126717
34,2823803289731072.0,53139470.16795587,154.50834439844408
35,1.5041384566226944e+16,122643322.55050392,161.77287815098438
36,7.34174236335145e+16,270956497.6772369,168.65799140160067
37,4.0074068660269875e+17,633040825.3838758,176.0286343794058
38,1.552763718410961e+18,1246099401.4969115,181.91105374854547
39,7.633880644346446e+18,2762947817.8833647,188.82745365475938
40,3.8716689532504244e+19,6222273662.617568,195.87898215908302
41,1.9149641626332797e+20,13838223016.822931,202.82160650828797
42,8.783003028416071e+20,29636131711.841328,209.43643032498701
43,3.117334522645585e+21,55833095227.16419,214.93783409124345
44,8.328943640060113e+21,91263046410.14409,219.20589923329408
45,2.3337545182642853e+22,152766309056.16217,223.68055171773565
46,5.635265943176005e+22,237387150940.73657,227.5091441637653
47,1.9657275624749722e+23,443365262788.4792,232.93523327172375
48,7.322796789181077e+23,855733415800.8016,238.64676982441938
49,3.2169839039375583e+24,1793595245292.9724,245.07448887930695
50,7.423145635790176e+24,2724545032806.4272,248.70587981123828
51,2.7218403770902374e+25,5217126006807.04,254.34862652321542
