t,mse_t,rmse_t,mse_db_t
0,0.8807273507118225,0.9384707511221767,-0.5515851656835311
1,1.6273882389068604,1.275691278839383,2.114911730358339
2,5.228907585144043,2.28668047290041,7.1841096624796545
3,15.571550369262695,3.9460803804867806,11.923318549120802
4,44.282264709472656,6.654492069983452,16.462298237169833
5,142.1297607421875,11.921818684336191,21.526850249565413
6,471.930908203125,21.72397082034325,26.73878421552502
7,1525.1446533203125,39.05310043159586,31.833110365742826
8,4869.35546875,69.7807671837305,36.87471479717713
9,15995.7412109375,126.47427094447906,42.040043692317404
10,55975.51953125,236.5914612390946,47.47998133131067
11,211270.734375,459.641963244219,53.248393419188254
12,866170.5625,930.6828474297783,59.37603419798978
13,3841876.5,1960.0705344451255,65.84543400028387
14,17769458.0,4215.383493823545,72.4967418125499
15,83927928.0,9161.21869622159,79.23906501448931
16,404652160.0,20115.967786810557,86.0708186296304
17,1948172032.0,44138.101816910974,92.89627304313385
18,9405297664.0,96980.9139160897,99.73372544892987
19,45639163904.0,213633.24625160758,106.59337679672444
20,224293486592.0,473596.3329587762,113.50816661999262
21,1082901266432.0,1040625.420808083,120.34588861612883
22,5215735513088.0,2283798.483467401,127.17315560461834
23,25295958573056.0,5029508.780492982,134.0305114134889
24,124155231993856.0,11142496.667886242,140.93965025768824
25,604192242663424.0,24580322.265247542,147.8117514498543
26,2948446998757376.0,54299604.03867947,154.6959332531237
27,1.4182043214675968e+16,119088384.04595122,161.51738804396769
28,6.83610617151488e+16,261459483.88832408,168.34808799125497
29,3.330903818454958e+17,577139828.677155,175.22562092397766
30,1.6267668982742385e+18,1275447724.6340747,182.11325326725478
31,8.005066424034787e+18,2829322608.6883035,189.0336493993703
32,3.8941218602989126e+19,6240289945.426344,195.9040953794603
33,1.9127183441628496e+20,13830106088.395885,202.8165102304266
34,9.295527443447111e+20,30488567436.741123,209.68274037387064
35,4.482920786731471e+21,66954617366.776665,216.51561064944457
