t,mse_t,rmse_t,mse_db_t
0,0.96116042137146,0.9803878933215464,-0.17204120862177102
1,1.4097310304641724,1.1873209466964576,1.4913625937306163
2,2.324026107788086,1.5244756829113693,3.662410025498821
3,3.060823917388916,1.7495210537141062,4.85838346289286
4,3.2730729579925537,1.8091636073038153,5.149556859986356
5,2.9767262935638428,1.7253191859954038,4.737389036223185
6,2.4872360229492188,1.5770973409873021,3.957169990217774
7,2.2008960247039795,1.4835417165364713,3.4259952598636367
8,2.3060240745544434,1.5185598686105344,3.6286383695329087
9,2.7437400817871094,1.6564238834872882,4.3834296767898415
10,3.2902910709381104,1.8139159492485064,5.1723431889548666
11,3.7285408973693848,1.930943007281516,5.715389111129885
12,3.989997625350952,1.9974978411379953,6.009726372162508
13,4.140549659729004,2.034834061964023,6.170579977252045
14,4.338081359863281,2.0828061263265196,6.372976928622056
15,4.722365856170654,2.173100516812477,6.7415963017199765
16,5.393575191497803,2.322407197607216,7.318767375833808
17,6.344892978668213,2.5189071000472034,8.024243011090807
18,7.493586540222168,2.7374416048972017,8.746897271546798
19,8.788743019104004,2.9645814239288493,9.439267659835684
20,10.234236717224121,3.199099360323796,10.100554579551586
21,11.940875053405762,3.4555571263409552,10.770361540077896
22,14.089189529418945,3.753556917034687,11.488860113474908
23,16.889007568359375,4.109623774551555,12.276041303141483
24,20.440120697021484,4.521075170467915,13.104834559389788
25,24.786645889282227,4.978618873671917,13.94217762333378
26,29.85992431640625,5.464423511808565,14.75088702618451
27,35.62633514404297,5.968780038168853,15.517711490818307
28,42.170040130615234,6.493846327918088,16.25004014306219
29,49.72947311401367,7.05191272733956,16.966138578871888
30,58.68391799926758,7.660542931102702,17.685191015696553
31,69.47708129882812,8.335291314574922,18.4184156564095
32,82.64409637451172,9.09087984600565,19.17211835481014
33,98.73871612548828,9.936735687613327,19.944874758990995
34,118.3599624633789,10.879336490033705,20.732048187566757
35,142.3656463623047,11.931707604626618,21.534052042219678
36,171.93048095703125,13.112226392075117,22.35352878071221
37,208.63442993164062,14.444183255956032,23.193859795242012
38,254.10595703125,15.94070127162698,24.050148463784893
39,309.9933166503906,17.60662706626089,24.913523306950964
40,377.7611389160156,19.436078280250253,25.772172790956095
41,458.89691162109375,21.421879273796073,26.617151349000846
42,555.0478515625,23.55945354974304,27.44330425958186
43,668.8311157226562,25.861769384994837,28.253164693835714
44,803.734619140625,28.350213740651498,29.051126750317895
45,965.261474609375,31.068657431716854,29.8464497303104
46,1161.4449462890625,34.079978672074645,30.649986286093256
47,1401.196533203125,37.43255980030119,31.464990541290867
48,1695.9925537109375,41.1824301579076,32.294239411463145
49,2059.53955078125,45.382150133959605,33.13770136433793
50,2508.15234375,50.08145708493314,33.993539117602
51,3063.53369140625,55.349197748533356,34.86222660875371
52,3749.049560546875,61.2294827721652,35.739211816138045
53,4597.794921875,67.80704183102961,36.62549596275515
54,5641.54638671875,75.11022824302127,37.51398163410131
55,6909.77685546875,83.12506755166429,38.39464022482247
56,8439.12109375,91.86468904726125,39.26297218662337
57,10288.4453125,101.43197381743096,40.12349753458844
58,12518.83203125,111.88758658247124,40.975638124171816
59,15187.09765625,123.23594303712696,41.81474785560657
60,18434.1484375,135.7724141256242,42.65623080242287
61,22382.775390625,149.60874102346094,43.499139366204616
62,27199.298828125,164.9220992715197,44.34557708482684
63,33119.4765625,181.9875725496112,45.20083464350335
64,40417.2890625,201.0405159725273,46.06567180414302
65,49469.42578125,222.4172335527308,46.94336869299256
66,60734.09375,246.44288131329742,47.83432555502853
67,74685.8828125,273.2871801100447,48.73238518869754
68,91901.859375,303.15319456505813,49.63324298199314
69,113053.1171875,336.233724048466,50.53282541547954
70,138873.40625,372.6572235312231,51.42619087892743
71,170357.09375,412.74337517396935,52.31360222508168
72,208701.78125,456.8389007626211,53.195261557436744
73,255449.578125,505.42019956171123,54.073051897815006
74,312405.75,558.9326882550349,54.947190187081105
