t,mse_t,rmse_t,mse_db_t
0,0.4658411145210266,0.6825255412957281,-3.3176218385282006
1,0.20045650005340576,0.44772368717034144,-6.9797985664191025
2,0.1301041543483734,0.36069953472159266,-8.857088357845392
3,0.08465253561735153,0.29095108801541114,-10.723600288352408
4,0.0580206923186779,0.2408748478332221,-12.364170933825845
5,0.04128647595643997,0.2031907378707011,-13.841921851317807
6,0.030460253357887268,0.1745286605629209,-15.162664886731614
7,0.022400083020329475,0.14966657282215517,-16.497503720585087
8,0.017330430448055267,0.1316450927610113,-17.611906502754927
9,0.013980786316096783,0.11824037515204687,-18.54468402042522
10,0.012404507026076317,0.1113755225625286,-19.06420490570246
11,0.010415260680019855,0.10205518448378728,-19.823298557712153
12,0.009528668597340584,0.09761489946386558,-20.20967777349348
13,0.00897781178355217,0.09475131547135464,-20.468295036594192
14,0.008053882978856564,0.08974342861099392,-20.939946848857854
15,0.007943302392959595,0.08912520627162439,-20.99998904013125
16,0.007804942317306995,0.08834558459429082,-21.076303022579175
17,0.007384865544736385,0.0859352404123965,-21.316574074218522
18,0.007445954717695713,0.08628994563502583,-21.280796092557782
19,0.007422996684908867,0.08615681450070486,-21.294207334020648
20,0.007441240828484297,0.08626262706690711,-21.28354639718687
21,0.007444686256349087,0.08628259532692029,-21.281536001290576
22,0.007047049701213837,0.08394670750669044,-21.51992665513262
23,0.006932597141712904,0.0832622191736018,-21.591040362377605
24,0.007093128748238087,0.08422071448425314,-21.491621571482412
25,0.007220807485282421,0.08497533456999402,-21.414142336224053
26,0.00732553331181407,0.08558932942729526,-21.351607524145614
27,0.0072674741968512535,0.08524948209139603,-21.386165015162565
28,0.007303494960069656,0.08546048771256608,-21.364692660923644
29,0.007438192144036293,0.0862449543105931,-21.285326070987352
30,0.007443754468113184,0.08627719552763166,-21.282079604878316
31,0.007616463582962751,0.08727235291295149,-21.182466300916243
32,0.007631923072040081,0.08736087838409182,-21.17366015866445
33,0.007825978100299835,0.08846455844178411,-21.064613717346287
34,0.007590673863887787,0.0871244733923126,-21.197196677965668
35,0.007508477661758661,0.08665147235770816,-21.24448106952744
36,0.0075088669545948505,0.08665371864262289,-21.244255906244636
37,0.007438835222274065,0.086248682437902,-21.284950612472162
38,0.007390119135379791,0.08596580212724006,-21.313485603303445
39,0.007520709186792374,0.08672202250174044,-21.237412044364916
40,0.007800827734172344,0.08832229466093114,-21.078593125260717
41,0.007807657588273287,0.08836095058493479,-21.074792412922164
42,0.00782316830009222,0.08844867607879849,-21.066173266611546
43,0.007625141181051731,0.08732205437947352,-21.17752110855394
44,0.0076150535605847836,0.08726427425117786,-21.18327037700937
45,0.007713948842138052,0.08782908881536944,-21.127232456424974
46,0.007505044341087341,0.0866316589999715,-21.24646737526951
47,0.007615975104272366,0.0872695542802435,-21.18274484278888
48,0.00760995177552104,0.08723503754524921,-21.186180953570837
49,0.007616702932864428,0.08727372418353893,-21.182329824575042
50,0.007141629233956337,0.08450816075360022,-21.46202700464517
51,0.0071785468608140945,0.08472630560111832,-21.43963460242485
52,0.0071344864554703236,0.08446588930136427,-21.46637282196448
53,0.007553759030997753,0.08691236408588685,-21.21836873516594
54,0.007255550939589739,0.08517952183236144,-21.393296044613734
55,0.0073102181777358055,0.08549981390468522,-21.36069661075965
56,0.007184857036918402,0.08476353600999903,-21.435818689626238
57,0.007172574754804373,0.08469105475080808,-21.44324916706244
58,0.007018744479864836,0.08377794745554963,-21.53740567960299
59,0.00693885050714016,0.08329976294768286,-21.587124689909803
60,0.00708603672683239,0.08417860017149484,-21.4959660105459
61,0.007471816148608923,0.08643966767988481,-21.265738228897092
62,0.007663959637284279,0.0875440439852094,-21.155467911621415
63,0.00714314728975296,0.08451714198760486,-21.461103947491168
64,0.007239729166030884,0.08508659804006083,-21.40277680197653
65,0.007280324585735798,0.08532481811135491,-21.37849257685382
66,0.007575695868581533,0.08703847349638856,-21.205774686996154
67,0.007350952830165625,0.085737697835699,-21.33656364036483
68,0.007182740140706301,0.08475104802128586,-21.437098453164936
69,0.007035024464130402,0.08387505269226603,-21.527343879778687
70,0.00739976204931736,0.08602186959905812,-21.307822454487475
71,0.007520278915762901,0.08671954171790175,-21.237660517846315
72,0.007656431756913662,0.08750103860477121,-21.159735840663668
73,0.007469784468412399,0.0864279148678967,-21.26691929045321
74,0.007613534573465586,0.08725557044375784,-21.184136757688044
75,0.007508882321417332,0.08665380731056964,-21.24424701845981
76,0.007567693945020437,0.08699249361307237,-21.210364401206007
77,0.007228849921375513,0.08502264358025756,-21.409307915754884
78,0.0072815511375665665,0.08533200535301258,-21.377760961362448
79,0.007245696149766445,0.08512165499898627,-21.399198821765324
80,0.0074532851576805115,0.08633241081818874,-21.27652262636914
81,0.00717367697507143,0.08469756180121969,-21.442581831524517
82,0.007226116955280304,0.08500657007126157,-21.410950136202224
83,0.007548958528786898,0.08688474278483477,-21.221129604767714
84,0.007798805367201567,0.08831084512788656,-21.079719181001906
85,0.007387999910861254,0.08595347526924815,-21.314731184717076
86,0.007178197614848614,0.08472424455165484,-21.439845897674857
87,0.0072552114725112915,0.0851775291524196,-21.393499243694247
88,0.00784805603325367,0.08858925461506982,-21.052379048577205
89,0.007601488381624222,0.08718651490697528,-21.19101363950835
90,0.007243581581860781,0.08510923323506552,-21.400466442134775
91,0.007266349159181118,0.08524288333451138,-21.386837374583866
92,0.007103973999619484,0.08428507578224916,-21.484986367343048
93,0.0073585519567132,0.08578200252216778,-21.33207639342033
94,0.007230610121041536,0.0850329943083362,-21.408250552611953
95,0.007188866380602121,0.08478718287926613,-21.433395885412644
96,0.00734969275072217,0.08573034906450673,-21.337308159436972
97,0.007136076223105192,0.0844752994851465,-21.46540519744996
98,0.007222766987979412,0.08498686362008785,-21.412963955878695
99,0.007460031192749739,0.08637147210016591,-21.27259356600955
100,0.0072877006605267525,0.08536803067030861,-21.37409474145828
101,0.007471667602658272,0.08643880842919037,-21.2658245711286
102,0.007282104343175888,0.08533524678101007,-21.377431024769372
103,0.007369577884674072,0.0858462456061654,-21.325573869858406
104,0.0072433617897331715,0.0851079419897648,-21.400598222187675
105,0.007564775180071592,0.08697571603655581,-21.21203974383053
106,0.007456987630575895,0.0863538512781908,-21.274365773032184
107,0.007667249068617821,0.087562829263437,-21.153604285698524
108,0.007486662361770868,0.08652550122230364,-21.257117525172458
109,0.00739648612216115,0.0860028262451947,-21.309745532681106
110,0.007171242497861385,0.08468318899203894,-21.44405591443002
111,0.007065173238515854,0.08405458487504328,-21.508771847553973
112,0.00690098712220788,0.08307218019414128,-21.610887830213706
113,0.007449781987816095,0.08631211958824841,-21.27856436362289
114,0.00740423146635294,0.08604784405406646,-21.305200130703295
115,0.0073435623198747635,0.08569458745962176,-21.340932152119898
116,0.007133691571652889,0.08446118381631226,-21.466856715080148
117,0.007536724209785461,0.08681430878481647,-21.22817376510053
118,0.007220073137432337,0.08497101351303477,-21.41458403119778
119,0.00722117442637682,0.08497749364612267,-21.413921645610408
120,0.007291016168892384,0.085387447373091,-21.372119386521945
121,0.007207373157143593,0.08489624937029665,-21.422229920389352
122,0.007011823356151581,0.08373663090996425,-21.541690333105503
123,0.007096498738974333,0.0842407190079378,-21.489558700685198
124,0.007249715272337198,0.08514525983480935,-21.39679049716043
125,0.007456095889210701,0.08634868782564505,-21.274885153687613
126,0.007506295572966337,0.08663888026149887,-21.24574338513272
127,0.0071760788559913635,0.08471173977667655,-21.441127975930403
128,0.007041463628411293,0.08391342936867312,-21.523370596539383
129,0.007369729690253735,0.0858471297729501,-21.32548441066877
130,0.0073687355034053326,0.08584133912868165,-21.326070319523218
131,0.007499550003558397,0.08659994228380523,-21.24964794852911
132,0.0073540895245969296,0.085755988272522,-21.334710875754258
133,0.007365232799202204,0.08582093450436323,-21.328135214878728
134,0.00736640952527523,0.08582778993586652,-21.3274414081326
135,0.007163513917475939,0.08463754437290781,-21.44873891013963
