t,mse_t,rmse_t,mse_db_t
0,0.6252939701080322,0.790755316205988,-2.0391575932738313
1,0.4161345660686493,0.6450849293454695,-3.807662081931591
2,0.3640151023864746,0.6033366410110318,-4.388805978150952
3,0.3284614384174347,0.5731155541576539,-4.8351560956094985
4,0.2938024401664734,0.5420354602481957,-5.319446015122924
5,0.26602622866630554,0.5157773053036606,-5.750755423032049
6,0.2369045466184616,0.48672841155870655,-6.254266043158111
7,0.21775078773498535,0.46663774786764234,-6.620402652142668
8,0.20002497732639313,0.44724152012798757,-6.989157701473847
9,0.1841958463191986,0.42918043562026287,-7.347201675213143
10,0.17669960856437683,0.42035652554037606,-7.527644125674831
11,0.16629639267921448,0.4077945471425709,-7.791171714449627
12,0.15651023387908936,0.39561374328894255,-8.054572595750091
13,0.15032386779785156,0.3877162207051074,-8.229720584686412
14,0.13770464062690735,0.37108575912706127,-8.610514238338626
15,0.13367025554180145,0.36560943032394755,-8.739652216924215
16,0.13007985055446625,0.36066584334320634,-8.85789970699945
17,0.12339798361063004,0.35128049136072165,-9.086919368500336
18,0.12017349898815155,0.34666049528054327,-9.201912936655868
19,0.11651661247015,0.34134529800504065,-9.336121502622479
20,0.1094488650560379,0.33083056850302983,-9.607887375447072
21,0.10744208097457886,0.3277835886291119,-9.688255886954058
22,0.1069423109292984,0.3270203524695342,-9.708504354124262
23,0.10431750118732452,0.322982199489886,-9.8164282454116
24,0.10172823816537857,0.3189486450282844,-9.925584769971884
25,0.09577704966068268,0.3094786739998132,-10.187385451992373
26,0.09514322876930237,0.30845296038343084,-10.216221145001194
27,0.09184117615222931,0.3030530913094755,-10.369625631739726
28,0.08929518610239029,0.29882300129406086,-10.491719532673404
29,0.0871419832110405,0.29519821004037355,-10.5977256044559
30,0.08576720952987671,0.29286039255911117,-10.666787196354283
31,0.08295675367116928,0.288022140939146,-10.811482514392083
32,0.08168882131576538,0.2858125632574002,-10.878373703102106
33,0.08143222332000732,0.28536331810519605,-10.892037076309729
34,0.07888007909059525,0.28085597570747045,-11.030326626130943
35,0.07851050049066544,0.2801972528249794,-11.050722540805097
36,0.07550482451915741,0.274781412251916,-11.220252974422532
37,0.07713527232408524,0.27773237536175943,-11.127469828731645
38,0.0744265615940094,0.2728123193589494,-11.282720443594854
39,0.07292549312114716,0.2700472053570397,-11.371206255031918
40,0.07256743311882019,0.26938343141110255,-11.392582386663992
41,0.07289881259202957,0.26999780108739696,-11.37279545604236
42,0.07265985012054443,0.26955491114157876,-11.387055023154131
43,0.07234375923871994,0.2689679520662637,-11.405989275039925
44,0.07019879668951035,0.26495055517871696,-11.536703322517424
45,0.07434718310832977,0.2726667986908743,-11.287354815291657
46,0.07036228477954865,0.2652589014143515,-11.526600667268008
47,0.06980487704277039,0.2642061260507984,-11.561142335549192
48,0.07220785319805145,0.26871518974194863,-11.414155667640607
49,0.07188887894153595,0.2681210154790854,-11.433382888644841
50,0.07041944563388824,0.26536662494346996,-11.523073981680065
51,0.06882669031620026,0.2623484139769102,-11.62243113955932
52,0.06901592761278152,0.2627088266746695,-11.61050670478841
53,0.06958136707544327,0.2637828028424963,-11.57507042856482
54,0.06769411265850067,0.26018092293344774,-11.69449100164293
55,0.06441900134086609,0.2538089859340407,-11.909860121383852
56,0.0666077733039856,0.25808481804241334,-11.76475084552957
57,0.06636859476566315,0.2576210293544825,-11.780373776567227
58,0.0703485906124115,0.265233087325868,-11.527445989454247
59,0.06704626232385635,0.25893293016504554,-11.736254280639823
60,0.06649310141801834,0.25786256304089267,-11.772234099074037
61,0.06591024994850159,0.2567299163488774,-11.810470414011082
62,0.06591462343931198,0.2567384338958855,-11.810182246402423
63,0.06653868407011032,0.257950933454621,-11.769257923872578
64,0.06719209253787994,0.2592143756389293,-11.726818336311545
65,0.06576505303382874,0.2564469789914257,-11.8200482532811
66,0.06601551920175552,0.2569348540034137,-11.803539567096216
67,0.06668619066476822,0.2582366950391989,-11.759640902065023
68,0.07031884044408798,0.2651769983314691,-11.529282993803328
69,0.06695236265659332,0.2587515461916959,-11.742340927279056
70,0.07199506461620331,0.2683189605976501,-11.426972741717108
71,0.0679437443614006,0.2606602086268647,-11.678505229548751
72,0.0672609806060791,0.2593472201626212,-11.722368053427534
73,0.06532765924930573,0.2555927605573087,-11.849029027059817
74,0.06702034920454025,0.25888288704458673,-11.737933136357848
75,0.06692345440387726,0.2586956791364658,-11.74421650049412
76,0.06652438640594482,0.2579232180435581,-11.77019122514886
77,0.06615347415208817,0.257203176792372,-11.79447343230647
78,0.06111343204975128,0.24721131052148743,-12.138633261899265
79,0.06250065565109253,0.25000131129874603,-12.041154267493967
80,0.06540039926767349,0.25573501767977236,-11.844196003115417
81,0.06478805840015411,0.25453498462913526,-11.88505035006581
82,0.06528585404157639,0.2555109665779072,-11.851809102596292
83,0.06494008004665375,0.25483343588833424,-11.874871803882034
84,0.06588618457317352,0.25668304301837613,-11.81205641440085
85,0.06541654467582703,0.25576658240635547,-11.843123991876904
86,0.06319350749254227,0.25138318856387804,-11.993275388853956
87,0.06190288066864014,0.24880289521756,-12.082891404890102
88,0.06095656752586365,0.24689383857412003,-12.149794961721767
89,0.06345013529062271,0.2518931029040349,-11.975674475502338
90,0.06424436718225479,0.25346472571593626,-11.921649443998524
91,0.06571894884109497,0.2563570729297223,-11.823093916180309
92,0.06823471188545227,0.26121774802921083,-11.659946378774237
93,0.0675378143787384,0.25988038475179,-11.70452997870167
94,0.06520736962556839,0.2553573371289112,-11.857033182734671
95,0.06352776288986206,0.25204714418112745,-11.970364379386996
96,0.06700339913368225,0.2588501480271592,-11.739031646490869
97,0.06924482434988022,0.26314411327232884,-11.596126820510746
98,0.06680919229984283,0.25847474209261306,-11.751637786854804
99,0.06687235087156296,0.2585968887507407,-11.747534090776332
100,0.06526297330856323,0.2554661881904594,-11.853331441232795
101,0.06311384588479996,0.2512246920284707,-11.998753549914925
102,0.06500867754220963,0.2549679931721031,-11.870286686315342
103,0.06725858151912689,0.25934259488006767,-11.722522961785636
104,0.06525866687297821,0.2554577594691111,-11.853618023780994
105,0.06313477456569672,0.25126634188783964,-11.997313659217061
106,0.062321119010448456,0.24964198166664286,-12.053647572658528
107,0.06176255643367767,0.2485207364259121,-12.092747362788295
108,0.06167776510119438,0.2483500857684458,-12.098713713676643
109,0.06504029035568237,0.25502997932729865,-11.868175286134166
110,0.06569846719503403,0.2563171223212254,-11.824447628070999
111,0.0628044605255127,0.2506081812820816,-12.020095105172107
112,0.06211273372173309,0.2492242639105051,-12.068193560525204
113,0.062337007373571396,0.2496738019367899,-12.05254050829485
114,0.06354580819606781,0.252082939121369,-11.96913092432705
115,0.06362607330083847,0.2522420926428388,-11.96364878530234
116,0.06277892738580704,0.2505572337527038,-12.021861087443657
117,0.06428342312574387,0.25354175814990293,-11.919010048856933
118,0.06343618035316467,0.25186540126258844,-11.976629748311233
119,0.06453201919794083,0.25403153189700844,-11.902247456660973
120,0.06452396512031555,0.2540156788867875,-11.902789522415224
121,0.06455112993717194,0.25406914400842134,-11.90096151210362
122,0.0652536153793335,0.25544787213702425,-11.853954212188476
123,0.06298381090164185,0.2509657564323106,-12.007710654606253
124,0.06530388444662094,0.25554624717772895,-11.850609849797758
125,0.06451147794723511,0.25399109816533944,-11.903630083775951
126,0.06619293242692947,0.25727987178737766,-11.79188378715029
127,0.0657905638217926,0.25649671308184946,-11.818363917052002
128,0.0681477040052414,0.2610511520856428,-11.665487715923518
