t,mse_t,rmse_t,mse_db_t
0,1.0422890186309814,1.0209255695842776,0.17988162142244304
1,1.6307423114776611,1.2770052120009774,2.1238533961476307
2,2.797325849533081,1.6725208069058755,4.467430585816037
3,3.72694730758667,1.930530317707202,5.713532526448737
4,4.09145450592041,2.0227344130954044,6.118777264915679
5,3.8097667694091797,1.9518623848543164,5.808983893609193
6,3.3711774349212646,1.8360766418974086,5.27781611310425
7,3.0470383167266846,1.7455767862591105,4.838779155414573
8,3.149780035018921,1.7747619657348195,4.9828022588068865
9,3.5803046226501465,1.892169290166751,5.53919979243819
10,4.090591907501221,2.02252117603283,6.117861548440824
11,4.558104515075684,2.1349717832036292,6.587842791155837
12,4.912588119506836,2.216435904669214,6.913103536068586
13,5.183348655700684,2.2766968739163946,7.146104224521497
14,5.508028030395508,2.346918837624239,7.409961417183499
15,6.021317005157471,2.45383720021469,7.7969149217418
16,6.776454925537109,2.603162485427506,8.31002553907432
17,7.887195110321045,2.808415053071936,8.969225843644693
18,9.118685722351074,3.019716165859148,9.59932247904929
19,10.4233980178833,3.228528769870775,10.1800932163577
20,11.847960472106934,3.442086645060948,10.736435965956574
21,13.374321937561035,3.6570920056188134,11.262717730304349
22,15.241951942443848,3.90409425378587,11.830405879713673
23,17.544843673706055,4.188656547594474,12.441495029618384
24,20.309770584106445,4.5066362826510025,13.077050177120764
25,23.566862106323242,4.8545712587542935,13.723017606902122
26,27.239093780517578,5.219108523542845,14.351926549049425
27,31.503700256347656,5.612815715516381,14.983615666954687
28,36.23301696777344,6.0193867601088265,15.591044973772092
29,41.78728485107422,6.464308536191185,16.210441535675578
30,48.530120849609375,6.966356353906207,16.86011372795878
31,56.22944259643555,7.498629381189308,17.499637783610464
32,65.2969970703125,8.080655732693511,18.148932090579127
33,75.89620971679688,8.71184307232384,18.80220087619029
34,88.27633666992188,9.395548768960857,19.458443023209597
35,102.82109832763672,10.140073881764211,20.120822386584642
36,119.87862396240234,10.948909715693263,20.78741749213836
37,140.21156311035156,11.841096364372328,21.467838309483458
38,163.9426727294922,12.804010025358938,22.146920110373415
39,192.30740356445312,13.867494494841276,22.83996004286815
40,224.95225524902344,14.998408423863628,23.520903515237972
41,262.0263366699219,16.187227578245814,24.18344945119671
42,305.46539306640625,17.477568282412925,24.849620150642238
43,355.0317077636719,18.842285099309795,25.502671414828633
44,413.90313720703125,20.344609536853522,26.168987181778533
45,482.7215576171875,21.97092527904065,26.836966941887567
46,563.3211669921875,23.734387857962282,27.507560703107877
47,658.0330810546875,25.652155485547166,28.18247727289288
48,769.1090698242188,27.732815757225566,28.85987932862429
49,900.8839111328125,30.01472823686419,29.546688309317055
50,1055.8695068359375,32.49414573174586,30.23610247778322
51,1240.2183837890625,35.21673442823827,30.934981646169412
52,1457.7430419921875,38.18040128118336,31.636809771508013
53,1712.816162109375,41.38618322712757,32.337107523023796
54,2016.784423828125,44.90862304533646,33.04659478507532
55,2370.115966796875,48.68383681261035,33.747695960134074
56,2782.8291015625,52.752526968501705,34.444865363637504
57,3272.47265625,57.205529944665315,35.148760264101576
58,3842.545166015625,61.98826635755855,35.84618980982732
59,4518.00390625,67.21609856462959,36.54946602073961
