t,mse_t,rmse_t,mse_db_t
0,0.9887453317642212,0.9943567427056655,-0.04915553955784081
1,1.458187222480774,1.2075542316934564,1.6381328836482758
2,2.385514736175537,1.5445111641472642,3.7758210369517675
3,3.1115834712982178,1.763968103821103,4.929814558549495
4,3.3404126167297363,1.8276795716781802,5.238001153447836
5,3.0929975509643555,1.7586920000285313,4.903795761289186
6,2.6633460521698,1.6319761187498425,4.254275985770465
7,2.402006149291992,1.5498406851325048,3.8057411489043487
8,2.5008933544158936,1.5814213083223247,3.980951725077115
9,2.8862786293029785,1.698905126633909,4.60338253759495
10,3.3529012203216553,1.8310929032470349,5.2542075888627515
11,3.7174644470214844,1.9280727286649444,5.702468237209
12,3.9157233238220215,1.9788186687572011,5.928119979466391
13,4.013394832611084,2.003345909375384,6.035118871670098
14,4.173342704772949,2.0428760864949567,6.204840493847668
15,4.550328731536865,2.133149955239168,6.580427727308262
16,5.227678298950195,2.2864116643662826,7.183088541017936
17,6.208209991455078,2.4916279801477343,7.929663984221343
18,7.382387638092041,2.717054956766985,8.68196845609624
19,8.65681266784668,2.9422461942955556,9.373580195502406
20,10.013129234313965,3.1643528934545158,10.005698214172714
21,11.558077812194824,3.3997173135710597,10.628856139314616
22,13.471795082092285,3.670394404160442,11.29425468202976
23,15.953394889831543,3.9941701127808193,12.028531152950684
24,19.10651397705078,4.371099858965794,12.811814563572186
25,22.904123306274414,4.78582524819643,13.5991367308071
26,27.271835327148438,5.2222442806851195,14.357143658709276
27,32.10148620605469,5.665817346690122,15.06525139449951
28,37.50446701049805,6.124089075976773,15.740829979269861
29,43.69584274291992,6.610283106109747,16.4044011981495
30,51.05642318725586,7.145377749794329,17.080503865659885
31,59.95530700683594,7.743081234678862,17.778276311675647
32,70.77146911621094,8.412578030319299,18.498582110417615
33,83.77432250976562,9.15283139305896,19.231109243442525
34,99.32852172851562,9.966369536020407,19.97073972067666
35,117.9986343383789,10.862717631347088,20.71876981011733
36,140.6959228515625,11.86153121867335,21.482815124402617
37,168.65892028808594,12.986874923863937,22.27009315756131
38,203.11448669433594,14.251823977804944,23.077408996088558
39,245.01292419433594,15.652888685298185,23.891889935818504
40,295.23187255859375,17.18231278258529,24.701632411222608
41,354.1709289550781,18.819429559768228,25.492129105736012
42,423.1664123535156,20.57100902613957,26.265111894892957
43,504.0523986816406,22.45111130170711,27.024756858015422
44,599.44580078125,24.483582270191796,27.777499222376797
45,713.4973754882812,26.711371651195325,28.53392379955146
46,851.2182006835938,29.175643963477373,29.30040901102224
47,1018.5396118164062,31.914567391967047,30.07977923722787
48,1222.769287109375,34.968118152245125,30.873445218054133
49,1471.212158203125,38.35638353915975,31.67675305285696
50,1775.1419677734375,42.13243367968954,32.49233091675659
51,2149.94775390625,46.36752908993804,33.3242790621053
52,2609.494384765625,51.08321039995064,34.16556366656921
53,3176.759033203125,56.36274508221832,35.01984273524303
54,3869.318359375,62.20384521374061,35.87634464027714
55,4709.169921875,68.62339194381899,36.72944361455942
56,5721.88330078125,75.64313122009989,37.57538996016679
57,6933.46484375,83.26742966940915,38.40950317796937
58,8387.5322265625,91.58347136117139,39.23634201825797
59,10120.947265625,100.60291877289147,40.05221162007851
60,12227.072265625,110.57609264947374,40.87322479023234
61,14788.29296875,121.60712548510469,41.69918045731957
62,17920.349609375,133.86691006135536,42.53346478090688
