t,mse_t,rmse_t,mse_db_t
0,0.4758669435977936,0.6898310978767147,-3.225144626979646
1,0.24461005628108978,0.4945806873312885,-6.1152569244442
2,0.17929315567016602,0.4234302252675947,-7.464362888617641
3,0.13409174978733063,0.3661854035694632,-8.725979419997076
4,0.10138481110334396,0.3184098162798125,-9.940271036624548
5,0.07739045470952988,0.278191399416894,-11.113126016248398
6,0.06066495180130005,0.2463025614996727,-12.170621431152275
7,0.05011250823736191,0.22385823245384992,-13.00053859353235
8,0.042628224939107895,0.2064660382220473,-13.703027512187036
9,0.03612861782312393,0.1900752951414884,-14.421486529703802
10,0.030658258125185966,0.1750949974304976,-15.134525235882876
11,0.02797914482653141,0.16726967694872674,-15.531655637110331
12,0.024724885821342468,0.1572414888677364,-16.068657052828726
13,0.02304082177579403,0.15179203462564836,-16.37502035390833
14,0.02109108492732048,0.1452277002755345,-16.759010795383883
15,0.019840164110064507,0.14085511744365026,-17.024547398531773
16,0.01832890324294567,0.13538427989595272,-17.368635213873297
17,0.017756018787622452,0.13325171213767745,-17.506544041199508
18,0.01712464727461338,0.13086117558165744,-17.663783651357797
19,0.01686222478747368,0.129854629441825,-17.73085125489463
20,0.016562964767217636,0.12869718243698125,-17.808619219715847
21,0.016375470906496048,0.12796667889140534,-17.858062022276517
22,0.01557888463139534,0.12481540222022017,-18.074636388181467
23,0.016068875789642334,0.12676306950228972,-17.940145062754542
24,0.015773897990584373,0.12559417976396986,-18.020609720727908
25,0.01573975756764412,0.12545819051637927,-18.030019611666134
26,0.0157112218439579,0.125344412894863,-18.03790039055858
27,0.015710221603512764,0.12534042286314803,-18.03817688893573
28,0.015637561678886414,0.12505023662067344,-18.058309643170883
29,0.015467602759599686,0.12436881747286851,-18.105769900466807
30,0.01533361803740263,0.12382898706442942,-18.143553592821068
31,0.016246680170297623,0.1274624657312796,-17.89235368901529
32,0.015883859246969223,0.12603118362916862,-17.990439700427693
33,0.015413728542625904,0.12415203801237377,-18.120922938174918
34,0.01499499473720789,0.12245405153447513,-18.24053682328727
35,0.014421124011278152,0.12008798445838847,-18.410008885159353
36,0.014338474720716476,0.11974337025788308,-18.43497045014661
37,0.015201659873127937,0.12329501155005396,-18.181089887405896
38,0.015105531550943851,0.12290456277512178,-18.2086398766445
39,0.01481926254928112,0.12173439345263573,-18.291734076081458
40,0.015353226102888584,0.12390813574131677,-18.138003542929095
41,0.014998321421444416,0.12246763417917575,-18.239573434907513
42,0.015276645310223103,0.12359872697654739,-18.159720046094215
