t,mse_t,rmse_t,mse_db_t
0,0.9634318351745605,0.9815456358084226,-0.1617900716813618
1,1.371673345565796,1.1711845907310239,1.372506994837722
2,2.1773841381073,1.4755961975104503,3.379350548303819
3,2.853688955307007,1.6892865225612281,4.554066343863781
4,3.099552869796753,1.7605547051417496,4.912990486131164
5,2.909214735031128,1.7056420301549584,4.637757785853939
6,2.5489020347595215,1.5965281190005773,4.063531439898812
7,2.299755096435547,1.5164943443467065,3.61681589961222
8,2.327651262283325,1.5256642036448667,3.6691791317235523
9,2.6040613651275635,1.6137104341013488,4.156512142365028
10,2.961002826690674,1.720756469315363,4.7143882198422515
11,3.27534556388855,1.809791580234738,5.152571267927749
12,3.4637110233306885,1.8611047856933496,5.3954165176101485
13,3.5919387340545654,1.8952410754451703,5.553289205094804
14,3.7721354961395264,1.9421986242759843,5.765872843221398
15,4.117605209350586,2.0291883129346537,6.14644704686154
16,4.6894426345825195,2.1655120952288676,6.7112122755308885
17,5.451141357421875,2.3347679450904484,7.364874441726804
18,6.379002571105957,2.525668737405196,8.047527771962207
19,7.438600063323975,2.7273797064809244,8.714912094731812
20,8.620580673217773,2.9360825385567373,9.3553652042804
21,10.021638870239258,3.165697217081769,10.009387488865904
22,11.768909454345703,3.430584418775568,10.707362215602792
23,13.939727783203125,3.733594485640229,11.442542928863029
24,16.568559646606445,4.070449563206311,12.192847555696126
25,19.669145584106445,4.434991046677146,12.937854948371205
26,23.19552230834961,4.816172994022288,13.65404156250345
27,27.149192810058594,5.210488730441569,14.337569218309916
28,31.613784790039062,5.622613697386569,14.998764925188848
29,36.78515625,6.065076771979065,15.656726051078554
30,42.92097473144531,6.551410133051152,16.326695761942215
31,50.223690032958984,7.086867434414093,17.00908618016072
32,58.991188049316406,7.68057211731759,17.707871427035894
33,69.47038269042969,8.33488948279638,18.417996912722842
34,81.91915130615234,9.050919914912093,19.1338544430358
35,97.00952911376953,9.849341557371718,19.868143965163906
36,115.39962768554688,10.742421872443238,20.62204407655299
37,137.91416931152344,11.743686359551818,21.39608887913941
38,165.3516845703125,12.858914595342505,22.184086237786865
39,198.0829315185547,14.074193814160536,22.968470547073046
40,236.40185546875,15.375365214158329,23.736508809092058
41,281.4803466796875,16.777376036784997,24.49448077245874
42,334.0716247558594,18.27762634358902,25.238395892709057
43,395.61541748046875,19.89008339551317,25.97273208092537
44,468.75048828125,21.650646370980475,26.70941733125625
45,555.9166870117188,23.5778855500598,27.45009710498966
46,660.4932861328125,25.70006393246547,28.198684074005214
47,786.0064086914062,28.035805832745496,28.95426087067356
48,938.3616943359375,30.632689962455753,29.723702707633997
49,1123.92822265625,33.52503874205442,30.507385768027234
50,1349.54443359375,36.736146145094615,31.301871882233193
51,1624.8536376953125,40.309473299651444,32.108142470354785
52,1962.0557861328125,44.29509889516912,32.92711351293276
53,2371.3662109375,48.69667556350741,33.74998627410568
54,2867.8359375,53.55217957749245,34.57554302687371
55,3466.428466796875,58.87638292895441,35.39882242528175
56,4182.259765625,64.6703932694475,36.21411003917788
57,5032.0869140625,70.9372040192063,37.017481336239705
58,6056.7158203125,77.82490488469935,37.82237197145972
59,7283.5615234375,85.34378432807804,38.623437930147844
60,8766.4130859375,93.62912520117605,39.42821931377982
61,10564.33984375,102.7829744838609,40.23842363558302
62,12759.892578125,112.95969448491351,41.05847018199883
63,15412.4384765625,124.14684239465174,41.87871355988687
64,18674.17578125,136.65348799518438,42.71241442532719
65,22664.802734375,150.5483401913651,43.55351943480953
66,27601.447265625,166.13683295893478,44.409318546375346
