t,mse_t,rmse_t,mse_db_t
0,0.9261780381202698,0.962381441072234,-0.3330552137307079
1,1.332502007484436,1.1543405075992248,1.2466787198660711
2,2.1931018829345703,1.4809125169754527,3.4105880776894666
3,2.9130303859710693,1.7067602016601715,4.643450147995643
4,3.1597297191619873,1.7775628594122874,4.996499349928563
5,2.9302284717559814,1.7117910128739378,4.66901483888073
6,2.483462333679199,1.5759004834313617,3.9505757749841406
7,2.168039083480835,1.4724262573999538,3.3606710701167475
8,2.1902244091033936,1.479940677562244,3.4048861467678213
9,2.5197837352752686,1.5873826681916583,4.013632683184495
10,2.970142364501953,1.7234100975977695,4.727772663663115
11,3.3593907356262207,1.832864079965075,5.262605202028643
12,3.6097280979156494,1.899928445472526,5.574744899881714
13,3.766724109649658,1.9408050158760561,5.759638118558756
14,3.9589593410491943,1.9897133816329413,5.975810415226899
15,4.341098308563232,2.083530251415427,6.375996209879968
16,5.005022048950195,2.237190659946129,6.994059950453693
17,5.93310546875,2.4357966805031164,7.732820685614583
18,7.0365891456604,2.652656997363285,8.47362194059708
19,8.234537124633789,2.869588319713089,9.156391918643425
20,9.541082382202148,3.088864254414905,9.795976457683661
21,11.09186840057373,3.3304456759679675,10.450047082513258
22,13.067005157470703,3.614831276487286,11.161760625138813
23,15.65945816040039,3.9572033256329386,11.947767307730544
24,18.945446014404297,4.352636673833953,12.775048339084282
25,22.906702041625977,4.7860946544783225,13.599625667876516
26,27.49164390563965,5.243247457982472,14.392007099344868
27,32.64945602416992,5.713970250549956,15.138759498478665
28,38.48678970336914,6.203772215625679,15.853116868218397
29,45.249996185302734,6.726811739992635,16.556185469290224
30,53.3216552734375,7.3021678475256575,17.26903622830376
31,63.081424713134766,7.94238155172205,17.999014934404002
32,75.01201629638672,8.660947771253833,18.75130839301066
33,89.46520233154297,9.458604671490557,19.516541484553652
34,106.99690246582031,10.343930706739112,20.293712051480718
35,128.37890625,11.330441573478062,21.08493671304537
36,154.91659545898438,12.446549540293661,21.900979441001063
37,187.93960571289062,13.709106670855348,22.74018311393995
38,228.9813995361328,15.132131361316317,23.598002054538355
39,279.26953125,16.711359347761032,24.460235560668924
40,339.71319580078125,18.431310203042575,25.311124169087606
41,411.2292175292969,20.278787378176656,26.140839633825628
42,495.40655517578125,22.257730234140706,26.94961748834063
43,594.6576538085938,24.38560341284574,27.742670130376112
44,713.0177001953125,26.702391282342347,28.531003110604747
45,855.1010131835938,29.242110272406705,29.32017421017037
