t,mse_t,rmse_t,mse_db_t
0,1.0571975708007812,1.0282011334368297,0.24156156551019498
1,2.9198696613311768,1.708762611169608,4.6536346561690465
2,17.61685562133789,4.197243812472405,12.459283950996172
3,111.41397857666016,10.555282022601773,20.4693968309852
4,649.314208984375,25.481644550232133,28.124549066706738
5,3492.0283203125,59.09338643462989,35.430777571714394
6,18875.140625,137.3868284261632,42.75890195926869
7,102472.2734375,320.1129073272429,50.10606371518407
8,566179.125,752.4487524077637,57.529538529053866
9,3194399.25,1787.2882392048575,65.0438919522006
10,18891910.0,4346.482485872915,72.76275867955029
11,114582752.0,10704.333328143328,80.59119248739754
12,709323264.0,26633.12343680328,88.5084420383717
13,4386518016.0,66230.79356311534,96.42119917402167
14,27857776640.0,166906.49070662292,104.44946451947573
15,174569111552.0,417814.6856586063,112.41967401630403
16,1120828784640.0,1058692.0159517592,120.49539275783957
17,7084292177920.0,2661633.366547692,128.50296464522788
18,45881168494592.0,6773563.94334563,136.61634469915614
19,298828422971392.0,17286654.475964747,144.75421902890923
20,1975696230449152.0,44448804.600901835,152.95720171232804
21,1.3078638199046144e+16,114361873.88743743,161.16562525836162
22,9.080016989270835e+16,301330665.37063295,169.58086661113558
23,6.373497821043098e+17,798341895.4961025,178.0437784166961
24,4.5083819531955077e+18,2123295069.7431357,186.54020702657613
25,3.109803932322575e+19,5576561604.001677,194.92733008385474
26,2.181139918828549e+20,14768682807.98443,203.38683526205045
27,1.5540288351815776e+21,39421172422.71693,211.91459072923107
28,1.1111349680542805e+22,105410386967.048,220.45766815305467
29,8.035669232325746e+22,283472560088.7279,229.05022051827808
30,6.0185550576705216e+23,775793468499.8657,237.79492237802094
31,4.571684253903549e+24,2138149726727.188,246.6007622795189
32,3.4900022302349607e+25,5907624082687.523,255.42825704488817
33,2.712010429991379e+26,16468182747320.297,264.33291355430646
34,2.1289641162666648e+27,46140699130666.24,273.2816834145772
35,1.695469939693906e+28,130210212337354.94,282.29290094237496
36,1.3671087574027316e+29,369744338347828.06,291.35803065307454
37,1.1131923440008938e+30,1055079306972179.1,300.46570210804657
38,9.162847127916838e+30,3027019512311877.5,309.62030440897
39,7.562041354782118e+31,8695999859005357.0,318.78639048073404
40,6.277347511777093e+32,2.50546353231834e+16,327.97776171707835
