t,mse_t,rmse_t,mse_db_t
0,1.049177885055542,1.0242938470261072,0.2084912780130541
1,3.2459874153137207,1.8016624032580912,5.113468317346978
2,18.647754669189453,4.318304605882898,12.706265469497726
3,112.5859375,10.610652077040317,20.514841485299932
4,650.0491333007812,25.49606113306095,28.12946183588962
5,3594.029541015625,59.95022552931411,35.55581642457805
6,20040.302734375,141.56377620837543,43.01904277817737
7,112715.2890625,335.73097721613357,50.51982829135055
8,641550.625,800.9685543140879,58.07230932403318
9,3646650.25,1909.620446580943,65.61894112154224
10,21070272.0,4590.236595209445,73.2367014203129
11,126473000.0,11246.02151874164,81.01997820353137
12,775158848.0,27841.674662275615,88.89390708623577
13,4809361920.0,69349.56322861738,96.82087460364428
14,30411247616.0,174388.2095097028,104.83034237363135
15,193687961600.0,440099.9450124937,112.8710262860159
16,1227366727680.0,1107865.8437193558,120.88974345947395
17,7802930593792.0,2793372.619933116,128.92257743931145
18,49744554491904.0,7052981.957435025,136.9674554571375
19,317777013374976.0,17826301.16919873,145.02122479008997
20,2036758585802752.0,45130461.83901459,153.0893955572229
21,1.333360249012224e+16,115471219.31512736,161.24947503517927
22,8.752533463891968e+16,295846809.4114244,169.4213377989475
23,5.795544344266015e+17,761284726.2533259,177.63094233156988
24,3.9263818613113487e+18,1981509995.2590067,185.93992534743276
25,2.6818821431782015e+19,5178689161.533256,194.28439688619227
26,1.8690174188880554e+20,13671201186.757715,202.7161334893994
27,1.3401314967795228e+21,36607806500.52011,211.27147414427378
28,9.705280840881463e+21,98515383777.77078,219.87008107048484
29,7.047865002297035e+22,265478153570.06375,228.48057576828654
30,5.2713988722905016e+23,726043998135.8225,237.21925879330257
31,4.0142835999142856e+24,2003567717825.95,246.0360805114276
32,3.0949737375156047e+25,5563248814780.447,254.90656968154056
33,2.4261927034970676e+26,15576240571771.7,263.84925292302086
34,1.924279929468499e+27,43866615204144.7,272.84268250124035
35,1.5435614449687655e+28,124240148300328.64,281.8852392224036
36,1.2494390961184975e+29,353474057905031.75,290.96715091303355
37,1.017589356817813e+30,1008756341649366.2,300.07572555950304
38,8.371262448509202e+30,2893313403091549.5,309.2279095776354
39,6.937417430866255e+31,8329116058061776.0,318.41197827189103
40,5.780979205062604e+32,2.4043666952157284e+16,327.62001407163945
41,4.834810414205182e+33,6.953280099496339e+16,336.8437944890944
42,4.0598577832174653e+34,2.0149088771498986e+17,346.0851082051176
43,inf,inf,inf
44,inf,inf,inf
45,inf,inf,inf
46,inf,inf,inf
47,inf,inf,inf
48,inf,inf,inf
49,inf,inf,inf
50,inf,inf,inf
51,inf,inf,inf
52,inf,inf,inf
53,inf,inf,inf
54,inf,inf,inf
55,inf,inf,inf
56,inf,inf,inf
57,inf,inf,inf
58,inf,inf,inf
59,inf,inf,inf
60,inf,inf,inf
61,inf,inf,inf
62,inf,inf,inf
63,inf,inf,inf
64,inf,inf,inf
65,inf,inf,inf
66,inf,inf,inf
67,inf,inf,inf
68,inf,inf,inf
69,inf,inf,inf
70,inf,inf,inf
71,inf,inf,inf
72,inf,inf,inf
73,inf,inf,inf
74,inf,inf,inf
75,inf,inf,inf
76,inf,inf,inf
