t,mse_t,rmse_t,mse_db_t
0,1.1472967863082886,1.0711194080532238,0.5967577708468484
1,3.4343812465667725,1.8532083656639295,5.358485040135429
2,20.956008911132812,4.577773357335727,13.2130857445118
3,132.3320770263672,11.50356801285441,21.216651290476882
4,775.647216796875,27.850443745062215,28.896642384806515
5,4329.38623046875,65.79807163184002,36.36426331546361
6,24598.0859375,156.83776948649836,43.9090131445611
7,138511.890625,372.17185630431544,51.414870572355795
8,789305.1875,888.4284931833288,58.97244957100591
9,4537839.0,2130.220411131205,66.56849083295951
10,26634778.0,5160.889264458209,74.25449081305689
11,160659152.0,12675.13913138629,82.0590547031634
12,1003910528.0,31684.5471484129,90.01695008698066
13,6317543936.0,79482.97890743653,98.00548270947473
14,40355115008.0,200885.82580162294,106.05898589342127
15,259093610496.0,509012.38736989495,114.1345670298758
16,1694990860288.0,1301918.1465391747,122.29167360747249
17,11209469329408.0,3348054.5589055144,130.4958505302628
18,75988222345216.0,8717122.366080219,138.80746284822177
19,516020322172928.0,22716080.695686217,147.12666805568625
20,3525562291191808.0,59376445.59243849,155.47228392387584
21,2.4778521029115904e+16,157411946.9072024,163.9407538081073
22,1.798286829556859e+17,424062121.57617414,172.54858963570084
23,1.3100227496404582e+18,1144562252.409391,181.17278837608075
24,9.683666087148782e+18,3111858943.96722,189.86039805655184
25,7.421297107990374e+19,8614695065.984852,198.70479818703572
26,5.824680968094986e+20,24134375832.19211,207.65272142987277
27,4.5550692971868764e+21,67491253486.558365,216.5849498836872
28,3.5994387266011044e+22,189721868180.79523,225.56234784949507
29,2.9591203993532803e+23,543977977435.9694,234.711626358977
30,2.488681660095156e+24,1577555596514.7966,243.9596934734945
31,2.0613703852635296e+25,4540231695919.856,253.14156032450734
32,1.7145781913887963e+26,13094190281910.51,262.34157295408596
33,1.4803993210237358e+27,38475957701189.66,271.7037887723656
34,1.2961654013092181e+28,113849260046309.39,281.1266042459975
35,1.1091590274562726e+29,333040392063225.94,290.44993818282035
36,9.510540842730013e+29,975220018392260.8,299.78205214974685
37,8.410111884185428e+30,2900019290312640.0,309.24801773486513
38,7.5031337845845925e+31,8662063140259711.0,318.7524269020451
39,6.545017615065214e+32,2.558323203792909e+16,328.15910819735564
40,5.708217035487285e+33,7.555274340146283e+16,337.5650047732323
41,5.106154058137131e+34,2.259680078714049e+17,347.08093913795597
42,inf,inf,inf
43,inf,inf,inf
44,inf,inf,inf
45,inf,inf,inf
46,inf,inf,inf
47,inf,inf,inf
48,inf,inf,inf
49,inf,inf,inf
50,inf,inf,inf
51,inf,inf,inf
52,inf,inf,inf
53,inf,inf,inf
54,inf,inf,inf
55,inf,inf,inf
56,inf,inf,inf
57,inf,inf,inf
58,inf,inf,inf
59,inf,inf,inf
60,inf,inf,inf
61,inf,inf,inf
62,inf,inf,inf
63,inf,inf,inf
64,inf,inf,inf
65,inf,inf,inf
66,inf,inf,inf
67,inf,inf,inf
68,inf,inf,inf
69,inf,inf,inf
70,inf,inf,inf
71,inf,inf,inf
72,inf,inf,inf
73,inf,inf,inf
74,inf,inf,inf
75,inf,inf,inf
76,inf,inf,inf
77,inf,inf,inf
78,inf,inf,inf
79,inf,inf,inf
80,inf,inf,inf
81,inf,inf,inf
82,nan,nan,nan
