t,mse_t,rmse_t,mse_db_t
0,1.064956784248352,1.0319674337150142,0.2733198454163426
1,3.1142196655273438,1.7647151797180598,4.933492428376718
2,18.5362548828125,4.305375115226605,12.680219925901813
3,114.4243392944336,10.696931302688336,20.585184134164876
4,658.8921508789062,25.66889461739454,28.188143340002867
5,3575.49365234375,59.795431701290944,35.53336011364574
6,19721.146484375,140.43199950287328,42.94932158950242
7,108549.7578125,329.46890264864146,50.35628858828558
8,599351.375,774.1778703889695,57.77681506000705
9,3356949.0,1832.19786049433,65.25944743337132
10,19778792.0,4447.335382001227,72.96199763309959
11,118525640.0,10886.94814904526,80.73812309046619
12,732732288.0,27069.028205681858,88.64945329236939
13,4450950144.0,66715.4415708987,96.48452729688734
14,28154234880.0,167792.2372459465,104.49543729442644
15,180170129408.0,424464.52078825154,112.55682790479945
16,1176423235584.0,1084630.4603799398,120.70563593688023
17,7800334843904.0,2792907.954785478,128.9211324599029
18,52365268877312.0,7236385.069723141,137.19043337825616
19,355134974459904.0,18845025.19127804,145.50393444667105
20,2477815219879936.0,49777657.83843125,153.94068916253656
21,1.754281539534848e+16,132449293.67629138,162.44099293279984
22,1.2882491552353485e+17,358921879.4160295,171.09999866346192
23,9.533639924562002e+17,976403601.2101759,179.792587450602
24,7.249139535555068e+18,2692422614.5898914,188.60286459379546
25,5.583521916181388e+19,7472296779.559406,197.4690822515001
26,4.3981897114984015e+20,20971861413.566517,206.43273958285337
27,3.4893400146407126e+21,59070635806.97869,215.42743290825985
28,2.814929911091655e+22,167777528623.2234,224.49467585828543
29,2.3046248755864828e+23,480065086794.1224,233.62600245248046
30,1.913775478325507e+24,1383392741894.1833,242.81890985560017
31,1.603255526610043e+25,4004067340355.358,252.0500274565593
32,1.354957255464862e+26,11640263121875.133,261.3192559483511
33,1.1538289368413209e+27,33968057595943.293,270.62141426416997
34,9.892895579992396e+27,99463036249615.84,279.9532342510162
35,8.511494179028108e+28,291744651690962.56,289.30005806470683
36,7.359570156281605e+29,857879371256915.4,298.66852449635536
37,6.387390395542293e+30,2527328707458191.5,308.05323460928355
38,5.564692801241056e+31,7459686857530318.0,317.4544119411397
39,4.8596222142988216e+32,2.2044550833026336e+16,326.8660250864036
40,4.2568985328754505e+33,6.52449119309349e+16,336.2909329848875
41,3.738680182137062e+34,1.933566699686634e+17,345.7271831589675
42,inf,inf,inf
43,inf,inf,inf
44,inf,inf,inf
45,inf,inf,inf
46,inf,inf,inf
47,inf,inf,inf
48,inf,inf,inf
49,inf,inf,inf
50,inf,inf,inf
51,inf,inf,inf
52,inf,inf,inf
53,inf,inf,inf
54,inf,inf,inf
55,inf,inf,inf
56,inf,inf,inf
57,inf,inf,inf
58,inf,inf,inf
