t,mse_t,rmse_t,mse_db_t
0,1.0768959522247314,1.037735974236574,0.3217374456302791
1,3.106426954269409,1.7625058735418186,4.922611458999798
2,17.983612060546875,4.240708910140718,12.548769254625324
3,108.3702621459961,10.410103848953481,20.349101239206856
4,617.0233764648438,24.8399552428108,27.903016179673937
5,3341.17236328125,57.802875043385605,35.23898880454372
6,18314.087890625,135.32955290927774,42.627852940662194
7,99959.3984375,316.1635627922674,49.99823633848366
8,544715.0625,738.0481437548638,57.36169384581355
9,3063164.75,1750.189918266015,64.86170355635083
10,17853190.0,4225.30353939217,72.51715826925447
11,106553376.0,10322.469471981984,80.27567214303093
12,652561856.0,25545.29028999279,88.14621684510293
13,4078053888.0,63859.64209107345,96.10452960310786
14,25701474304.0,160316.79358071007,104.09958036316795
15,164273487872.0,405306.65905213053,112.15567478225245
16,1064868315136.0,1031924.568530084,120.27295904914864
17,6918874071040.0,2630375.2719032317,128.40035426173642
18,45408269107200.0,6738565.804917245,136.57134947584322
19,298154213769216.0,17267142.60580528,144.74440951544534
20,1972006048235520.0,44407274.722003825,152.94908242608886
21,1.342329751339008e+16,115858955.25763246,161.27859215978572
22,9.3919123603456e+16,306462271.0929618,169.72754031348612
23,6.537516093727048e+17,808549076.663071,178.15412771000877
24,4.5600787909102797e+18,2135434098.9387333,186.58972346647317
25,3.346033345843272e+19,5784490769.154423,195.2453026473264
26,2.518854827339017e+20,15870900501.66977,204.01203137921928
27,1.8714530922302768e+21,43260294638.736305,212.72178946042555
28,1.395210435779771e+22,118119026231.16104,221.4463971600063
29,1.103835781476218e+23,332240241613.8385,230.42904467864602
30,9.017767221482595e+23,949619251146.6158,239.55099020532492
31,7.102342344829559e+24,2665022015824.5522,248.51401602193567
32,5.5821659959650345e+25,7471389426314.917,257.4680274688922
33,4.70103024080423e+26,21681859331718.37,266.72193044928343
34,4.061365040346174e+27,63728839941946.016,276.0867202615173
35,3.3159121012995997e+28,182096460737148.88,285.2060300968689
36,2.6913726170743427e+29,518784407733534.6,294.2997382943839
37,2.3385155800855934e+30,1529220579277428.2,303.68940267690175
38,2.0708807411636307e+31,4550693069372654.0,313.1615508926242
39,1.726434660493752e+32,1.3139386060595646e+16,322.37150146471174
40,1.4250735548089646e+33,3.7750146421026824e+16,331.5383728092224
41,1.2545002107789087e+34,1.1200447360614256e+17,340.9847073862003
42,1.1222899972168866e+35,3.35005969680674e+17,350.50105092141007
43,inf,inf,inf
44,inf,inf,inf
45,inf,inf,inf
46,inf,inf,inf
47,inf,inf,inf
48,inf,inf,inf
49,inf,inf,inf
50,inf,inf,inf
51,inf,inf,inf
52,inf,inf,inf
53,inf,inf,inf
54,inf,inf,inf
55,inf,inf,inf
56,inf,inf,inf
57,inf,inf,inf
58,inf,inf,inf
59,inf,inf,inf
60,inf,inf,inf
61,inf,inf,inf
62,inf,inf,inf
63,inf,inf,inf
64,inf,inf,inf
65,inf,inf,inf
66,inf,inf,inf
67,inf,inf,inf
68,inf,inf,inf
69,inf,inf,inf
70,inf,inf,inf
71,inf,inf,inf
72,inf,inf,inf
73,inf,inf,inf
74,inf,inf,inf
75,inf,inf,inf
76,inf,inf,inf
77,inf,inf,inf
78,inf,inf,inf
79,inf,inf,inf
80,inf,inf,inf
81,inf,inf,inf
82,inf,inf,inf
83,inf,inf,inf
84,nan,nan,nan
85,nan,nan,nan
86,nan,nan,nan
87,nan,nan,nan
88,nan,nan,nan
89,nan,nan,nan
90,nan,nan,nan
91,nan,nan,nan
92,nan,nan,nan
93,nan,nan,nan
94,nan,nan,nan
95,nan,nan,nan
96,nan,nan,nan
97,nan,nan,nan
98,nan,nan,nan
99,nan,nan,nan
100,nan,nan,nan
101,nan,nan,nan
102,nan,nan,nan
103,nan,nan,nan
104,nan,nan,nan
105,nan,nan,nan
106,nan,nan,nan
107,nan,nan,nan
108,nan,nan,nan
109,nan,nan,nan
110,nan,nan,nan
111,nan,nan,nan
112,nan,nan,nan
113,nan,nan,nan
114,nan,nan,nan
115,nan,nan,nan
116,nan,nan,nan
117,nan,nan,nan
118,nan,nan,nan
119,nan,nan,nan
120,nan,nan,nan
121,nan,nan,nan
122,nan,nan,nan
123,nan,nan,nan
124,nan,nan,nan
125,nan,nan,nan
126,nan,nan,nan
127,nan,nan,nan
128,nan,nan,nan
129,nan,nan,nan
130,nan,nan,nan
131,nan,nan,nan
132,nan,nan,nan
133,nan,nan,nan
134,nan,nan,nan
135,nan,nan,nan
136,nan,nan,nan
137,nan,nan,nan
138,nan,nan,nan
139,nan,nan,nan
140,nan,nan,nan
141,nan,nan,nan
142,nan,nan,nan
143,nan,nan,nan
144,nan,nan,nan
145,nan,nan,nan
146,nan,nan,nan
147,nan,nan,nan
148,nan,nan,nan
149,nan,nan,nan
150,nan,nan,nan
151,nan,nan,nan
152,nan,nan,nan
153,nan,nan,nan
154,nan,nan,nan
155,nan,nan,nan
156,nan,nan,nan
157,nan,nan,nan
158,nan,nan,nan
159,nan,nan,nan
160,nan,nan,nan
161,nan,nan,nan
162,nan,nan,nan
163,nan,nan,nan
164,nan,nan,nan
165,nan,nan,nan
166,nan,nan,nan
167,nan,nan,nan
168,nan,nan,nan
169,nan,nan,nan
170,nan,nan,nan
171,nan,nan,nan
172,nan,nan,nan
173,nan,nan,nan
174,nan,nan,nan
175,nan,nan,nan
176,nan,nan,nan
177,nan,nan,nan
178,nan,nan,nan
179,nan,nan,nan
180,nan,nan,nan
181,nan,nan,nan
182,nan,nan,nan
183,nan,nan,nan
184,nan,nan,nan
185,nan,nan,nan
186,nan,nan,nan
187,nan,nan,nan
188,nan,nan,nan
189,nan,nan,nan
190,nan,nan,nan
191,nan,nan,nan
192,nan,nan,nan
193,nan,nan,nan
194,nan,nan,nan
195,nan,nan,nan
196,nan,nan,nan
197,nan,nan,nan
198,nan,nan,nan
199,nan,nan,nan
