t,mse_t,rmse_t,mse_db_t
0,1.648339033126831,1.2838765645991173,2.170465429635363
1,5.312882423400879,2.3049690721137406,7.253302048739348
2,30.110021591186523,5.48725993472029,14.787110669352037
3,192.42742919921875,13.871821408856832,22.842669777891736
4,1240.2017822265625,35.21649872185709,30.934923511123714
5,7492.845703125,86.56122517111804,38.74646789454989
6,44696.4765625,211.41541231069223,46.50273288908772
7,271131.21875,520.7026202641965,54.331795262498616
8,1678146.75,1295.4330357065933,62.24829936187854
9,10788141.0,3284.5305600648626,70.32946614006454
10,70863416.0,8418.041102299276,78.50422083845197
11,480173632.0,21912.864532050575,86.8139830775909
12,3295258624.0,57404.34325031513,95.17889505293722
13,23056896000.0,151844.97357502487,103.62800840651335
14,163819339776.0,404746.0188513285,112.14365171308374
15,1171964559360.0,1082573.1196367291,120.68914478655527
16,8617493790720.0,2935556.811018993,129.3538097915199
17,63242512629760.0,7952516.1194278635,138.0100911615521
18,477906413289472.0,21861070.726052556,146.79342858596834
19,3613132647825408.0,60109339.106543235,155.5788390598018
20,2.7705208381374464e+16,166448816.10084966,164.42561421001636
21,2.127832970029957e+17,461284399.2625327,173.2793753384794
22,1.6702528580306862e+18,1292382628.3383286,182.22782223563527
23,1.3023628369588126e+19,3608826453.23769,191.14731995089667
24,1.0436689275370707e+20,10216011587.390995,200.18562753698092
25,8.37025797419175e+20,28931398124.169094,209.2273884330287
26,6.869471678967365e+21,82882276024.29463,218.36923337389663
27,5.6379870180708624e+22,237444457043.55496,227.51124071537944
28,4.7243714854237506e+23,687340635014.6738,236.7434403960331
29,3.92973727190808e+24,1982356494656.8213,245.94363515979833
30,3.358704531694421e+25,5795433143169.215,255.26171800239774
31,2.863215624151965e+26,16921039046559.656,264.5685405527035
32,2.4943144264324526e+27,49943111901767.32,273.9695119856411
33,2.1687614465939815e+28,147267153384384.44,283.36211784321455
34,1.9182416991770103e+29,437977362334745.56,292.82903327550775
35,1.6905271095317835e+30,1300202718629592.5,302.28022139565354
36,1.5214447496728791e+31,3900570150212503.5,311.82256185844454
37,1.3640729761756431e+32,1.1679353476009034e+16,321.34837605146413
38,1.2440951545319596e+33,3.527173308092416e+16,330.94853598608614
39,1.1340635002369126e+34,1.0649241758157773e+17,340.54637372925833
40,1.0446852197525396e+35,3.2321590612971686e+17,350.1898545033372
41,inf,inf,inf
42,inf,inf,inf
43,inf,inf,inf
44,inf,inf,inf
45,inf,inf,inf
46,inf,inf,inf
47,inf,inf,inf
48,inf,inf,inf
49,inf,inf,inf
50,inf,inf,inf
51,inf,inf,inf
52,inf,inf,inf
53,inf,inf,inf
54,inf,inf,inf
55,inf,inf,inf
56,inf,inf,inf
57,inf,inf,inf
58,inf,inf,inf
59,inf,inf,inf
60,inf,inf,inf
61,inf,inf,inf
62,inf,inf,inf
63,inf,inf,inf
64,inf,inf,inf
65,inf,inf,inf
66,inf,inf,inf
67,inf,inf,inf
68,inf,inf,inf
69,inf,inf,inf
70,inf,inf,inf
71,inf,inf,inf
72,inf,inf,inf
73,inf,inf,inf
74,inf,inf,inf
75,inf,inf,inf
76,inf,inf,inf
77,inf,inf,inf
78,inf,inf,inf
79,inf,inf,inf
80,nan,nan,nan
81,nan,nan,nan
82,nan,nan,nan
83,nan,nan,nan
84,nan,nan,nan
85,nan,nan,nan
86,nan,nan,nan
87,nan,nan,nan
88,nan,nan,nan
89,nan,nan,nan
90,nan,nan,nan
91,nan,nan,nan
92,nan,nan,nan
93,nan,nan,nan
94,nan,nan,nan
95,nan,nan,nan
96,nan,nan,nan
97,nan,nan,nan
98,nan,nan,nan
99,nan,nan,nan
100,nan,nan,nan
101,nan,nan,nan
102,nan,nan,nan
103,nan,nan,nan
104,nan,nan,nan
105,nan,nan,nan
106,nan,nan,nan
107,nan,nan,nan
108,nan,nan,nan
109,nan,nan,nan
110,nan,nan,nan
111,nan,nan,nan
112,nan,nan,nan
113,nan,nan,nan
114,nan,nan,nan
115,nan,nan,nan
116,nan,nan,nan
117,nan,nan,nan
118,nan,nan,nan
119,nan,nan,nan
120,nan,nan,nan
121,nan,nan,nan
122,nan,nan,nan
123,nan,nan,nan
124,nan,nan,nan
125,nan,nan,nan
126,nan,nan,nan
127,nan,nan,nan
128,nan,nan,nan
129,nan,nan,nan
130,nan,nan,nan
131,nan,nan,nan
132,nan,nan,nan
133,nan,nan,nan
134,nan,nan,nan
135,nan,nan,nan
136,nan,nan,nan
137,nan,nan,nan
138,nan,nan,nan
139,nan,nan,nan
140,nan,nan,nan
141,nan,nan,nan
142,nan,nan,nan
143,nan,nan,nan
144,nan,nan,nan
145,nan,nan,nan
146,nan,nan,nan
147,nan,nan,nan
148,nan,nan,nan
149,nan,nan,nan
150,nan,nan,nan
151,nan,nan,nan
152,nan,nan,nan
153,nan,nan,nan
154,nan,nan,nan
155,nan,nan,nan
156,nan,nan,nan
157,nan,nan,nan
158,nan,nan,nan
159,nan,nan,nan
160,nan,nan,nan
161,nan,nan,nan
162,nan,nan,nan
163,nan,nan,nan
164,nan,nan,nan
165,nan,nan,nan
166,nan,nan,nan
167,nan,nan,nan
168,nan,nan,nan
169,nan,nan,nan
170,nan,nan,nan
171,nan,nan,nan
172,nan,nan,nan
173,nan,nan,nan
174,nan,nan,nan
175,nan,nan,nan
176,nan,nan,nan
177,nan,nan,nan
178,nan,nan,nan
179,nan,nan,nan
180,nan,nan,nan
181,nan,nan,nan
182,nan,nan,nan
183,nan,nan,nan
184,nan,nan,nan
185,nan,nan,nan
186,nan,nan,nan
187,nan,nan,nan
188,nan,nan,nan
189,nan,nan,nan
190,nan,nan,nan
191,nan,nan,nan
192,nan,nan,nan
193,nan,nan,nan
194,nan,nan,nan
195,nan,nan,nan
196,nan,nan,nan
197,nan,nan,nan
198,nan,nan,nan
199,nan,nan,nan
