t,mse_t,rmse_t,mse_db_t
0,0.0005768712726421654,0.02401814465445167,-32.389210877425484
1,0.000361645536031574,0.019016980202744442,-34.41716891243817
2,0.0003264341503381729,0.018067488766792494,-34.8620441325274
3,0.0003366629243828356,0.018348376614372063,-34.72804708448655
4,0.0003362059942446649,0.01833592087255682,-34.73394547755043
5,0.00035358555032871664,0.018803870620931123,-34.51505491228896
6,0.0003574168076738715,0.01890547031083521,-34.46825028471721
7,0.0003277376526966691,0.018103525974148493,-34.84473661092382
8,0.00034454159322194755,0.018561831623574963,-34.62758342358959
9,0.0003540616889949888,0.01881652701735867,-34.50921063239646
10,0.0003527847584336996,0.018782565278302632,-34.524901862134804
11,0.00035407746327109635,0.018816946172827736,-34.5090171483602
12,0.0003384836600162089,0.018397925426966184,-34.704622916348995
13,0.0003343800490256399,0.018286061605103487,-34.75759642885405
14,0.00035407417453825474,0.01881685878509627,-34.50905748657166
15,0.0003499944868963212,0.018708139589395874,-34.559387965907625
16,0.0003352277562953532,0.01830922598842871,-34.74660029699118
17,0.00036092312075197697,0.018997976754169824,-34.425852961245496
18,0.0003391518839634955,0.018416076779908783,-34.69605766118706
19,0.0003310446918476373,0.018194633600257998,-34.80113371443024
20,0.0003290281165391207,0.01813913218814838,-34.82766988566602
21,0.00034108583349734545,0.01846850923862956,-34.67136318005957
22,0.00033579269074834883,0.018324647083869005,-34.73928761450522
23,0.000348291068803519,0.018662557938383447,-34.58057661973229
24,0.0003407792537473142,0.018460207305101266,-34.67526852453796
25,0.00033834733767434955,0.018394220224688774,-34.706372364640586
26,0.0003313276683911681,0.01820240831294497,-34.79742295697062
27,0.00035063247196376324,0.018725182828580426,-34.551478665033486
28,0.00033743554376997054,0.018369418710726,-34.71809172932027
29,0.00031728448811918497,0.017812481245440933,-34.98551159821796
30,0.0003367495664861053,0.01835073749161339,-34.72692954692767
31,0.0003454140678513795,0.018585318610434946,-34.61659978679937
32,0.00034770849742926657,0.018646943380330905,-34.58784695737371
33,0.0003348171303514391,0.018298008917678424,-34.75192330168676
