t,mse_t,rmse_t,mse_db_t
0,0.35339832305908203,0.5944731474667986,-4.517355156326364
1,0.18015837669372559,0.42445067639682893,-7.443455399955638
2,0.12629322707653046,0.3553775838126688,-8.986199394063513
3,0.10283267498016357,0.32067534202081016,-9.878688667724184
4,0.08750750869512558,0.2958166808939712,-10.579546801782717
5,0.07689501345157623,0.27729950135471976,-11.14101822756201
6,0.06663524359464645,0.25813803205774705,-11.762960103155674
7,0.06035560742020607,0.24567378252513244,-12.192823749697208
8,0.05451963469386101,0.23349439970556254,-12.634470627964962
9,0.0498514249920845,0.22327432676437411,-13.02322422962077
10,0.04680591821670532,0.21634675457862854,-13.296992305507105
11,0.045404043048620224,0.21308224479909213,-13.429054732326156
12,0.04244585707783699,0.20602392355703983,-13.72164692605875
13,0.041254665702581406,0.20311244595686745,-13.845269277371042
14,0.03915172815322876,0.19786795635784174,-14.07249063469466
15,0.03753432631492615,0.19373777720136603,-14.255713746646734
16,0.03515322133898735,0.18749192339668222,-14.540348713370735
17,0.034371837973594666,0.18539643463021252,-14.637972441081075
18,0.03307865187525749,0.1818753745707689,-14.80452198486696
19,0.03205299749970436,0.17903350943246452,-14.94131350335207
20,0.031013360247015953,0.17610610508161254,-15.084511761143142
21,0.030653510242700577,0.1750814388868808,-15.135197856889624
22,0.030692514032125473,0.175192791039259,-15.129675369327217
23,0.029529524967074394,0.1718415693802707,-15.297435393484225
24,0.029117560014128685,0.17063868264297133,-15.358450207325468
25,0.029302826151251793,0.17118068276313128,-15.330904914990132
26,0.028474612161517143,0.16874422112036058,-15.455421825169942
27,0.028026361018419266,0.16741075538453098,-15.524332879769887
28,0.026999374851584435,0.16431486497448863,-15.686462914576937
29,0.027310943230986595,0.16526022882407793,-15.636633004849925
30,0.026909174397587776,0.1640401609289255,-15.700996266536455
31,0.02649823948740959,0.1627827984997481,-15.767829791311812
32,0.027214307337999344,0.16496759481182766,-15.652027149244535
33,0.026624402031302452,0.16316985638071282,-15.747201374469888
34,0.026400305330753326,0.16248170768044423,-15.783910503008315
35,0.026480240747332573,0.16272750458153218,-15.770780707896343
36,0.025841735303401947,0.16075364786965785,-15.876783263043661
37,0.025535523891448975,0.15979838513404626,-15.928552276525203
38,0.02651106007397175,0.16282217316438125,-15.765729061759322
39,0.026266522705554962,0.1620694996153038,-15.805974174974073
40,0.02617405727505684,0.16178398336997651,-15.821289515827907
41,0.025581784546375275,0.1599430665780023,-15.920691630782095
42,0.0268802922219038,0.16395210343848535,-15.70566014276305
43,0.02669089287519455,0.16337347665760973,-15.736368977642341
44,0.027110574766993523,0.16465289176626544,-15.66861274913517
45,0.02525731921195984,0.1589255146663362,-15.976127469413012
46,0.025315364822745323,0.1591080287815336,-15.966158095624055
47,0.026734482496976852,0.16350682706534567,-15.729282181797824
48,0.026123324409127235,0.16162711532761834,-15.829715563146646
49,0.025161013007164,0.1586222336470017,-15.992718777512101
50,0.025265058502554893,0.15894986159967203,-15.974796917931622
51,0.02553657814860344,0.15980168381028856,-15.928372977829255
52,0.02533026598393917,0.15915484907453864,-15.96360249816615
53,0.026041388511657715,0.16137344425790048,-15.84335863157828
54,0.02594759501516819,0.16108257204045442,-15.85902889069631
55,0.024784183129668236,0.1574299308570903,-16.05825390582668
56,0.024880127981305122,0.1577343589117638,-16.041473900008473
57,0.025636330246925354,0.16011349177044812,-15.911441424751784
58,0.024839229881763458,0.15760466326147668,-16.04861873200984
59,0.025498516857624054,0.15968255026027126,-15.934850799300563
60,0.02657299116253853,0.1630122423701316,-15.755595569081517
61,0.026436273008584976,0.16259235224507018,-15.777997717997259
62,0.026304299011826515,0.1621860012819433,-15.799732673073112
63,0.025755463168025017,0.16048508705803483,-15.891306356685211
64,0.02461978979408741,0.15690694629010982,-16.087156594330384
65,0.026174593716859818,0.1617856412567562,-15.82120050733944
66,0.025844277814030647,0.16076155577136794,-15.876355991420057
67,0.02611803635954857,0.16161075570502284,-15.830594778667106
68,0.026254210621118546,0.16203151119803377,-15.80801035005798
69,0.026229605078697205,0.16195556513654355,-15.812082482367053
70,0.02587374858558178,0.1608531895412142,-15.871406461927757
71,0.024868933483958244,0.1576988696343707,-16.043428392561413
72,0.02567308582365513,0.1602282304204073,-15.905219273690296
73,0.025566766038537025,0.15989611014198257,-15.923242027692051
74,0.025063036009669304,0.1583130948774273,-16.00966321913952
75,0.025645285844802856,0.16014145573461874,-15.909924558835185
76,0.02549993246793747,0.1596869827754832,-15.934609697166701
77,0.02623978815972805,0.16198699997138058,-15.810396754485314
78,0.02468944527208805,0.1571287538042864,-16.074886677828335
79,0.025242598727345467,0.15887919538865203,-15.978659364782708
80,0.02561722695827484,0.1600538251910114,-15.914678840331774
81,0.025462491437792778,0.15956970714328197,-15.940991040308557
82,0.02573563903570175,0.1604233120082669,-15.894650434140702
83,0.02609255723655224,0.1615319077970425,-15.834833551926442
84,0.026200594380497932,0.16186597659946309,-15.816888562664236
85,0.02449239417910576,0.15650046063544273,-16.109687596710202
86,0.02488625794649124,0.15775378900835074,-16.040404017187598
87,0.024569524452090263,0.15674668880742032,-16.096032492924774
88,0.02479514852166176,0.1574647532677131,-16.056332859635162
89,0.024079661816358566,0.15517622825793442,-16.183496167630793
90,0.02454647608101368,0.15667315047899458,-16.100108468574877
91,0.02496752142906189,0.1580111433698962,-16.0262456870629
92,0.025214217603206635,0.15878985359022985,-15.983545034470175
93,0.024896221235394478,0.15778536445245636,-16.03866565400394
94,0.024536659941077232,0.1566418205367814,-16.10184556029734
95,0.02401459589600563,0.15496643473993207,-16.19524717024664
96,0.02537054382264614,0.15928133544971973,-15.956702234900131
97,0.02511831745505333,0.15848759400992032,-16.000094550804988
98,0.02532132901251316,0.15912677025727998,-15.965135037236555
99,0.025011148303747177,0.15814913311095694,-16.018663686240494
100,0.025347482413053513,0.1592089269263929,-15.960651696014676
101,0.024787060916423798,0.15743907048894756,-16.057749659087065
102,0.025100909173488617,0.15843266447765314,-16.003105477668402
