t,mse_t,rmse_t,mse_db_t
0,0.9861124753952026,0.9930319609132441,-0.06073546866470862
1,1.9372609853744507,1.3918552314714525,2.871881322693552
2,5.057558536529541,2.248901628913444,7.039409180260653
3,12.093987464904785,3.477641077642255,10.825695141355173
4,26.245546340942383,5.123040731923023,14.190556176980591
5,53.547645568847656,7.317625678377356,17.287403801363784
6,105.91267395019531,10.291388339295885,20.249479326975823
7,206.54627990722656,14.371718056906994,23.150173773309394
8,398.2088623046875,19.955171317347478,26.001109212041822
9,761.1235961914062,27.588468536535444,28.814551860550072
10,1446.8741455078125,38.03779890461345,31.60430756213312
11,2744.422119140625,52.38723240581263,34.38450910939319
12,5203.87060546875,72.13785833713634,37.163264892674206
13,9850.8671875,99.25153493775298,39.93474463814215
14,18566.595703125,136.25929584114618,42.68732280536645
15,34746.9609375,186.40536724434733,45.409168260256735
16,64479.71875,253.92857017279485,48.0942313447958
17,118654.5,344.462624968225,50.74284213586725
18,216796.0,465.613573685304,53.360512649791104
19,393875.65625,627.5951372102878,55.95359139775877
20,712556.3125,844.1305067938251,58.52819191826672
21,1285314.75,1133.7172266486912,61.09009491441526
22,2314336.75,1521.2944323831596,63.644265516884325
23,4163335.25,2040.4252620471057,66.19441383589837
24,7486966.0,2736.232080800165,68.74305860903394
25,13467990.0,3669.876019704208,71.29302785251956
26,24254650.0,4924.901014233687,73.84795012041225
27,43747828.0,6614.214087856546,76.40956495963349
28,79037960.0,8890.329577692832,78.9783572241742
29,143089264.0,11961.992476172187,81.55607049829165
30,259597328.0,16112.024329673786,84.14300218017286
31,472071104.0,21727.197334216853,86.74007417594098
32,860292928.0,29330.750552960624,89.34646352816786
33,1571453184.0,39641.55879881617,91.96301447247762
34,2876483072.0,53632.854408468695,94.58861822561545
35,5276069888.0,72636.560270982,97.22310539674125
36,9697125376.0,98473.98324430671,99.86643010723381
37,17857933312.0,133633.57853473804,102.51831196818556
38,32943822848.0,181504.33286288238,105.17773993906579
39,60889108480.0,246757.18526519142,107.84539615291983
40,112719781888.0,335737.6682590144,110.52000139745289
41,209010311168.0,457176.4551767731,113.20167711818725
42,388173201408.0,623035.47363533,115.8902554938731
43,721951457280.0,849677.2665430092,118.58507997369958
44,1344622034944.0,1159578.3867182073,121.28600223961824
45,2507716427776.0,1583577.098778585,123.99278424975684
46,4683009097728.0,2164026.131479932,126.70525001491077
47,8755869646848.0,2959031.876619108,129.42299287377847
48,16390577717248.0,4048527.8456802047,132.145942613796
49,30716297478144.0,5542228.56603226,134.87368864949318
50,57623525195776.0,7591016.084542043,137.60599823299523
51,108218554515456.0,10402814.740033392,140.3430172872654
