t,mse_t,rmse_t,mse_db_t
0,0.9863004684448242,0.9931266124945118,-0.05990760607549754
1,1.9237611293792725,1.3869971627149322,2.8415114533545394
2,5.06276798248291,2.2500595508748007,7.04388024910788
3,12.137723922729492,3.483923639049727,10.841372550692016
4,26.393522262573242,5.137462628824977,14.214973514600759
5,53.92249298095703,7.343193649969816,17.317699625859607
6,106.90821075439453,10.339642680208756,20.29011061133838
7,208.98733520507812,14.45639426707359,23.201199683253826
8,403.36346435546875,20.08391058423306,26.056965583601436
9,770.7408447265625,27.762219737019635,28.86908374646228
10,1462.302490234375,38.24006394129559,31.650372195788687
11,2764.806396484375,52.58142634509238,34.41664725556704
12,5219.76513671875,72.24794209331328,37.17650962365911
13,9827.1162109375,99.13181230532155,39.92426091848348
14,18392.048828125,135.6172880871941,42.646301112493205
15,34126.98828125,184.73491354167462,45.33097963328536
16,62710.6796875,250.421004884774,47.973415078863525
17,114190.9765625,337.92155385902805,50.57631787062683
18,206356.46875,454.2647562270267,53.146180874533016
19,370548.40625,608.7268732773344,55.68844949681265
20,662446.0,813.9078571926923,58.21150482068694
21,1181503.25,1086.9697557890008,60.724349205982016
22,2105107.0,1450.8986870212543,63.232741753871494
23,3749716.75,1936.418536887106,65.73998462778904
24,6681831.0,2584.9237899791165,68.24895487061524
25,11920357.0,3452.5870010761496,70.76289262183441
26,21300546.0,4615.251455771397,73.28390735915167
27,38141544.0,6175.884066269379,75.81398269651457
28,68441816.0,8272.956907901793,78.3532152436871
29,123123496.0,11096.10273925039,80.90340938466966
30,222085584.0,14902.536159996393,83.46520368577981
31,401660480.0,20041.469008034317,86.03859102923457
32,728342784.0,26987.82658903825,88.62335821844107
33,1324298240.0,36390.908754797536,91.2198580187135
34,2414106112.0,49133.553830351004,93.82756355588688
35,4411972608.0,66422.68142735583,96.44632807432845
36,8082253312.0,89901.35322674515,99.0753245787102
37,14843268096.0,121832.95160177315,101.71529531657272
38,27319617536.0,165286.47112210968,104.36474615098535
39,50397937664.0,224494.8499721096,107.02412765027468
40,93160652800.0,305222.3006269365,109.69232523083386
41,172550815744.0,415392.36360819155,112.36917016784737
42,320209387520.0,565870.468853076,115.05434059901746
43,595352289280.0,771590.7524588407,117.74774027938086
44,1108697284608.0,1052946.9524187816,120.44812983867408
45,2068325072896.0,1438167.261793982,123.15618796641509
46,3864613617664.0,1965862.0545867402,125.87106079857287
47,7232080576512.0,2689252.791485397,128.59263256203423
48,13553100652544.0,3681453.605920357,131.3203866364161
49,25435249311744.0,5043337.120572449,134.0543599886472
50,47797093007360.0,6913544.171216382,136.79401483866226
51,89933586890752.0,9483332.056337161,139.5392191506136
52,169423675588608.0,13016285.014880706,142.28974099377388
53,319547009662976.0,17875877.8711138,145.04534757753936
54,603351301488640.0,24563210.32537563,147.80570253886265
55,1140466422644736.0,33770792.44916731,150.5708250340068
56,2157878274162688.0,46452968.41066982,153.34026942501447
57,4087019206606848.0,63929799.05026175,156.11406678647188
