t,mse_t,rmse_t,mse_db_t
0,1.0090749263763428,1.0045272153487643,0.039234149025911894
1,1.9971981048583984,1.4132225956509463,3.004211452811642
2,5.209988594055176,2.282539943583721,7.168367725232634
3,12.473043441772461,3.531719615395942,10.959724349300377
4,27.09090232849121,5.204892153396765,14.32823470509666
5,55.47711944580078,7.448296412321463,17.441139029911675
6,110.69772338867188,10.521298560000655,20.441386892626056
7,219.16693115234375,14.804287593543425,23.407750265391705
8,430.7891540527344,20.755460824870507,26.34264760562936
9,841.9879760742188,29.017029070430674,29.25305889644658
10,1640.0765380859375,40.49785843826729,32.148641159091326
11,3192.593017578125,56.50303547224808,35.04143559477317
12,6210.10302734375,78.80420691399507,37.930988053031044
13,12036.3857421875,109.71046323021109,40.80496097564138
14,23175.296875,152.23434853869216,43.65025306154119
15,44207.21484375,210.25511847217894,46.45493154216145
16,83453.328125,288.8828969063416,49.21443661057221
17,155828.96875,394.75178118660847,51.92648196589391
18,288106.03125,536.7550942934776,54.595523499540576
19,528343.75,726.8725816812738,57.22916574338064
20,963772.4375,981.7191235277023,59.83974501947736
21,1753243.875,1324.1011573894193,62.438423303551644
22,3186296.75,1785.020097926071,65.03286220581862
23,5791489.0,2406.551266854708,67.62790235808137
24,10539325.0,3246.432657548898,70.22812797009112
25,19209274.0,4382.838577908157,72.83510951339986
26,35080180.0,5922.852353385149,75.4506181310923
27,64226740.0,8014.158720664322,78.07715878795328
28,117887176.0,10857.586103734107,80.7146656425243
29,217016160.0,14731.468358585304,83.36492074574417
30,400622144.0,20015.54755683691,86.02734950826795
31,741506368.0,27230.614535849167,88.70114885068224
32,1376291072.0,37098.39716214166,91.38710292616904
33,2561508352.0,50611.34607970825,94.08495776266078
34,4779858432.0,69136.5202479847,96.79415034036452
35,8942324736.0,94563.86591082241,99.51450437002836
36,16766171136.0,129484.250532642,102.24433894784711
37,31510124544.0,177510.9138729222,104.9845011972954
38,59347267584.0,243612.94625696723,107.73400728336802
39,112009076736.0,334677.5713070716,110.49253217461555
40,211831390208.0,460251.4423747089,113.25990316413574
41,401383620608.0,633548.4358815828,116.03559646116834
42,761801801728.0,872812.5811008913,118.81841995470639
43,1448500789248.0,1203536.7835043515,121.60918736174891
44,2758721404928.0,1660939.9161101524,124.40707844585175
45,5263082389504.0,2294140.8826626143,127.21240168616345
46,10056994127872.0,3171276.4193415875,130.02468196550376
47,19247040299008.0,4387144.891499254,132.84363955629806
48,36874349445120.0,6072425.334668184,135.66724367023187
49,70750392287232.0,8411325.2396535,138.49728852220468
50,135931629666304.0,11658972.067309536,141.3332052362908
51,261503831769088.0,16171080.105209053,144.17478056889638
52,503723126161408.0,22443777.00302264,147.021918899757
53,971464157167616.0,31168319.76811737,149.874267816404
54,1874974683955200.0,43300977.86372959,152.72995408227584
55,3623212667633664.0,60193128.07649777,155.59093826076807
56,7009114433519616.0,83720454.09288949,158.4566315050151
57,1.357401865322496e+16,116507590.53909303,161.32708441657206
58,2.6315399914061824e+16,162220220.4229233,164.20209974359017
59,5.106784404924006e+16,225981955.1407591,167.08147523465828
60,9.915578824890778e+16,314890120.9134827,169.9631807135208
61,1.927291326252974e+17,439009262.5734649,172.84947366871972
62,3.7495188189138125e+17,612333146.1642275,175.7397553767467
63,7.301315210583736e+17,854477337.9431274,178.6340109810003
64,1.4230339907171123e+18,1192909883.7368698,181.53215273804994
65,2.7758825808204923e+18,1666098010.5685537,184.43401091617022
66,5.416959538517508e+18,2327436258.7442665,187.33755591676513
67,1.0580642175530303e+19,3252789906.454197,190.2451202732351
68,2.068283186623388e+19,4547838153.038637,193.15610001524388
69,4.046274478373811e+19,6361033311.006798,196.0705533972988
70,7.922108821474902e+19,8900622911.614054,198.9884080376399
71,1.552212934553701e+20,12458783787.166792,201.90951298080918
72,3.042163604259005e+20,17441799231.326466,204.83182566231216
73,5.967224470269633e+20,24427903041.95109,207.75772375093277
74,1.1712853542999152e+21,34224046433.756416,210.68662712920926
75,2.3006986318018416e+21,47965598420.136925,213.61859734219598
76,4.522280277149852e+21,67247901656.11008,216.55357475091935
77,8.894923390130739e+21,94312901504.14597,219.49142211960498
78,1.7499057233621512e+22,132284002183.26294,222.43014651585437
79,3.445162291865994e+22,185611483800.59875,225.37209685112066
80,6.786923287367449e+22,260517241029.5996,228.3167294038621
81,1.3378580402811294e+23,365767417942.2122,231.26410033018203
82,2.6388569999159928e+23,513698063060.0035,234.21415856370075
83,5.20807321749809e+23,721669814908.3201,237.16677081115415
84,1.0280255180127872e+24,1013915932418.8506,240.12003895004196
85,2.0305946733190434e+24,1424989359019.5835,243.07623242602978
86,4.013125202032532e+24,2003278613182.0337,246.03482709124233
87,7.935768547922766e+24,2817049617582.6875,248.9958899283743
88,1.570133014119892e+25,3962490396354.1562,251.95936445308172
89,3.1082353324144954e+25,5575155004494.938,254.92513892915198
90,6.153775254577072e+25,7844600215802.634,257.89141631092565
91,1.219090436767845e+26,11041242850186.047,260.86035924430826
92,2.4162796076992968e+26,15544386792985.104,263.83147188663776
93,4.791606336750314e+26,21889738090599.242,266.80481130583286
94,9.506779696235857e+26,30833066172918.74,269.78033429976267
95,1.8870957206344784e+27,43440715010626.59,272.75793929782856
96,3.746244181275429e+27,61206569755831.19,275.73596081401297
97,7.441163322431789e+27,86262177821057.77,278.7164083675802
98,1.4787101305328133e+28,121602225741670.27,281.69883048203684
99,2.9398662803755035e+28,171460382607047.25,284.68327577005437
100,5.847501937268773e+28,241816085843534.7,287.66970374362336
101,1.1635978071394863e+29,341115494684642.9,290.6580289412528
102,2.3156473503871038e+29,481211736181392.8,293.6467242144477
103,4.6106677817663516e+29,679018982191687.5,296.6376383058125
104,9.184065136092621e+29,958335282460821.2,299.6303495520909
105,1.830169375376832e+30,1352837527339049.0,302.6249128393132
106,3.6486203305526846e+30,1910136207329907.8,305.6212867374431
107,7.276778382682572e+30,2697550441174839.5,308.6193914850347
108,1.4513942684108012e+31,3809716877158723.0,311.6178540371005
109,2.8962409945825696e+31,5381673526499512.0,314.6183469642801
110,5.781609877484181e+31,7603689813165830.0,317.62048783672935
111,1.1546029796954097e+32,1.0745245365720644e+16,320.6243267395215
112,2.306654835769236e+32,1.518767538423585e+16,323.62982612234214
113,4.609899533586503e+32,2.1470676592940668e+16,326.63691460642485
114,9.213763335768965e+32,3.0354181484218884e+16,329.6443705279515
115,1.8423340886780096e+33,4.292241941780554e+16,332.65368387919983
116,3.685118787530319e+33,6.070517924798772e+16,335.66451491635354
117,7.373787368123289e+33,8.58707596805996e+16,338.6769061005581
118,1.4759876146416957e+34,1.214902306624568e+17,341.6908271323544
119,2.9554323006370997e+34,1.7191370802344704e+17,344.7062101552166
120,5.918320961718823e+34,2.4327599474092842e+17,347.72198514072943
121,1.1856213260282732e+35,3.4432852423641485e+17,350.7394600245467
122,inf,inf,inf
123,inf,inf,inf
124,inf,inf,inf
125,inf,inf,inf
126,inf,inf,inf
127,inf,inf,inf
128,inf,inf,inf
129,inf,inf,inf
130,inf,inf,inf
131,inf,inf,inf
132,inf,inf,inf
133,inf,inf,inf
134,inf,inf,inf
135,inf,inf,inf
136,inf,inf,inf
137,inf,inf,inf
138,inf,inf,inf
139,inf,inf,inf
140,inf,inf,inf
141,inf,inf,inf
142,inf,inf,inf
143,inf,inf,inf
144,inf,inf,inf
145,inf,inf,inf
146,inf,inf,inf
147,inf,inf,inf
148,inf,inf,inf
149,inf,inf,inf
150,inf,inf,inf
151,inf,inf,inf
152,inf,inf,inf
153,inf,inf,inf
154,inf,inf,inf
155,inf,inf,inf
156,inf,inf,inf
157,inf,inf,inf
158,inf,inf,inf
159,inf,inf,inf
160,inf,inf,inf
161,inf,inf,inf
162,inf,inf,inf
163,inf,inf,inf
164,inf,inf,inf
165,inf,inf,inf
166,inf,inf,inf
167,inf,inf,inf
168,inf,inf,inf
169,inf,inf,inf
170,inf,inf,inf
171,inf,inf,inf
172,inf,inf,inf
173,inf,inf,inf
174,inf,inf,inf
175,inf,inf,inf
176,inf,inf,inf
177,inf,inf,inf
178,inf,inf,inf
179,inf,inf,inf
180,inf,inf,inf
181,inf,inf,inf
182,inf,inf,inf
183,inf,inf,inf
184,inf,inf,inf
185,inf,inf,inf
186,inf,inf,inf
187,inf,inf,inf
188,inf,inf,inf
189,inf,inf,inf
190,inf,inf,inf
191,inf,inf,inf
192,inf,inf,inf
193,inf,inf,inf
194,inf,inf,inf
195,inf,inf,inf
196,inf,inf,inf
197,inf,inf,inf
198,inf,inf,inf
199,inf,inf,inf
