t,mse_t,rmse_t,mse_db_t
0,0.9919666051864624,0.9959752030981808,-0.035029482363128195
1,2.013453960418701,1.418962282944371,3.0394170349164753
2,5.3090105056762695,2.3041290123767526,7.250135847408026
3,12.710064888000488,3.5651177944074286,11.0414776773958
4,27.5644588470459,5.2501865535470165,14.403494707115765
5,56.19939422607422,7.496625522598432,17.497316343290052
6,110.87348937988281,10.529648112823278,20.44827715739892
7,215.10243225097656,14.666370793450456,23.326453211601525
8,411.481689453125,20.28501144818817,26.143505142836524
9,779.4722900390625,27.919030965258493,28.918006807858823
10,1469.8572998046875,38.33871802505514,31.67275173581072
11,2769.54345703125,52.626452065774394,34.42408184070462
12,5222.35498046875,72.26586317528319,37.17866388899997
13,9846.41015625,99.22907918674848,39.93277922528148
14,18513.3203125,136.06366271896403,42.674843152456354
15,34612.05859375,186.04316325452544,45.39227430248148
16,64222.95703125,253.42248722489092,48.07690298003909
17,118221.4921875,343.8335239436376,50.72696436697079
18,216097.921875,464.8633367722174,53.34650590471581
19,392779.25,626.7210304433704,55.94148536527002
20,711022.0625,843.2212417272231,58.518830767822976
21,1283889.5,1133.088478451705,61.08527647093162
22,2314865.0,1521.46804107086,63.64525668587393
23,4170700.75,2042.2293578342271,66.20209030103314
24,7514507.0,2741.2601117004565,68.75900493345705
25,13546539.0,3680.5623211677857,71.31828351653385
26,24447562.0,4944.447593007737,73.88235556190138
27,44201288.0,6648.404921483047,76.45434924623815
28,80066976.0,8948.015198914227,79.03453426217753
29,145309952.0,12054.45776466117,81.62295359312986
30,264321072.0,16257.95411483253,84.22131787000536
31,481908224.0,21952.408159470797,86.82964337812608
32,880439488.0,29672.200592473757,89.44699512568177
33,1612260736.0,40152.96671480203,92.07435277574046
34,2959244544.0,54398.93881317907,94.71180855570046
35,5442519040.0,73773.4304475534,97.3579995704294
36,10030738432.0,100153.57423477207,100.01332905616451
37,18525456384.0,136108.25244635242,102.67768915847661
38,34276825088.0,185140.0148212158,105.35000588320635
39,63537872896.0,252067.1991672062,108.03032671539404
40,117984722944.0,343489.0434118678,110.71825777046412
41,219461058560.0,468466.71019401157,113.41357469667578
42,408854626304.0,639417.4116365615,116.1156891627898
43,762875609088.0,873427.5064869437,118.82453729710122
44,1425550606336.0,1193964.2399737104,121.53982639156783
45,2667351900160.0,1633202.9574305823,124.2608031535842
46,4997447680000.0,2235497.1885466552,126.9874825603553
