t,mse_t,rmse_t,mse_db_t
0,0.979550302028656,0.9897223358238694,-0.08973257134740212
1,1.8968744277954102,1.3772706443525942,2.780385817475976
2,4.760950565338135,2.1819602575065695,6.776936720621343
3,11.164549827575684,3.3413395259350227,10.47841216315534
4,23.992807388305664,4.8982453377006,13.800810675558232
5,48.7542610168457,6.982425152971259,16.8801257809065
6,96.36841583251953,9.816741609746053,19.839347198238798
7,188.6038818359375,13.73331284999863,22.755506271212358
8,366.11260986328125,19.134069349285877,25.6361468736208
9,706.3527221679688,26.57729711930784,28.490216232015957
10,1357.737060546875,36.84748377497268,31.32815672587944
11,2607.781005859375,51.066437176088314,34.16271117757666
12,5010.95703125,70.78811362969068,36.99920678701162
13,9620.52734375,98.08428693603273,39.83198878295995
14,18401.5546875,135.6523301956144,42.6485451668775
15,34953.83203125,186.95943953502322,45.434947949256845
16,65804.9453125,256.52474600416235,48.182585325383656
17,122740.875,350.3439381522106,50.88989214974613
18,227017.78125,476.46382994934675,53.56059874798068
19,416907.25,645.6835525239899,56.20039447555216
20,761061.8125,872.3885673826773,58.81419931064241
21,1383686.5,1176.3020445446823,61.410377037459384
22,2509268.25,1584.0669966892183,63.99547091473015
23,4543685.0,2131.592127964447,66.57408215417806
24,8222129.5,2867.4255875262047,69.14984312713426
25,14878890.0,3857.3164246662473,71.72570533034045
26,26941360.0,5190.506719001527,74.30419515128146
27,48841336.0,6988.657667964571,76.88787535074076
28,88668456.0,9416.392939974414,79.4776914608154
29,161229552.0,12697.61993446016,82.074446472349
30,293690240.0,17137.393033947723,84.67889514161297
31,535910208.0,23149.734512516552,87.29092029549393
32,979691392.0,31300.022236413828,89.91089292163082
33,1794376576.0,42360.082341751884,92.53913591281362
34,3292526080.0,57380.537466984395,95.17529223680968
35,6052144640.0,77795.53097704264,97.81909298664308
36,11144881152.0,105569.31917939037,100.47075441564054
37,20557985792.0,143380.5628110031,103.12980561574622
38,37984968704.0,194897.32862202087,105.79611772923121
39,70296469504.0,265134.8138287388,108.46933514017927
40,130300608512.0,360971.75583693525,111.14946443899743
41,241881825280.0,491814.82824331353,113.83603237203793
42,449636728832.0,670549.5722405615,116.52861779601837
43,837022253056.0,914889.2026119884,119.22737004290698
44,1560269422592.0,1249107.4503788694,121.93199597483991
45,2912050741248.0,1706473.187966339,124.6419893810392
46,5441681096704.0,2332741.112233417,127.35733086874117
47,10180325539840.0,3190662.2415793245,130.0776166580974
48,19067750580224.0,4366663.552441841,132.80299462410613
49,35752884830208.0,5979371.608305341,135.53311089921533
50,67106376777728.0,8191848.190593378,138.2676379092599
51,126080383975424.0,11228552.176279183,141.00647522783123
52,237113803014144.0,15398500.024812287,143.74956836130838
53,446347530469376.0,21126938.502049368,146.49673136272443
54,840965266866176.0,28999401.14668191,149.2477805915123
55,1585816010752000.0,39822305.44245273,152.00252798271404
56,2992895346868224.0,54707360.9934552,154.76091531049258
57,5652972604227584.0,75186252.76091091,157.52276880761443
58,1.0685821724131328e+16,103372248.32676964,160.28807924397526
59,2.021446973705421e+16,142177599.28010532,163.05662353471237
60,3.826739410318131e+16,195620535.9955373,165.82828889056444
61,7.249441798173491e+16,269247874.6095035,168.603045674943
62,1.3742786386644173e+17,370712643.2514027,171.3807479601749
63,2.6069370872948326e+17,510581735.60115063,174.16130550550616
64,4.9484342005805875e+17,703451078.6529926,176.94467799817807
65,9.398827429490852e+17,969475498.8905523,179.7307367565649
66,1.7862395150110556e+18,1336502717.9213126,182.51939692555524
67,3.3967270441244426e+18,1843021172.9994972,185.31060649020924
68,6.462913954904539e+18,2542226180.910058,188.10428373908297
69,1.2303689046441329e+19,3507661478.3130555,190.90035346586
70,2.343563514823154e+19,4841036577.865482,193.69876728184124
71,4.4662461387423875e+19,6682997934.117882,196.49942653744816
72,8.51589171976696e+19,9228158927.850647,199.30230130712891
73,1.6245484851311306e+20,12745777673.924532,202.10732677521986
74,3.100580920925534e+20,17608466488.952225,204.91443070323456
75,5.920472180325435e+20,24332020426.43692,207.7235634475201
76,1.1310162071255494e+21,33630584400.595085,210.53468828280683
77,2.1615913057741334e+21,46492916726.896515,213.34773584887657
78,4.133004887958642e+21,64288450657.6309,216.1626591890673
79,7.905731375876853e+21,88914179835.82176,218.97942053624917
80,1.5128536904259244e+22,122998117482.58281,221.79796929005903
81,2.8961798023290087e+22,170181661830.2045,224.61825520486207
82,5.546577906794086e+22,235511738705.18823,227.44025117433725
83,1.0626496423079744e+23,325983073534.1905,230.26390100371793
84,2.036652411134624e+23,451292855154.45776,233.08916915692828
85,3.904833807120602e+23,624886694299.1027,235.91602554682876
86,7.489315403819265e+23,865408308477.5223,238.74442120779304
87,1.4369200823758993e+24,1198716014065.0076,241.5743261451675
88,2.7578502085504506e+24,1660677635349.6335,244.40570673962156
89,5.29484100907089e+24,2301052152618.643,247.23852923854295
90,1.0168941761779586e+25,3188877821707.7534,250.0727576010736
91,1.953603122879113e+25,4419958283603.04,252.9083634083099
92,3.7543237813927375e+25,6127253692636.4795,255.74531724441027
93,7.217027136241617e+25,8495308785583.733,258.5835833826131
94,1.3877602703476564e+26,11780323723682.879,261.42314450083387
