t,mse_t,rmse_t,mse_db_t
0,0.9867023229598999,0.9933289097574377,-0.05813849351672272
1,1.2045831680297852,1.0975350418231689,0.808367903613289
2,2.0691730976104736,1.438462059843941,3.157968232865941
3,4.0493927001953125,2.0123102892435134,6.0738989562688666
4,8.308762550354004,2.8824924198259403,9.195363477828439
5,17.352191925048828,4.165596226838222,12.39354342575102
6,36.46382522583008,6.038528399024888,15.61862226231444
7,76.47382354736328,8.744931306040275,18.83512804639151
8,159.1938934326172,12.617206245148614,22.019264044859312
9,327.7843017578125,18.104814325416665,25.15588150505955
10,664.8455810546875,25.784599687695124,28.227207865310678
11,1325.942626953125,36.41349512135748,31.225247327137538
12,2607.397216796875,51.06267929512586,34.162071976133326
13,5085.154296875,71.31026782220776,37.06304135088605
14,9913.9482421875,99.56881159372898,39.962466472510926
15,19460.84765625,139.5021421206499,42.891617529114924
16,38646.0546875,196.58599819798968,45.87105164104132
17,77720.28125,278.7835742112508,48.90534363532248
18,158130.5625,397.656337180737,51.99015815804104
19,324573.40625,569.713442223369,55.11312933259723
20,670244.4375,818.6845775388712,58.26233218368338
21,1389979.75,1178.9740243109684,61.43008473256024
22,2890202.5,1700.0595577802562,64.60928272359186
23,6021028.5,2453.7784129786455,67.79670682906108
24,12557910.0,3543.71415325785,70.98917366232807
25,26215970.0,5120.153318016952,74.18565931393776
26,54770632.0,7400.718343512338,77.38547752295025
27,114482072.0,10699.629526296692,80.5873748107687
28,239393984.0,15472.361939923716,83.79113232334251
29,500746432.0,22377.364277322744,86.99617863470891
30,1047757504.0,32369.082532564928,90.20260779917834
31,2192740608.0,46826.70827636724,93.40987259503721
32,4589881856.0,67748.66682083125,96.61801506899437
33,9609098240.0,98026.00797747503,99.82682633478375
34,20120084480.0,141845.28360153537,103.0362979989884
35,42133569536.0,205264.6329400172,106.2462825390773
36,88242520064.0,297056.42572413746,109.45677902358939
37,184828788736.0,429917.1882304777,112.66769617400455
38,387171942400.0,622231.4219002444,115.879038772976
39,811103223808.0,900612.693563665,119.09076127549645
40,1699351101440.0,1303591.6160515915,122.302831173416
41,3560602337280.0,1886955.8387201328,125.51523472587853
42,7460993630208.0,2731481.947626233,128.72796669212664
43,15635123798016.0,3954127.4382619485,131.94101324311436
44,32766884315136.0,5724236.570507547,135.15435147849462
45,68675017113600.0,8287039.104143289,138.36798776317443
46,143942926467072.0,11997621.700448468,141.5819032797202
47,301724405334016.0,17370216.04166212,144.7961044001662
48,632495137619968.0,25149456.010418355,148.0105719117128
49,1325962302062592.0,36413765.2826866,151.22531176980576
50,2779917582336000.0,52724923.730015956,154.44031920354308
51,5828522950000640.0,76344763.73662204,157.65558510858875
52,1.222110932369408e+16,110549126.29095754,160.8711062908925
53,2.562643776765952e+16,160082596.70451227,164.0868824077773
54,5.373913761369293e+16,231817034.77892414,167.3029069275179
55,1.126984386084864e+17,335705881.105003,170.51917899112513
56,2.3635744477780378e+17,486166067.0777052,173.7356928624544
57,4.957295233508311e+17,704080622.7633531,176.95244784240114
58,1.0397853315214868e+18,1019698647.4059318,180.16943686453772
59,2.18105366214135e+18,1476839077.943616,183.38666350991434
60,4.5752229143154524e+18,2138977071.9471147,186.6041225864262
61,9.598002036717126e+18,3098064240.250212,189.82180837754655
62,2.0135936981601354e+19,4487308433.972569,193.03971843353494
63,4.2245967926037316e+19,6499689833.064137,196.25785264977185
64,8.863811503558073e+19,9414781730.639364,199.476205118434
65,1.8598490752091475e+20,13637628368.631943,202.69477703108635
66,3.9026217009081326e+20,19755054292.277035,205.91356455157577
67,8.189481374086773e+20,28617269915.3619,209.13256399501074
68,1.718609505864112e+21,41456115421.782005,212.3517720960525
69,3.6067730637742586e+21,60056415675.38191,215.57118817602228
70,7.569743140426644e+21,87004270817.16531,218.79081143094797
71,1.588777962513922e+22,126046735876.57564,222.01063207218166
72,3.334768031180056e+22,182613472426.8737,225.2306562947228
73,6.9998377151508305e+22,264572064193.30878,228.45087971409757
74,1.4693645905522286e+23,383322917466.7526,231.6712956979918
75,3.084540604943966e+23,555386406472.4636,234.8919049167743
76,6.475457129370275e+23,804702251107.2201,238.1127043248385
77,1.3594688333090444e+24,1165962620888.442,241.33369255559373
78,2.8542162878218854e+24,1689442596782.1118,244.55486880148084
79,5.99270324288791e+24,2447999845361.088,247.77622772078723
80,1.2582789304623345e+25,3547222759374.345,250.9977692452176
81,2.6420994835613085e+25,5140135682607.326,254.21949166173397
82,5.548033063068246e+25,7448511974259.185,257.44139040552886
83,1.1650553116899313e+26,10793772795876.016,260.6634654423886
84,2.4466492203376078e+26,15641768507229.635,263.8857170838246
85,5.1382298812673533e+26,22667663931837.69,267.10813530434916
86,1.0791272971883319e+27,32850073016484.027,270.3307267842301
87,2.2664611290777077e+27,47607364231573.54,273.55348275094764
88,4.7603723834716853e+27,68995451904250.08,276.77640927040085
89,9.998841281739766e+27,99994206240860.61,279.9994967458964
90,2.100269659836385e+28,144923071311519.78,283.22275058667464
91,4.411804301253558e+28,210042955160451.8,286.4461623976755
92,9.267728280755074e+28,304429438142159.2,289.66973292284683
93,1.9469115638838305e+29,441238208214546.0,292.89346224663564
94,4.090104701629611e+29,639539263972870.6,296.1173442555208
95,8.592865653683754e+29,926977111566610.0,299.3413802180994
96,1.805332145528577e+30,1343626490334489.0,302.5655711521672
97,3.7930697388037033e+30,1947580483267303.5,305.78990827648533
98,7.969657291233222e+30,2823058145209415.0,309.01439646399075
99,1.6745694700517434e+31,4092150376088033.5,312.23903169095536
100,3.5186903027341106e+31,5931854939843110.0,315.46381044120653
101,7.393903468219788e+31,8598780999781183.0,318.68873776302934
102,1.5537467640026542e+32,1.2464937881925662e+16,321.9138023714302
103,3.265133392892302e+32,1.8069680110318228e+16,325.13900928524924
104,6.861764690642017e+32,2.6194970300884132e+16,328.3643582078691
105,1.4420628891656123e+33,3.7974503145737304e+16,331.589842006206
106,3.030723256753419e+33,5.50520050202844e+16,334.81546281616033
107,6.369743719860489e+33,7.981067422256555e+16,338.04121959291484
108,1.3387859773236734e+34,1.1570591935262747e+17,341.267111548339
109,2.8139322879146708e+34,1.677477954524193e+17,344.49313642729567
110,5.914648241210271e+34,2.4320049837963472e+17,347.71928921162777
111,1.2432466425753826e+35,3.5259702814620864e+17,350.94557295080654
112,inf,inf,inf
113,inf,inf,inf
114,inf,inf,inf
115,inf,inf,inf
116,inf,inf,inf
117,inf,inf,inf
118,inf,inf,inf
119,inf,inf,inf
120,inf,inf,inf
121,inf,inf,inf
122,inf,inf,inf
123,inf,inf,inf
124,inf,inf,inf
125,inf,inf,inf
126,inf,inf,inf
127,inf,inf,inf
128,inf,inf,inf
129,inf,inf,inf
130,inf,inf,inf
131,inf,inf,inf
132,inf,inf,inf
133,inf,inf,inf
134,inf,inf,inf
135,inf,inf,inf
136,inf,inf,inf
137,inf,inf,inf
138,inf,inf,inf
139,inf,inf,inf
140,inf,inf,inf
141,inf,inf,inf
142,inf,inf,inf
143,inf,inf,inf
144,inf,inf,inf
145,inf,inf,inf
146,inf,inf,inf
147,inf,inf,inf
148,inf,inf,inf
149,inf,inf,inf
150,inf,inf,inf
151,inf,inf,inf
152,inf,inf,inf
153,inf,inf,inf
154,inf,inf,inf
155,inf,inf,inf
156,inf,inf,inf
157,inf,inf,inf
158,inf,inf,inf
159,inf,inf,inf
160,inf,inf,inf
161,inf,inf,inf
162,inf,inf,inf
163,inf,inf,inf
164,inf,inf,inf
165,inf,inf,inf
166,inf,inf,inf
167,inf,inf,inf
168,inf,inf,inf
169,inf,inf,inf
170,inf,inf,inf
171,inf,inf,inf
172,inf,inf,inf
173,inf,inf,inf
174,inf,inf,inf
175,inf,inf,inf
176,inf,inf,inf
177,inf,inf,inf
178,inf,inf,inf
179,inf,inf,inf
180,inf,inf,inf
181,inf,inf,inf
182,inf,inf,inf
183,inf,inf,inf
184,inf,inf,inf
185,inf,inf,inf
186,inf,inf,inf
187,inf,inf,inf
188,inf,inf,inf
189,inf,inf,inf
190,inf,inf,inf
191,inf,inf,inf
192,inf,inf,inf
193,inf,inf,inf
194,inf,inf,inf
195,inf,inf,inf
196,inf,inf,inf
197,inf,inf,inf
198,inf,inf,inf
199,inf,inf,inf
200,inf,inf,inf
201,inf,inf,inf
202,inf,inf,inf
203,inf,inf,inf
204,inf,inf,inf
205,inf,inf,inf
206,inf,inf,inf
207,inf,inf,inf
208,inf,inf,inf
209,inf,inf,inf
210,inf,inf,inf
211,inf,inf,inf
212,inf,inf,inf
213,inf,inf,inf
214,inf,inf,inf
215,inf,inf,inf
216,inf,inf,inf
217,inf,inf,inf
218,inf,inf,inf
219,inf,inf,inf
220,inf,inf,inf
221,inf,inf,inf
222,inf,inf,inf
223,inf,inf,inf
224,inf,inf,inf
225,inf,inf,inf
226,inf,inf,inf
227,inf,inf,inf
228,inf,inf,inf
229,inf,inf,inf
230,inf,inf,inf
231,inf,inf,inf
232,inf,inf,inf
233,inf,inf,inf
234,inf,inf,inf
235,inf,inf,inf
236,inf,inf,inf
237,nan,nan,nan
238,nan,nan,nan
239,nan,nan,nan
240,nan,nan,nan
241,nan,nan,nan
242,nan,nan,nan
243,nan,nan,nan
244,nan,nan,nan
245,nan,nan,nan
246,nan,nan,nan
247,nan,nan,nan
248,nan,nan,nan
249,nan,nan,nan
250,nan,nan,nan
251,nan,nan,nan
252,nan,nan,nan
253,nan,nan,nan
254,nan,nan,nan
255,nan,nan,nan
256,nan,nan,nan
257,nan,nan,nan
258,nan,nan,nan
259,nan,nan,nan
260,nan,nan,nan
261,nan,nan,nan
262,nan,nan,nan
263,nan,nan,nan
264,nan,nan,nan
265,nan,nan,nan
266,nan,nan,nan
267,nan,nan,nan
268,nan,nan,nan
269,nan,nan,nan
270,nan,nan,nan
271,nan,nan,nan
272,nan,nan,nan
273,nan,nan,nan
274,nan,nan,nan
275,nan,nan,nan
276,nan,nan,nan
277,nan,nan,nan
278,nan,nan,nan
279,nan,nan,nan
280,nan,nan,nan
281,nan,nan,nan
282,nan,nan,nan
283,nan,nan,nan
284,nan,nan,nan
285,nan,nan,nan
286,nan,nan,nan
287,nan,nan,nan
288,nan,nan,nan
289,nan,nan,nan
290,nan,nan,nan
291,nan,nan,nan
292,nan,nan,nan
293,nan,nan,nan
294,nan,nan,nan
295,nan,nan,nan
296,nan,nan,nan
297,nan,nan,nan
298,nan,nan,nan
299,nan,nan,nan
300,nan,nan,nan
301,nan,nan,nan
302,nan,nan,nan
303,nan,nan,nan
304,nan,nan,nan
305,nan,nan,nan
306,nan,nan,nan
307,nan,nan,nan
308,nan,nan,nan
309,nan,nan,nan
310,nan,nan,nan
311,nan,nan,nan
312,nan,nan,nan
313,nan,nan,nan
314,nan,nan,nan
315,nan,nan,nan
316,nan,nan,nan
317,nan,nan,nan
318,nan,nan,nan
319,nan,nan,nan
320,nan,nan,nan
321,nan,nan,nan
322,nan,nan,nan
323,nan,nan,nan
324,nan,nan,nan
325,nan,nan,nan
326,nan,nan,nan
327,nan,nan,nan
328,nan,nan,nan
329,nan,nan,nan
330,nan,nan,nan
331,nan,nan,nan
332,nan,nan,nan
333,nan,nan,nan
334,nan,nan,nan
335,nan,nan,nan
