t,mse_t,rmse_t,mse_db_t
0,0.8849920630455017,0.9407401676581594,-0.5306062420725772
1,1.5798348188400269,1.256914801742754,1.9861168124781523
2,4.903656482696533,2.2144201233497975,6.905200388156693
3,14.432411193847656,3.7990013416485726,11.59338893858832
4,40.87909698486328,6.393676327815108,16.11501293711234
5,128.4404296875,11.333156210319348,21.08701749795415
6,418.7123107910156,20.46246101501517,26.21915730009949
7,1338.348388671875,36.58344418820999,31.265691803847076
8,4216.32666015625,64.93324772530826,36.24934250498515
9,13694.080078125,117.02170772179407,41.36532863138874
10,47834.3984375,218.71076433842939,46.7974031667186
11,180602.671875,424.97373080579933,52.567241710715365
12,730002.6875,854.401947270721,58.633244589756224
13,3191920.5,1786.5946658377775,65.04052065999093
14,14469843.0,3803.924683796986,71.6046381898334
15,68811696.0,8295.28155037549,78.37662262022592
16,326710528.0,18075.135628813412,85.14163129512585
17,1578919808.0,39735.623916078126,91.98360073119444
18,7667220480.0,87562.66601697323,98.8463795208767
19,36697001984.0,191564.61568880617,105.64630585369548
20,174118076416.0,417274.5815599124,112.40843860607282
21,815212658688.0,902891.277335206,119.11270914810517
22,3870370824192.0,1967325.8052981463,125.87752577211434
23,18430656774144.0,4293094.079349298,132.6554081152425
24,86799351283712.0,9316616.944133315,139.38516479382056
25,414694426804224.0,20364047.407237686,146.17728198796775
26,1979453924179968.0,44491054.42872722,152.96545397117634
27,9359644271050752.0,96745254.5143727,159.71259342962944
28,4.419817700327424e+16,210233624.81599903,166.45404356820904
29,2.0478203062858547e+17,452528485.9857835,173.11291845168859
30,9.667928090025656e+17,983256227.5432409,179.8533341146863
31,4.496555881005056e+18,2120508401.5407853,186.5287999498318
32,2.122893950054092e+19,4607487330.480782,193.26928299367748
33,1.0126890879128542e+20,10063245440.27847,200.0547613032623
34,4.8466549957984675e+20,22015119794.810265,206.85442106012485
35,2.3086743660044264e+21,48048666641.27556,213.63362680851125
36,1.0963774602053222e+22,104708044590.91585,220.3996009854835
37,5.187656328731391e+22,227764271314.25577,227.14971197273388
38,2.4235645814573674e+23,492297123844.6724,233.84454596989198
39,1.1208966598581945e+24,1058724071634.4342,240.49565575019486
40,5.221965993686196e+24,2285162137286.148,247.1783403929801
41,2.4369587767408067e+25,4936556266002.451,253.8684818278119
42,1.1308684220667272e+26,10634229742048.68,260.53412077167195
43,5.340756315517729e+26,23110076407311.44,267.27602762720994
44,2.499322496087536e+27,49993224501801.6,273.978222982372
45,1.1713802907150878e+28,108230323417935.31,280.6869791244788
46,5.358323799224514e+28,231480534802054.44,287.29028954133605
47,2.4407774062409753e+29,494042245788857.1,293.8752817448101
48,1.1195494048654736e+30,1058087616818887.8,300.4904326342378
49,5.168263055398846e+30,2273381414413086.5,307.13344610366426
50,2.4179679378931053e+31,4917283739925026.0,313.83450537844675
51,1.1320094134096647e+32,1.0639593100347704e+16,320.5385003831416
52,5.342375888575007e+32,2.311358018260046e+16,327.27734441639456
53,2.5119883136366365e+33,5.011973976026448e+16,334.0001761462928
54,1.1977360795995286e+34,1.0944112936184131e+17,340.78361132076003
55,5.712603057046473e+34,2.3901052397429014e+17,347.56834047949314
56,inf,inf,inf
57,inf,inf,inf
58,inf,inf,inf
59,inf,inf,inf
60,inf,inf,inf
61,inf,inf,inf
62,inf,inf,inf
63,inf,inf,inf
64,inf,inf,inf
65,inf,inf,inf
66,inf,inf,inf
67,inf,inf,inf
68,inf,inf,inf
69,inf,inf,inf
70,inf,inf,inf
71,inf,inf,inf
72,inf,inf,inf
73,inf,inf,inf
74,inf,inf,inf
75,inf,inf,inf
76,inf,inf,inf
77,inf,inf,inf
78,inf,inf,inf
79,inf,inf,inf
80,inf,inf,inf
81,inf,inf,inf
82,inf,inf,inf
83,inf,inf,inf
84,inf,inf,inf
85,inf,inf,inf
86,inf,inf,inf
87,inf,inf,inf
88,inf,inf,inf
89,inf,inf,inf
90,inf,inf,inf
91,inf,inf,inf
92,inf,inf,inf
