t,mse_t,rmse_t,mse_db_t
0,0.9565377235412598,0.9780274656374737,-0.19297897771816308
1,1.8230531215667725,1.3502048442983652,2.607993236561799
2,5.714448928833008,2.3904913571968853,7.569743556925759
3,16.26065444946289,4.032450179414854,12.111380208441936
4,42.75132369995117,6.53844964039268,16.309495662380982
5,118.44241333007812,10.883125163760552,20.735072477991437
6,333.1162109375,18.25147147321278,25.22595767934026
7,968.4238891601562,31.119509783416515,29.860654941138375
8,2749.7958984375,52.43849634035572,34.39300459840486
9,7665.23681640625,87.5513381759882,38.84525576864198
10,21412.689453125,146.33075361360304,43.306712184993245
11,59735.75,244.40898101338257,47.76234320758802
12,176118.609375,419.6648774617671,52.4580524763039
13,540810.8125,735.3984039281021,57.33045365925708
14,1678625.625,1295.6178545389068,62.24953848534716
15,5336798.5,2310.151185528774,67.27280805578529
16,18167960.0,4262.389001487311,72.59306165036074
17,60770072.0,7795.516147119445,77.83689750896998
18,225462112.0,15015.395832278282,83.53073570906604
19,839227520.0,28969.42388105086,89.23879716830136
20,3458629888.0,58810.11722484491,95.38904090144071
21,14791349248.0,121619.69103726583,101.70007791592197
22,64574750720.0,254115.6247065497,108.10062738327547
23,291927523328.0,540303.1772329309,114.65275042798815
24,1343718293504.0,1159188.63585872,121.28308229729477
25,6564028088320.0,2562035.9264303846,128.17170430786948
26,30385425612800.0,5512297.6709172735,134.8266532394797
27,141794318745600.0,11907741.966703847,141.51658830375504
28,625154501640192.0,25003089.841861386,147.9598736281223
29,2743369826566144.0,52377188.036072955,154.38284357663042
30,1.266001203167232e+16,112516718.8984478,161.02434118421178
31,6.112620218993869e+16,247237137.5621767,167.8622741363388
32,2.8277781209022464e+17,531768570.04736996,174.51445329931036
33,1.3124203721837773e+18,1145609170.7837265,181.18072963148276
34,6.265511485544333e+18,2503100374.6442795,187.96956530443052
35,3.0070251037952836e+19,5483634838.129982,194.78137053772036
36,1.5176244098061933e+20,12319189948.231958,201.81164303225148
37,7.319789138982931e+20,27055108831.75843,208.64498570526266
38,3.492188259930048e+21,59094739697.62493,215.4309764799027
39,1.5821637509211843e+22,125784090843.04677,221.99251430135843
40,7.252482898846874e+22,269304342684.01382,228.6048671342159
41,3.4396375460591133e+23,586484232188.6509,235.36512680932034
42,1.6655961540919563e+24,1290579774400.6204,242.2156970936953
43,8.158642686282077e+24,2856333784115.9385,249.11617913301762
44,4.006358417491618e+25,6329580094675.806,256.0274979961952
45,1.8941827014531805e+26,13762931015787.229,262.77421866117203
46,8.80558722559435e+26,29674209720891.22,269.4475832343009
47,3.856272073699335e+27,62098889472351.555,275.86167667330864
48,1.8082336761100812e+28,134470579537312.97,282.57254553178905
49,8.212006419050998e+28,286565985752862.8,289.1444928017217
50,3.574220919993416e+29,597847883662175.0,295.5318139242505
51,1.6049088673664912e+30,1266849978239922.0,302.0545037660161
52,7.577488404442244e+30,2752723815503881.0,308.7952528045496
53,3.4322801537106797e+31,5858566508720951.0,315.355827291315
54,1.5381197052879876e+32,1.2402095408792772e+16,321.8699013606554
55,7.055133245915967e+32,2.6561500797048284e+16,328.48505220417735
56,2.9715831472566384e+33,5.4512229336696904e+16,334.72987886668784
57,1.22399179748074e+34,1.1063416278350643e+17,340.87778507416743
58,5.338151944315463e+34,2.310444101101661e+17,347.273909313171
59,inf,inf,inf
60,inf,inf,inf
