t,mse_t,rmse_t,mse_db_t
0,0.9389265775680542,0.9689822380044198,-0.2736836748230429
1,1.6527818441390991,1.28560563320915,2.182155334631109
2,5.138589382171631,2.266845689977955,7.108439151784866
3,15.474959373474121,3.9338224888108666,11.896295175371206
4,45.35751724243164,6.73479897565114,16.566492743367547
5,145.57301330566406,12.065364201119834,21.63080871826432
6,478.4132995605469,21.872661007763707,26.79803244235942
7,1549.9161376953125,39.36897430331799,31.90308200156438
8,4989.9794921875,70.63978689228543,36.9809876076405
9,16622.5546875,128.928486718413,42.20697770436207
10,59870.36328125,244.6842113444388,47.77211893364719
11,232775.9375,482.4685870603391,53.669380844354045
12,963366.1875,981.5121942696383,59.83791399254865
13,4193268.0,2047.7470546920583,66.22552619904566
14,19033964.0,4362.793142013496,72.79529243570789
15,88261136.0,9394.739804805666,79.45769512906737
16,405387072.0,20134.226381959652,86.07869894705814
17,1871131392.0,43256.576286155614,92.72104284997084
18,8455632384.0,91954.51258094951,99.27146093378042
19,38991589376.0,197462.88100805174,105.90970938269754
20,181600665600.0,426146.2960064302,112.59117435957519
21,837612273664.0,915211.6004859204,119.23043032502561
22,3942525698048.0,1985579.4363479896,125.95774532814909
23,18728760639488.0,4327673.813896791,132.72509039241757
24,88934117801984.0,9430488.736114582,139.49068401359597
25,421913729957888.0,20540538.69687667,146.2522365846537
26,2041009798119424.0,45177536.432605796,153.09845089605332
27,9831762108612608.0,99155242.46661197,159.92631361724742
28,4.652527188862566e+16,215697176.35756308,166.67688919779908
29,2.2469343029336474e+17,474018386.0288172,173.5159037447053
30,1.0557216530544722e+18,1027483164.3654665,180.23549429109687
31,5.005831250171134e+18,2237371504.7285137,186.99476205169375
32,2.352880776356928e+19,4850650241.3150015,193.71599921446267
33,1.1298660651863376e+20,10629515817.695261,200.53026965078152
34,5.416212926141783e+20,23272758594.850296,207.3369572931644
35,2.5855798779431617e+21,50848597600.55494,214.1255795924755
