t,mse_t,rmse_t,mse_db_t
0,0.44131118059158325,0.6643125624219245,-3.5525506958947304
1,0.1743057519197464,0.4174994034962761,-7.586882813593727
2,0.1073676273226738,0.32766999759311777,-9.691266440967754
3,0.0623801089823246,0.24976010286337688,-12.04953870835995
4,0.03672705590724945,0.19164304293986112,-14.350138839193871
5,0.022440195083618164,0.1498005176346803,-16.489733718646015
6,0.014041047543287277,0.11849492623436363,-18.52600490119452
7,0.009119789116084576,0.09549758696472166,-20.400152040816373
8,0.00617422629147768,0.07857624508385266,-22.09417457241507
9,0.004291839897632599,0.06551213549894858,-23.67356487281945
10,0.0031407035421580076,0.05604198017698882,-25.02973055668098
11,0.00245122448541224,0.049509842308497004,-26.106169138350587
12,0.0020317372400313616,0.04507479606200522,-26.92132459076729
13,0.0018156748265028,0.04261073604741885,-27.40961927676468
14,0.0016757621197029948,0.040936073574574725,-27.757876309519304
15,0.0015881906729191542,0.03985211001840623,-27.990973588197544
16,0.0014761177590116858,0.03842027796635113,-28.30878994783333
17,0.0013757345732301474,0.037090896096348865,-28.61465348441272
18,0.001418825937435031,0.03766730594872735,-28.480708808274237
19,0.0013915214221924543,0.037303102045171184,-28.565101034022632
20,0.0013357207644730806,0.03654751379332226,-28.742843226415687
21,0.001343932468444109,0.036659684510973484,-28.71622553692115
22,0.0013321018777787685,0.03649797087207409,-28.754625595011532
23,0.0013346384512260556,0.03653270385868059,-28.74636367185875
24,0.0013701684074476361,0.03701578592232828,-28.632260504127082
25,0.0013502512592822313,0.03674576518841636,-28.69585409011354
26,0.0013491057325154543,0.03673017468669941,-28.699540123380423
27,0.0013421850744634867,0.036635844121072014,-28.72187594989395
28,0.0013601294485852122,0.036879932871213474,-28.66419756239425
29,0.0013432896230369806,0.03665091571894188,-28.718303401785718
30,0.00131619640160352,0.03627942118616999,-28.806793008676376
31,0.0012843775330111384,0.035838213306624796,-28.913072999403425
32,0.0013438576133921742,0.03665866355163775,-28.716467439264836
33,0.0013208320597186685,0.03634325329024176,-28.7915239826288
34,0.001291783293709159,0.035941386919666286,-28.88810336371938
35,0.001315313740633428,0.03626725438509825,-28.80970642935392
36,0.0013881019549444318,0.03725724030231482,-28.57578634137921
37,0.0014026525896042585,0.037452003812937146,-28.530498821442293
38,0.0013817815342918038,0.03717232215361053,-28.59560615392724
39,0.0013582216342911124,0.03685405858641776,-28.670293561999898
40,0.0013289873022586107,0.036455278112484765,-28.764791684819198
41,0.00134294293820858,0.03664618586167707,-28.719424401589993
42,0.0013187474105507135,0.036314561962809265,-28.798383801238362
43,0.0013941606739535928,0.03733846105497109,-28.556871718690772
44,0.001399373635649681,0.03740820278561483,-28.540663125017115
45,0.001368860132060945,0.036998109844435904,-28.636409251146418
46,0.0014176596887409687,0.03765182185155147,-28.484280096605303
47,0.0013537363847717643,0.03679315676551503,-28.684658982692845
48,0.0013689338229596615,0.036999105704863484,-28.636175460355638
49,0.001371536636725068,0.03703426301042142,-28.627925869548072
50,0.0013608945300802588,0.03689030401176248,-28.66175531504276
51,0.001364556490443647,0.03693990376873831,-28.650084805289872
52,0.0014314914587885141,0.03783505595064601,-28.442112389187244
53,0.0014439489459618926,0.03799932823040287,-28.404481619457446
54,0.0014525074511766434,0.03811177575470137,-28.378816310570123
55,0.0014025723794475198,0.03745093295830586,-28.53074717819698
56,0.0012997434241697192,0.03605195451247712,-28.861423711277197
57,0.0013403944903984666,0.036611398367154276,-28.727673659713986
58,0.001367082353681326,0.03697407677929668,-28.642053225411246
59,0.0013787040952593088,0.037130904853764454,-28.60528934393976
60,0.0014126590685918927,0.03758535710342384,-28.499626382185216
61,0.0013540368527173996,0.03679723974318454,-28.68369515330339
62,0.0014168170746415854,0.03764063063554575,-28.486862179261564
63,0.0013268031179904938,0.03642530875628227,-28.771935165582867
64,0.0013454740401357412,0.03668070392094107,-28.711246771901276
65,0.0013665237929672003,0.03696652259771265,-28.643828022703282
66,0.0013348599895834923,0.036535735788177204,-28.745642840672524
67,0.001387750613503158,0.03725252492789124,-28.576885720011624
68,0.0013873935677111149,0.037247732383476916,-28.578003233250584
69,0.0013970643049106002,0.03737732340484803,-28.54783603459836
70,0.001422504661604762,0.037716106129938205,-28.46946301730144
71,0.0013897452736273408,0.037279287461368424,-28.570647942752313
72,0.0014038881054148078,0.03746849483786088,-28.526675055519775
73,0.001351483864709735,0.036762533437043415,-28.691891349518315
74,0.0013631104957312346,0.03692032632211198,-28.65468938192237
75,0.0013638552045449615,0.036930410294836444,-28.65231734668604
76,0.0012527728686109185,0.03539453162016583,-29.021276607300624
77,0.0013113671448081732,0.03621280360325852,-28.8227570141318
78,0.0013522430090233684,0.036772856960309304,-28.68945255144114
79,0.001436935504898429,0.03790693214833441,-28.42562724207672
80,0.0014149107737466693,0.03761529972958702,-28.492709464939423
81,0.0014097315724939108,0.03754639227001592,-28.508635736443907
82,0.00131156702991575,0.03621556336598604,-28.822095091310864
83,0.0013527044793590903,0.03677913103050547,-28.68797071844312
84,0.0014106853632256389,0.03755909161874976,-28.50569839720002
85,0.0013311506481841207,0.036484937278062034,-28.75772792028875
86,0.0013348557986319065,0.03653567843398979,-28.745656475885347
87,0.0013590784510597587,0.036865681209761456,-28.667554734522113
88,0.0013428585371002555,0.036645034276150644,-28.719697355015334
89,0.0013417309382930398,0.03662964562063138,-28.72334565933197
90,0.0013865651562809944,0.037236610429535535,-28.58059717612674
91,0.0012975429417565465,0.036021423372162104,-28.86878260408745
92,0.0013328755740076303,0.036508568501211196,-28.75210390754225
93,0.001272822730243206,0.03567664124105864,-28.95232077601692
94,0.0013015774311497808,0.036077381157032185,-28.855299905045797
95,0.0013336283154785633,0.03651887615300563,-28.749651921800925
96,0.0013716606190428138,0.03703593685925623,-28.62753329962716
97,0.001404646085575223,0.03747860837298022,-28.52433086750804
98,0.001355577725917101,0.0368181711375932,-28.678755758561753
99,0.0013521292712539434,0.03677131043699617,-28.689817853851864
100,0.0022822909522801638,0.04777332888003686,-26.416289914186155
101,0.003042015479877591,0.05515446926476213,-25.16838580286862
102,0.003457330632954836,0.05879907000076477,-24.61259085831741
103,0.0034930980764329433,0.05910243714461311,-24.567892204156983
104,0.003615049412474036,0.060125280976258536,-24.418857621541946
105,0.0036504704039543867,0.060419122833374424,-24.376511682343974
106,0.003672851249575615,0.06060405307878026,-24.34996660219001
107,0.0037254730705171824,0.061036653500312274,-24.288185715411394
108,0.0036381827667355537,0.06031735046183274,-24.39115487627958
109,0.003861473174765706,0.062140752930469924,-24.13246977811676
110,0.0036340567748993635,0.06028313839623285,-24.396082919886627
111,0.003523558145388961,0.059359566586936606,-24.53018557425343
112,0.0035970027092844248,0.05997501737627447,-24.440592350681072
113,0.003603733144700527,0.06003110147832145,-24.432473758713517
114,0.0037394168321043253,0.061150771312423566,-24.27196121421645
115,0.00364986271597445,0.06041409368660967,-24.377234705616146
116,0.0037067413795739412,0.06088301388379144,-24.310077137659754
117,0.0036701008211821318,0.060581357043088195,-24.35322005098965
118,0.0037288230378180742,0.06106408959296842,-24.28428226862009
119,0.003770563518628478,0.06140491445013565,-24.23593738722071
120,0.003620233153924346,0.06016837336944008,-24.412634586927837
121,0.003472494427114725,0.05892787478871714,-24.593584425738648
122,0.0036435581278055906,0.06036189301045479,-24.384742975310253
123,0.003567569423466921,0.05972913379136618,-24.476275669350418
124,0.0036423474084585905,0.060351863338745315,-24.386186333953205
125,0.0038647777400910854,0.06216733660123365,-24.128754769144805
126,0.003823640523478389,0.061835592691251766,-24.175229443269433
127,0.00370026845484972,0.0608298319482285,-24.317667666815133
128,0.0037667423021048307,0.061373791654946906,-24.240340906016485
129,0.003709120210260153,0.060902546829013256,-24.307290912314734
130,0.003631415544077754,0.06026122753543736,-24.399240517827764
131,0.0035066718701273203,0.05921715857863598,-24.55104870462996
132,0.003501379396766424,0.05917245471303708,-24.557608281110454
133,0.003691705409437418,0.06075940593387511,-24.327729620773965
134,0.0037982959765940905,0.06163031702493579,-24.204111965254697
135,0.003771478310227394,0.0614123628451747,-24.23488385568518
136,0.0037824439350515604,0.06150157668752534,-24.22227500549505
137,0.00387863302603364,0.06227867232073625,-24.113213089041757
138,0.003957545384764671,0.06290902466868066,-24.025740959880725
139,0.0037831764202564955,0.061507531410848346,-24.221434058504233
140,0.003933029714971781,0.06271387179063162,-24.05272772380102
141,0.0038575499784201384,0.062109177892000295,-24.13688438508762
142,0.0038281783927232027,0.06187227483068004,-24.17007832345009
143,0.003944705240428448,0.06280688847911865,-24.039854429584953
144,0.003908395767211914,0.0625171637809323,-24.08001465727668
