t,mse_t,rmse_t,mse_db_t
0,1.0122078657150269,1.0060854167092508,0.05269707822956161
1,1.5485944747924805,1.2444253592692816,1.8993770541736281
2,2.536346197128296,1.592591032603253,4.0420853203340625
3,3.3128321170806885,1.8201187096122848,5.201994278913588
4,3.5663094520568848,1.8884674876885978,5.522190246188736
5,3.3116438388824463,1.8197922515722629,5.200436230628931
6,2.8296492099761963,1.682156119382561,4.517325996181457
7,2.480111837387085,1.5748370828079599,3.9447126520724716
8,2.535537004470825,1.592336963230718,4.04069953168338
9,2.9057767391204834,1.7046339017866807,4.632622428963362
10,3.3510680198669434,1.830592259315805,5.251832432196534
11,3.6836750507354736,1.9192902466108335,5.6628131264946
12,3.893441915512085,1.9731806596234631,5.903337000387804
13,4.0493645668029785,2.012303298909729,6.073868783301225
14,4.270854473114014,2.066604575895934,6.305147733466747
15,4.655246257781982,2.1576019692663384,6.679426596604463
16,5.270833969116211,2.2958296907907196,7.218793361860607
17,6.072325229644775,2.4642088445675165,7.833550240299642
18,7.025538444519043,2.650573229420203,8.466796146300997
19,8.074934959411621,2.8416430035125138,9.071390329372097
20,9.225132942199707,3.0372903947761904,9.649726334378979
21,10.621734619140625,3.259100277552169,10.261954465010618
22,12.291962623596191,3.5059895355799613,10.89621231018883
23,14.273518562316895,3.778031043058923,11.54531044161467
24,16.65839958190918,4.0814702720844585,12.216332752140868
25,19.401077270507812,4.404665398246252,12.878258453759862
26,22.65141487121582,4.75935025725317,13.550953344535062
27,26.364931106567383,5.134679260340161,14.2102664082672
28,30.544456481933594,5.526703943756495,14.849324015584788
29,35.444541931152344,5.953531887136605,15.495493681035292
30,41.17378234863281,6.416680009836303,16.14620764439507
31,47.85386657714844,6.917648919766631,16.799170343861505
32,55.86200714111328,7.474089050922077,17.471165359953055
33,65.35721588134766,8.084380983188982,18.152935436296097
34,76.68379974365234,8.756928670695698,18.847036243783727
35,89.9945297241211,9.486544667270644,19.542161118523197
36,105.6727523803711,10.279725306659273,20.2396301931929
37,124.05284118652344,11.137901112261837,20.93606715383713
38,145.91314697265625,12.079451435088277,21.640944241788983
39,171.45399475097656,13.094044247327735,22.341476083083244
40,201.4866943359375,14.194600886813884,23.042463717313346
41,236.5447998046875,15.380012997546118,23.739134049698585
42,277.36676025390625,16.654331576316903,24.43054413827128
43,325.12225341796875,18.031146758261627,25.120466963674552
44,381.62615966796875,19.535254277023597,25.816381370227603
45,447.7679138183594,21.160527257569914,26.510529696563832
46,526.0626220703125,22.936055067738053,27.210374452959407
47,618.733642578125,24.874357128941543,27.915037306778498
48,729.801513671875,27.014838768200615,28.63204759794128
49,861.790283203125,29.35626480332818,29.354015930535155
50,1019.18408203125,31.924662598549887,30.08252632083135
51,1203.721923828125,34.694695903381614,30.80526170563562
52,1423.73046875,37.73235307729959,31.534277793190924
53,1686.7744140625,41.07035931255654,32.27057004771243
54,1998.150390625,44.70067550524265,33.00628172258625
55,2362.72509765625,48.607870737733926,33.734131945413424
56,2795.9130859375,52.87639441128243,34.46523666757324
57,3305.69140625,57.495142457863345,35.19262308758072
58,3911.330078125,62.54062742030176,35.92324467718788
59,4628.3037109375,68.03163757354001,36.65421849773337
60,5480.81494140625,74.03252623952697,37.388451384555395
61,6494.5927734375,80.58903631039088,38.125519249558494
62,7697.693359375,87.73649958469395,38.86360606812636
63,9144.896484375,95.62895212421289,39.61178793845332
64,10859.78515625,104.21029294772183,40.3582123350531
65,12908.546875,113.61578620508683,41.1087735615577
66,15351.5859375,123.90151709119627,41.861532481080815
67,18286.951171875,135.2292541274816,42.62141305279484
68,21821.98828125,147.72267355165894,43.38894318215469
69,26072.048828125,161.46841433582296,44.16175160811085
70,31164.447265625,176.53454977886057,44.93659428625169
71,37123.14453125,192.67367368493808,45.69644756197938
72,44388.8125,210.68652662189862,46.47273526832179
73,52907.76171875,230.01687268274472,47.23519388941668
74,63156.44140625,251.30945347569002,48.00417651400085
75,75588.2265625,274.9331310746306,48.78454156121264
76,90468.4140625,300.7796769439385,49.564969770753805
77,108280.5,329.0600249194666,50.34550252517194
78,129054.8515625,359.24205149522794,51.107743356308944
79,154065.859375,392.512241051155,51.877064107641814
80,184219.484375,429.2079733357711,52.65335562391945
81,220363.90625,469.42934106210276,53.431404622299816
82,262996.1875,512.831539104217,54.19949452825448
83,315158.90625,561.3901551060545,54.98529584603236
84,377617.9375,614.5062550536,55.770526158491336
85,452818.625,672.9179927747512,56.55924281626269
86,542336.6875,736.4351210391857,57.34268984188131
87,651819.0,807.3530826100808,58.1412701564875
88,783071.9375,884.9135197859732,58.93801660684011
89,941961.3125,970.5469141159535,59.74033066155087
90,1134346.375,1065.056982043684,60.54745687521585
91,1369197.625,1170.1271832582986,61.3646613714252
92,1649569.5,1284.355675037098,62.1737061805089
93,1986698.25,1409.5028378829181,62.981319092278014
94,2395271.25,1547.6663884700733,63.793547017621734
95,2870360.0,1694.213681918547,64.57936369280554
96,3442082.25,1855.2849511597942,65.3682124376445
97,4133346.5,2033.0633290677397,66.16301813878437
98,4978162.0,2231.1795086904144,66.97069025370465
99,6001065.5,2449.70722740494,67.78228366998279
100,7208090.0,2684.7886322762915,68.57820200593004
101,8551675.0,2924.324708372858,69.32051187478007
102,10165592.0,3188.352552651604,70.0713267513804
103,11986362.0,3462.132579783738,70.78687389681875
104,14188857.0,3766.809923529458,71.51947411765701
105,16864954.0,4106.696239071012,72.26985160967058
106,20052580.0,4478.010719058185,73.02170257638434
107,23909330.0,4889.716760713242,73.78567406254638
108,28361674.0,5325.567950932557,74.52731860767271
109,33895876.0,5822.016489155626,75.30146862232777
110,40206268.0,6340.841269106174,76.04293763174387
111,47861836.0,6918.224916841024,76.79989354314505
112,56740420.0,7532.623712890482,77.53892546176212
113,67448456.0,8212.700895564138,78.2897201244595
114,80355256.0,8964.109325526993,79.05014289028942
115,95707872.0,9783.040018317415,79.80947660092
116,113750784.0,10665.401258274345,80.55954398610034
117,135397184.0,11636.0295633863,81.31609631956373
118,160782656.0,12680.010094633206,82.06239198580663
119,190813520.0,13813.526703923224,82.80609143184499
120,226162896.0,15038.713242827658,83.5442135662741
121,268299664.0,16379.85543281747,84.28620128791815
122,317928416.0,17830.54727146646,85.02329346286822
123,377656768.0,19433.39311597437,85.77097272109356
124,448273056.0,21172.4598476417,86.51542635849545
125,534164320.0,23111.99515403203,87.27674875552397
126,635590080.0,25210.911923212934,88.03177110318097
127,757476416.0,27522.289439652362,88.7936911564232
128,900614464.0,30010.239319272347,89.54538917515814
129,1072123840.0,32743.302215873096,90.30244953194723
130,1284887680.0,35845.32996081917,91.0886516495274
131,1529938816.0,39114.43232363216,91.84674063232703
132,1823272704.0,42699.797470245685,92.60851630248487
133,2169379584.0,46576.59910298303,93.36335548700903
134,2583517952.0,50828.31840617984,94.12211483658902
135,3064171264.0,55354.95699573797,94.86313035416016
136,3633273600.0,60276.64224224837,95.60298103201612
137,4328834048.0,65793.8754596505,96.36370936836641
138,5126135296.0,71597.03412851681,97.0979006449567
139,6067911168.0,77896.79818837228,97.83039214248872
140,7219884544.0,84969.9037542117,98.58530252652102
141,8633451520.0,92916.36841805646,99.36184454627904
142,10295706624.0,101467.76150088264,100.12656158858141
143,12225416192.0,110568.60400674325,100.87263652810981
144,14583161856.0,120760.76289921325,101.63851695980556
145,17366763520.0,131783.0168117273,102.39718890619264
146,20795340800.0,144205.89724418346,103.17966042101608
147,24836601856.0,157596.32564244638,103.95092175395747
148,29604673536.0,172060.08699288746,104.7136027628458
149,35364061184.0,188053.3466439776,105.48562133278915
150,42186526720.0,205393.58977339094,106.25173770737845
151,50102956032.0,223836.89604709944,106.9986334963
152,59586301952.0,244103.05600708895,107.7514643305566
153,70907158528.0,266283.9809827095,108.50690082182666
154,83845373952.0,289560.6567750529,109.2347910602926
155,98987851776.0,314623.3490636065,109.95581899341225
