t,mse_t,rmse_t,mse_db_t
0,0.9701871275901794,0.9849807752388772,-0.13144491876148207
1,1.381170392036438,1.1752320588021916,1.402472598649216
2,2.327707290649414,1.5256825654930366,3.669283668506045
3,3.149402618408203,1.7746556337521382,4.982281842236587
4,3.47922420501709,1.865267864146351,5.414824160612776
5,3.277942180633545,1.810508818159565,5.156012888155481
6,2.822805166244507,1.6801205808645125,4.506809036003521
7,2.4774506092071533,1.5739919342891033,3.9400500508966196
8,2.4805586338043213,1.5749789312255327,3.945494970592484
9,2.8192944526672363,1.6790754755719697,4.501404368117775
10,3.2871553897857666,1.8130514029629072,5.168202344532125
11,3.688199996948242,1.920468691998972,5.668144631451493
12,3.9352242946624756,1.9837399765751749,5.949694907378178
13,4.077097415924072,2.019182363216377,6.103510883697034
14,4.264457702636719,2.0650563436954252,6.298638111830863
15,4.66391658782959,2.159610286100154,6.687507746477697
16,5.374229907989502,2.318238535610497,7.303162414859525
17,6.365060329437256,2.5229071186702963,8.038025243474948
18,7.540241241455078,2.7459499706759187,8.773852408507732
19,8.815738677978516,2.9691309634265908,9.452587080510405
20,10.200760841369629,3.1938629966499232,10.08632565574203
21,11.81471061706543,3.4372533536336,10.724230887317594
22,13.857559204101562,3.722574271133024,11.416867427189235
23,16.50819206237793,4.063027450359883,12.176995129765011
24,19.883277893066406,4.459066930767737,12.98487982351129
25,23.92008399963379,4.890816291748627,13.787627004214478
26,28.57098388671875,5.345183241640902,14.559251962530746
27,33.826202392578125,5.816029779203174,15.29253243057707
28,39.75441360473633,6.305110118367191,15.993853518044354
29,46.58606719970703,6.825398684304605,16.682560488135756
30,54.68173599243164,7.394710000563351,17.378422937517822
31,64.38341522216797,8.023927668054341,18.087740101377708
32,76.10832977294922,8.724008813209052,18.814321912837805
33,90.28956604003906,9.50208219497385,19.55637565672833
34,107.39185333251953,10.363004068923235,20.309713373511876
35,128.1828155517578,11.321784998477838,21.078298066860462
36,153.71665954589844,12.398252277877654,21.86720938135881
37,185.1931610107422,13.608569396183501,22.676249446021906
38,224.0620574951172,14.968702598926775,23.503683196514093
39,271.4750061035156,16.476498599627156,24.337298515639464
40,328.3902893066406,18.12154213378764,25.16390306294861
41,395.7693786621094,19.89395331908943,25.974421890807573
42,474.7518615722656,21.788801288099023,26.7646667634529
43,567.756591796875,23.827643437756805,27.541621851892447
44,677.9398803710938,26.037278666771105,28.311911823910265
45,810.0750732421875,28.461817813382677,29.0852526873544
46,969.9287109375,31.143678506841482,29.867398151072535
47,1164.6422119140625,34.1268547029178,30.66192526858319
48,1402.8074951171875,37.454071809580164,31.469980776253045
49,1694.9395751953125,41.1696438555802,32.29154220163285
50,2054.20458984375,45.32333383417144,33.12643695257072
51,2497.233154296875,49.97232388329439,33.97459092170113
52,3045.030517578125,55.18179516451168,34.83591649530262
53,3719.639892578125,60.988850559574615,35.70500896807611
54,4546.9326171875,67.43094702870114,36.57718518269221
55,5554.92822265625,74.5313908541646,37.44678451628693
56,6773.33837890625,82.30029391749613,38.30802772405555
57,8238.068359375,90.763805337673,39.15825391404833
58,9997.2255859375,99.98612696738233,39.99879492010488
59,12114.1572265625,110.06433221785566,40.832932059613746
60,14676.771484375,121.1477258737241,41.66630532369873
61,17797.12890625,133.4058803286047,42.503499460873016
62,21621.244140625,147.0416408389984,43.34880680730245
63,26328.111328125,162.25939519215828,44.20419705699571
