t,mse_t,rmse_t,mse_db_t
0,0.8814402222633362,0.9388504791836324,-0.5480713545935401
1,0.9944453835487366,0.9972188243052458,-0.024190639973151525
2,1.2491199970245361,1.1176403701658848,0.9660416098610212
3,1.408353567123413,1.1867407328997404,1.4871169811179186
4,1.4576914310455322,1.207348926800174,1.6366560081526857
5,1.4193168878555298,1.1913508668127664,1.5207937028660559
6,1.3188261985778809,1.148401584193387,1.201875658481212
7,1.1882574558258057,1.0900722250501595,0.749105479942287
8,1.0755923986434937,1.037107708313603,0.31647724344448486
9,0.9576095938682556,0.9785752877874321,-0.1881151157494152
10,0.8650439381599426,0.9300773828880813,-0.629618328637621
11,0.7960265874862671,0.8922032209571242,-0.9907242647622749
12,0.7772734761238098,0.8816311451643538,-1.0942615201612274
13,0.7409771680831909,0.860800306739717,-1.3019517384017052
14,0.723884642124176,0.8508141055037675,-1.4033063722909698
15,0.7063370943069458,0.8404386320885933,-1.5098798555147577
16,0.6803932189941406,0.8248595147018313,-1.6724002334885952
17,0.6856890916824341,0.8280634587291207,-1.6387275947411515
18,0.6835995316505432,0.8268007811138928,-1.6519824349614332
19,0.6610689163208008,0.8130614468296974,-1.7975326302920829
20,0.6548727750778198,0.8092420991754073,-1.8384306405163922
21,0.6410252451896667,0.8006405218259108,-1.931248665331762
22,0.64146488904953,0.8009150323533265,-1.9282710999731982
23,0.63706374168396,0.7981627288241164,-1.9581711197129856
24,0.6419852375984192,0.8012398127891669,-1.9247495838482038
25,0.6241218447685242,0.7900138256818827,-2.0473061649554856
26,0.6026726961135864,0.7763199701885727,-2.1991848365372375
27,0.5849514007568359,0.7648211560599223,-2.328802147039604
28,0.6008879542350769,0.7751696293296564,-2.2120650203048253
29,0.5885670185089111,0.7671812162122527,-2.3020407808571957
30,0.5983841419219971,0.7735529341434865,-2.230199244467842
31,0.6079283952713013,0.7796976306692879,-2.161475710066876
32,0.6083158850669861,0.7799460783073315,-2.1587084257560845
33,0.5876978039741516,0.7666145080639628,-2.3084593209262847
34,0.582039475440979,0.7629151167993586,-2.3504755936248194
35,0.5859671831130981,0.7654849333024774,-2.3212670581122983
36,0.6117568016052246,0.7821488359674421,-2.1342119339718484
37,0.5995186567306519,0.7742859011570932,-2.2219729732059883
38,0.6145939826965332,0.7839604471505773,-2.1141169610450956
39,0.6113604307174683,0.7818954090653483,-2.1370267368511904
40,0.5935013890266418,0.7703904133792436,-2.265782602883287
41,0.5785523056983948,0.760626258880401,-2.3765737128561515
42,0.5935690999031067,0.7704343579456375,-2.26528715698821
43,0.595592200756073,0.7717462022945581,-2.250509979426583
44,0.5627959966659546,0.7501973051577528,-2.4964900049114553
45,0.5503750443458557,0.7418726604652955,-2.5934126653962264
46,0.556944727897644,0.7462872958168617,-2.541879027798318
47,0.5472070574760437,0.7397344506483686,-2.618483100395179
48,0.5325450897216797,0.7297568702805611,-2.7364361532904535
49,0.5435881614685059,0.7372843152193771,-2.6473001011630455
50,0.5336800217628479,0.7305340661207032,-2.727190546454511
51,0.5180343985557556,0.7197460653284293,-2.8564140124521975
52,0.5208401083946228,0.7216925303719187,-2.832955793865665
53,0.5075712203979492,0.7124403276050207,-2.945030106449073
54,0.5235472917556763,0.7235656789508995,-2.8104408261764395
55,0.5163658857345581,0.718586032242875,-2.870424575880927
56,0.5147936344146729,0.7174912085974802,-2.8836683192241743
57,0.5173927545547485,0.719300183897341,-2.861796573336695
58,0.5115360617637634,0.7152174926298737,-2.9112374440938633
59,0.519697368144989,0.7209003871166869,-2.8424948252869453
60,0.5348377227783203,0.7313260030781897,-2.7177796899288156
61,0.5409303307533264,0.735479660326053,-2.6685866634958906
62,0.5500431656837463,0.7416489504366243,-2.5960322708275414
63,0.5360831618309021,0.7321770017085364,-2.707678335856769
64,0.5190199017524719,0.7204303587110081,-2.8481598886528965
65,0.506943941116333,0.711999958649109,-2.9504006317141163
66,0.4855476915836334,0.6968125225508174,-3.1376810628249965
67,0.5199735760688782,0.7210919331603136,-2.8401872570954367
68,0.5097889304161072,0.713995049293836,-2.9260959905779864
69,0.5223848223686218,0.7227619403154969,-2.8200944975999676
70,0.5081685781478882,0.7128594378612716,-2.939921924121256
71,0.49612724781036377,0.7043630085476975,-3.0440692041649924
72,0.4722113311290741,0.687176346456333,-3.2586359585155753
73,0.4727686047554016,0.6875817076940032,-3.2535137145463726
74,0.47276097536087036,0.6875761596804171,-3.253583800221426
75,0.47257137298583984,0.6874382684909532,-3.255325902170643
76,0.46823471784591675,0.684276784529416,-3.295363881406516
77,0.46818578243255615,0.6842410265634151,-3.295817788171803
78,0.4648408591747284,0.6817923871492908,-3.3269570476958825
79,0.45892471075057983,0.6774398207594382,-3.382585571371328
80,0.445293128490448,0.667302876129309,-3.5135400660178036
81,0.4483608901500702,0.6695975583513355,-3.483722772831026
82,0.46072450280189514,0.6787668987228938,-3.3655868996421523
83,0.4566933512687683,0.6757909079506532,-3.403753109861771
84,0.4682731330394745,0.684304853876892,-3.2950075895382316
85,0.46707889437675476,0.6834317042519719,-3.306097564818598
86,0.47222596406936646,0.6871869935245911,-3.2585013809156482
87,0.4636220335960388,0.6808979612218257,-3.338359324112286
88,0.4601246118545532,0.6783248571698911,-3.3712453590115157
89,0.44901683926582336,0.6700871878090368,-3.477373715510356
90,0.46278929710388184,0.6802861876474355,-3.346166935026422
91,0.462772011756897,0.6802734830617,-3.3463291486095157
92,0.4714053273200989,0.6865896353136267,-3.266055138510477
93,0.4712632894515991,0.6864861902846984,-3.2673638966865752
94,0.4704495668411255,0.6858932619884274,-3.2748692700096877
95,0.4637823700904846,0.6810156900472152,-3.336857643611255
96,0.4733107388019562,0.6879758271930462,-3.2485364184613315
97,0.4593159556388855,0.6777285265051822,-3.3788846787281273
98,0.4762782156467438,0.6901291296900485,-3.2213928210539606
99,0.48068204522132874,0.6933123720382672,-3.1814209964570472
100,1.0168997049331665,1.0084144509739865,0.0727812131800267
101,1.5457830429077148,1.243295235616913,1.8914853881904992
102,1.859094500541687,1.3634861570773966,2.6930146616817865
103,1.9831230640411377,1.40823402317979,2.973496654789475
104,2.1871330738067627,1.4788958968794128,3.398752080315756
105,2.3100709915161133,1.5198917696718124,3.6362532653715
106,2.45051908493042,1.5654133910665322,3.892580891982477
107,2.4950757026672363,1.5795808629719583,3.9708372701427024
108,2.452254056930542,1.5659674507889818,3.8956546168951345
109,2.560896158218384,1.6002800249388804,4.083919686179525
110,2.600459098815918,1.6125939038753427,4.15050027386666
111,2.624523401260376,1.6200380863610508,4.190504494581094
112,2.5733225345611572,1.6041578895361757,4.104942231327805
113,2.7749993801116943,1.665832938836213,4.432628904446048
114,2.784125804901123,1.6685699880140248,4.446888556295885
115,2.6991748809814453,1.6429165776086883,4.312310236394224
116,2.7257866859436035,1.6509956650287134,4.354918658998082
117,2.81105899810791,1.676621304322449,4.488699606141376
118,2.761883020401001,1.6618913984978083,4.412052800825043
119,2.9854886531829834,1.7278566645364375,4.750154249167664
120,3.124964952468872,1.767757039999805,4.948451509489814
121,3.369163751602173,1.835528194172504,5.275221195263744
122,3.1891021728515625,1.7858057489132357,5.036684334464119
123,3.04546856880188,1.7451270924496818,4.836541216616583
124,2.982409715652466,1.7269654645222254,4.745673054564052
125,2.87783145904541,1.6964172420266808,4.590653557750497
126,2.7466537952423096,1.657303169381604,4.388039217826704
127,2.7399210929870605,1.6552707008181655,4.3773805574967515
128,2.7512519359588623,1.658689825120677,4.395303611592073
129,2.730337381362915,1.6523732572766103,4.3621631510342835
130,2.8125438690185547,1.6770640622881867,4.490993051368768
131,2.9661946296691895,1.7222643901762555,4.721996442709663
132,2.988445520401001,1.7287120987605198,4.7544534301899475
133,3.058683395385742,1.7489092015841594,4.855345254472573
134,3.0567588806152344,1.7483589106974673,4.852611826095547
135,2.9572196006774902,1.719656826427148,4.708835760720323
136,3.0745785236358643,1.7534476107474282,4.877855892480504
137,3.0955841541290283,1.7594272233113333,4.907426148994273
138,3.1325559616088867,1.7699028113455515,4.958988381979829
139,3.0534110069274902,1.7474012152128915,4.847852668032983
140,2.871790647506714,1.6946358451026327,4.581527768144944
141,2.9541075229644775,1.7187517339524279,4.704262986199095
142,2.8745944499969482,1.695462901392109,4.585765827466847
143,2.924015522003174,1.709975298652929,4.659796737244117
144,3.0073630809783936,1.7341750433501208,4.78185863932365
145,3.0643086433410645,1.7505166789668314,4.863325061789666
146,3.0783989429473877,1.7545366747228135,4.883249012308363
147,2.9571735858917236,1.7196434473145077,4.708768183314104
148,3.0947091579437256,1.7591785463515992,4.906198400975441
149,3.032292127609253,1.7413477905373334,4.817710384169044
150,2.9581995010375977,1.719941714430346,4.710274594776827
151,3.018296718597412,1.737324586425177,4.797619315678912
152,3.041513204574585,1.7439934646020279,4.830897062703969
153,3.132018566131592,1.7697509898659731,4.958243278254338
154,3.175893545150757,1.7821036852974512,5.018659365987482
155,3.312743663787842,1.8200944106797983,5.20187831985354
156,3.221646547317505,1.7948945783297428,5.080778914618972
157,3.20698618888855,1.7908060165435422,5.060970896127537
158,3.2110044956207275,1.7919275921813156,5.066409136082054
159,3.2284929752349854,1.7968007611404737,5.089998457767038
160,3.3874969482421875,1.840515402880994,5.298789126316356
161,3.2191262245178223,1.7941923599541445,5.077380060539937
162,3.170712471008301,1.7806494520281921,5.011568607857793
163,3.1395604610443115,1.7718804872350482,4.968688510335071
164,3.0558719635009766,1.7481052495490585,4.851351539907313
165,3.2037248611450195,1.7898952095430112,5.056552114017945
166,3.2386741638183594,1.7996316744874101,5.103672567554977
167,3.1977057456970215,1.7882130034470227,5.048384972777379
168,3.2065117359161377,1.790673542529776,5.060328337852371
169,3.218153476715088,1.7939212571111052,5.076067521623396
170,3.248659372329712,1.8024037761638516,5.117041771889896
171,3.2476367950439453,1.802120083413962,5.11567453226672
172,3.1985809803009033,1.7884577099559562,5.049573504741288
173,3.127131462097168,1.7683697187231995,4.951461390182083
174,2.954735040664673,1.71893427467855,4.705185425653458
175,3.0768067836761475,1.754082889625273,4.881002244184134
176,3.029641628265381,1.7405865759178372,4.813912595017785
177,3.0343706607818604,1.7419445056550626,4.820686305376878
178,3.1424574851989746,1.7726977986106303,4.97269410759464
179,3.283370018005371,1.8120071793470829,5.163198281215939
180,3.298388957977295,1.8161467336031236,5.183018679073098
181,3.436707019805908,1.853835758584322,5.36142509994352
182,3.5307867527008057,1.8790387842460319,5.478714884716243
183,3.341350793838501,1.827936211643749,5.239220727141265
184,3.4093918800354004,1.8464538662082517,5.326769224830884
185,3.247837543487549,1.8021757804075464,5.115942977454219
186,3.2484092712402344,1.8023343949556736,5.116707413338092
187,3.318610191345215,1.8217052976113384,5.209562425592498
188,3.306405782699585,1.8183524913227316,5.1935615182855255
189,3.3145511150360107,1.8205908697552042,5.204247208364006
190,3.3668203353881836,1.8348897338500163,5.2721994162379815
191,3.4428319931030273,1.8554869962096279,5.369158300678608
192,3.1238808631896973,1.7674503849301393,4.9469446264254895
193,3.1699154376983643,1.7804256338579167,5.010476769083446
194,3.257479667663574,1.8048489320892134,5.128817136404713
195,3.4932491779327393,1.8690235894532576,5.432295655235599
196,3.4493913650512695,1.8572537158534022,5.377424718506079
197,3.3354992866516113,1.8263349327687983,5.231608521079838
198,3.2017276287078857,1.7893372037455337,5.053843836793162
199,3.0525553226470947,1.7471563532343335,4.846635435760149
