t,mse_t,rmse_t,mse_db_t
0,1.1111791133880615,1.054124809208123,0.4578406945961466
1,1.9779033660888672,1.4063795241999462,2.962050695667458
2,3.4217722415924072,1.849803298081287,5.342510988604021
3,4.533020496368408,2.1290891236320775,6.5638768275592465
4,5.100937366485596,2.2585254850201704,7.076499909382271
5,5.028841972351074,2.242507964835593,7.014679884516614
6,4.808231830596924,2.1927680749675567,6.8198539916142895
7,4.768041610717773,2.1835845783293517,6.783400368383593
8,5.19414758682251,2.2790672624612265,7.155142855381805
9,5.8385186195373535,2.416302675481148,7.663026695487998
10,6.772004127502441,2.6023074621386386,8.3071721413728
11,7.545340061187744,2.7468782392359046,8.776788177854653
12,8.107306480407715,2.8473332225799837,9.088765909565893
13,8.393477439880371,2.8971498821911803,9.239419274629352
14,8.688406944274902,2.9476103786414685,9.389401540396701
15,9.422805786132812,3.0696589038739814,9.741802399476216
16,10.535228729248047,3.2458017082452906,10.226439689685076
17,11.877656936645508,3.4463976753482046,10.74730777358461
18,13.324869155883789,3.6503245274747544,11.246629531465155
19,14.827089309692383,3.850595968118751,11.710559035025723
20,16.587690353393555,4.0727988353702855,12.197859196828365
21,18.590320587158203,4.311649404480634,12.692868791765935
22,21.036848068237305,4.5865943867141015,13.229806704097067
23,23.91606903076172,4.890405814527228,13.78689798286983
24,27.55596923828125,5.249377985845681,14.402156912618434
25,31.79958152770996,5.639111767619965,15.024214048459985
26,36.36782455444336,6.030574147993154,15.607173232637345
27,41.59614181518555,6.449507098622774,16.190530501921042
28,47.52180099487305,6.893605805010397,16.768928913021316
29,54.07453155517578,7.353538709708121,17.329927658571588
30,62.237613677978516,7.889081928715059,17.9405293252993
31,71.53245544433594,8.457686175564564,18.54503133021824
32,82.77071380615234,9.097841161844514,19.17876700526097
33,95.48892974853516,9.771843723092134,19.799530257429044
34,110.07209777832031,10.49152504540309,20.4167724343452
35,127.01597595214844,11.270136465551268,21.038583495504326
36,146.95960998535156,12.122689882420962,21.67197990729472
37,170.3546142578125,13.051996562128435,22.313539014469907
38,197.45718383789062,14.051945909299915,22.95472938753243
39,229.07040405273438,15.135071987035092,23.599689818699883
40,266.65032958984375,16.32943139211662,24.259421248235533
41,309.5225524902344,17.593253038884946,24.90692298154947
42,358.4922180175781,18.93389072582754,25.544797326434118
43,415.098388671875,20.37396349932617,26.18151047538309
44,480.2049560546875,21.913579261605975,26.814266379702705
45,556.3018798828125,23.586052655813614,27.453105275326894
46,648.034912109375,25.45652985207086,28.115984035990266
47,754.5523681640625,27.469116625113056,28.77689386477995
48,880.0780029296875,29.6661086583611,29.44521166173617
49,1025.09765625,32.017146285232855,30.10765240562757
50,1192.9322509765625,34.5388513268256,30.766157799129957
51,1391.3077392578125,37.30023779090172,31.434232009335833
52,1626.36328125,40.328194619273496,32.11217560581702
53,1903.23095703125,43.626035311855354,32.79491493109972
54,2225.972900390625,47.18021725671285,33.475198728098064
55,2600.901611328125,50.99903539605553,34.151239237201054
56,3037.382080078125,55.11244941098268,34.824994263708255
57,3546.376708984375,59.55146269391185,35.49784866048785
58,4147.19384765625,64.39870998441079,36.17754335581013
59,4850.7734375,69.64749412218647,36.85810990737926
60,5675.05224609375,75.33294263530232,37.539698641181594
61,6644.97265625,81.51670170124648,38.22493198181058
62,7793.81591796875,88.28259125087318,38.917501439823965
63,9127.453125,95.53770525295235,39.60349611262289
64,10704.2548828125,103.46136903604408,40.2955644168693
65,12536.298828125,111.9656144900076,40.981693358742966
66,14703.689453125,121.25877062350995,41.67426321693124
67,17286.080078125,131.47653812800593,42.37696520546925
68,20318.35546875,142.54246900047016,43.078885540178916
69,23877.935546875,154.5248703182598,43.779967755830526
70,28044.83203125,167.46591304277416,44.478528432359006
71,32925.921875,181.45501336419449,45.17537943379323
72,38584.046875,196.42822321397708,45.86407776529975
73,45370.9296875,213.00452973469837,46.56777678406736
74,53258.84375,230.77877664551391,47.263917336679704
75,62493.9375,249.98787470595448,47.9583788873606
76,73420.078125,270.96139600503983,48.65814842293253
77,86352.7421875,293.85837096720593,49.362761334262366
78,101636.546875,318.8048727278176,50.07049901374313
79,119796.96875,346.11698708673634,50.78445829140075
80,140948.359375,375.4308982689091,51.49060025092111
81,165851.75,407.24900245427244,52.197200583778624
82,195562.703125,442.2247201649858,52.91286031578902
83,230331.296875,479.9284289089364,53.623529528866925
84,271422.21875,520.9819754559653,54.336453963287056
85,320674.0625,566.2809042339323,55.060638337398736
86,378147.375,614.9368870054877,55.77661089984086
87,446230.625,668.0049588139298,56.49559372788016
88,526919.0625,725.8919082756055,57.21743910451339
89,622058.875,788.7070907504256,57.938314906033355
90,732655.125,855.9527586263158,58.64899591891522
91,863706.8125,929.358279943747,59.36366345115274
92,1018099.3125,1009.0090745379845,60.077901441765974
93,1200465.25,1095.657451031115,60.793495930047285
94,1416335.5,1190.0989454663004,61.511661407407566
95,1671927.25,1293.0302587333367,62.23217376206503
96,1977080.625,1406.0869905521492,62.9602438012735
97,2337529.25,1528.8980508850157,63.68757053997654
98,2757904.5,1660.693981442698,64.40579223463794
99,3247494.25,1802.0805337165152,65.11548390785718
100,3839509.25,1959.4665728202663,65.84275718212034
101,4526882.0,2127.6470571972222,66.55799174102769
102,5337313.5,2310.2626474061344,67.27322712888169
103,6285218.0,2507.033705397676,67.9832034559479
104,7412917.0,2722.6672584067264,68.69989137496111
105,8729745.0,2954.614188011694,69.41001557942646
106,10282233.0,3206.592116250522,70.12087440949782
107,12155081.0,3486.4137734927563,70.84757857275267
108,14334434.0,3786.084256854303,71.56380549355775
109,16894858.0,4110.335509420125,72.27754545914075
110,19978142.0,4469.691488234954,73.00555095668311
111,23504054.0,4848.097977557797,73.71142776228477
112,27737748.0,5266.663839661688,74.43071198234206
113,32821616.0,5729.015273151224,75.16159960099314
114,38714532.0,6222.100288487803,75.87874013669393
115,45711076.0,6760.996672089109,76.60021444333796
116,53852152.0,7338.402550964344,77.31203062936709
117,63304236.0,7956.3959177506995,78.01432771784705
118,74669256.0,8641.137425131023,78.73141824065576
119,88019552.0,9381.873586869522,79.4457915376995
120,103802920.0,10188.371803188182,80.16209570487877
121,122578600.0,11071.52202725533,80.88414656861525
122,144700944.0,12029.170544971086,81.60471364378566
123,170558208.0,13059.793566515513,82.31872624378609
124,200123536.0,14146.502606651582,83.01298167865784
125,235168912.0,15335.218029098902,83.71379909924445
126,277255584.0,16650.993483873568,84.4288030171377
127,327808704.0,18105.488228711205,85.15620480805515
128,389225600.0,19728.80128137541,85.9020139678929
129,460944992.0,21469.629526379817,86.63649100885809
130,545310272.0,23351.87941044575,87.36643678561387
131,641596224.0,25329.749781630297,88.07261799321012
132,756268608.0,27500.338325191566,88.78676073613975
133,891892608.0,29864.571116960644,89.50312564509741
134,1049666112.0,32398.551078713383,90.21051176426184
135,1239190144.0,35202.1326626669,90.93137950568261
136,1461948800.0,38235.439058548815,91.64932163136999
137,1723922048.0,41520.14026951258,92.3651762408217
138,2037128192.0,45134.55651715213,93.09018359057355
139,2404849920.0,49039.269162580305,93.81087978443898
140,2846401024.0,53351.67311340854,94.54296086978422
141,3357518080.0,57944.09443593022,95.26018359992456
142,3957793792.0,62910.998974742084,95.97453162955404
143,4682670080.0,68430.03784888622,96.7049356041226
144,5519636992.0,74294.25948214304,97.41910516577875
145,6511833600.0,80695.93298301967,98.13703294288223
146,7673542144.0,87598.75652085479,98.84995882656617
147,9060981760.0,95189.18930214712,99.57175256159253
148,10646506496.0,103181.90973227817,100.27207123417183
149,12540416000.0,111983.99885697957,100.98311943472994
150,14754515968.0,121468.16853809891,101.68924966741793
151,17400367104.0,131910.45107951076,102.40558410900972
152,20558309376.0,143381.6912161382,103.12987397343511
153,24307511296.0,155908.66331285122,103.85740496245953
154,28704512000.0,169424.05968456782,104.57950167907741
155,33925400576.0,184188.4919749331,105.30524984317606
156,40154435584.0,200385.717015959,106.0373352578546
157,47446151168.0,217821.3744516364,106.76200988221801
158,56024535040.0,236695.0253807629,107.48378260916154
159,66382745600.0,257648.49233015123,108.22055210926912
160,78394155008.0,279989.56231974077,108.94283683317065
161,92745465856.0,304541.4025317412,109.67292687000264
162,109397041152.0,330752.23529403395,110.39005575848081
163,128862412800.0,358974.11160138,111.10126258749547
164,151502356480.0,389233.0362135259,111.80419387942624
165,178104074240.0,422023.78397431585,112.50673854329676
166,210099437568.0,458366.05193665903,113.22424889809851
167,248398086144.0,498395.51176149247,113.95148245368061
168,293477744640.0,541735.862427438,114.67575172886836
169,347203796992.0,589240.0164550944,115.40584465938949
170,409333235712.0,639791.5564556944,116.12077008511191
171,482664841216.0,694740.844643526,116.83645664631831
172,569211420672.0,754461.0133545669,117.55273605194873
173,671320637440.0,819341.5877642243,118.26929998277647
174,793482821632.0,890776.527324334,118.99537529009976
175,936670396416.0,967817.3362861403,119.71586794516017
176,1103997698048.0,1050712.947501838,120.42968167844182
