t,mse_t,rmse_t,mse_db_t
0,0.9836446046829224,0.9917885887037229,-0.0716178582144699
1,1.4045146703720093,1.1851222174830784,1.4752627983402735
2,2.270848274230957,1.506933400728432,3.5618811798656145
3,2.960782766342163,1.7206925252183096,4.714065442215177
4,3.1909372806549072,1.7863194788880592,5.039182680189022
5,2.9844717979431152,1.7275623861218776,4.748674793390845
6,2.607930898666382,1.6149089443886246,4.16296079879873
7,2.383697509765625,1.5439227667748232,3.772511427734608
8,2.498185634613037,1.5805649732336338,3.9762470669330825
9,2.8975977897644043,1.7022331772599206,4.620381016980723
10,3.3983192443847656,1.8434530762633383,5.312641748750351
11,3.822230815887451,1.9550526376257626,5.823169095739127
12,4.1071457862854,2.0266094311152805,6.135401187425203
13,4.303142070770264,2.0744016175201616,6.337856848074019
14,4.549795150756836,2.1330248828264606,6.579918434925698
15,4.992481231689453,2.2343860972735783,6.983164408959648
16,5.719534397125244,2.391554807468406,7.573606761724792
17,6.747982025146484,2.597687822881434,8.29173917072083
18,8.005081176757812,2.8293252157993103,9.033657403076887
19,9.414344787597656,3.0682804284481002,9.7379009970768
20,10.965568542480469,3.3114299845354527,10.400311538850298
21,12.768047332763672,3.5732404526932795,11.061244839941208
22,15.009696960449219,3.8742350161611543,11.76371924106478
23,17.88231658935547,4.228748820792679,12.524237793818207
24,21.49481773376465,4.636250395930385,13.323337668498223
25,25.841047286987305,5.083409022200289,14.123101107836785
26,30.865800857543945,5.555699853082773,14.89477549843543
27,36.515777587890625,6.042828608184302,15.624805531914756
28,42.91496658325195,6.550951578454229,16.32608778687463
29,50.31411361694336,7.093244223692242,17.016898261332486
30,59.10411834716797,7.6879202875139105,17.716177433708427
31,69.73243713378906,8.350595016751145,18.43434843969582
32,82.69945526123047,9.093924084861852,19.175026488775664
33,98.41943359375,9.920656913418084,19.930808613298773
34,117.35441589355469,10.83302431888504,20.694994361768003
35,140.23974609375,11.842286354152648,21.468711167895094
36,168.0951690673828,12.965152103518987,22.255552323120114
37,202.53390502929688,14.23144072219313,23.064977363633766
38,245.2908477783203,15.661763878258423,23.896813442376768
39,298.0763854980469,17.264888806420007,24.74327571288847
40,361.9512939453125,19.0250175806834,25.58650133533343
41,438.1243591308594,20.93142038015718,26.415974000442347
42,527.5317993164062,22.968060416944358,27.22248643782806
43,632.4637451171875,25.14883188375133,28.010356353864726
44,756.4948120117188,27.504450767316165,28.78805954008368
45,904.385986328125,30.073010928873167,29.563538242311296
46,1083.81005859375,32.92127061025668,30.34953177283025
47,1303.0802001953125,36.098202174004626,31.149711458970817
48,1571.808349609375,39.64603825868828,31.96399591460912
49,1900.7330322265625,43.59739708086438,32.789211222453275
50,2305.177490234375,48.01226395655984,33.62704370099528
51,2804.69677734375,52.95938800008692,34.4788591548712
52,3424.38037109375,58.51820546713433,35.345819989642706
53,4193.923828125,64.7605113331033,36.22620538355028
54,5146.6318359375,71.74002952283683,37.11523102126299
55,6313.97021484375,79.46049468033628,38.003025288454744
56,7730.193359375,87.92151818169998,38.88190357289518
57,9428.2939453125,97.0994023942089,39.744331140344215
58,11455.0595703125,107.02831200347177,40.5899735201435
59,13887.353515625,117.84461598064208,41.426194910170594
60,16829.712890625,129.7293832970195,42.260767071177824
61,20390.291015625,142.7945762822419,43.09423424188055
62,24749.509765625,157.31976915068557,43.935666009183755
63,30100.4921875,173.49493418396978,44.78573597008052
64,36663.42578125,191.47695887821595,45.642330424151226
65,44805.0859375,211.6721189422452,46.51327314650463
66,54782.6171875,234.0568674222143,47.38642776419918
67,67174.46875,259.18037879052497,48.27204240496262
68,82515.9140625,287.2558338180445,49.16537714889543
69,101514.15625,318.61286265623363,50.065266092696106
70,124566.6953125,352.9400732596116,50.954019430020054
71,152860.234375,390.9734445905502,51.84294521137292
72,187302.765625,432.78489532907685,52.72544190011698
73,229221.296875,478.7706098696953,53.602549653268305
74,279915.6875,529.070588390623,54.47027238601099
75,341537.34375,584.4119640715785,55.33438196444716
76,416832.0625,645.6253267182135,56.19961117276298
77,509231.09375,713.604297737899,57.06914913897102
78,622678.8125,789.1000015840831,57.94264088507842
79,763520.875,873.7968156270656,58.82820915358878
80,937650.8125,968.3237126601827,59.7204113428666
81,1153188.375,1073.8660880202895,60.619002557255364
82,1417308.25,1190.5075598248002,61.514643151135
83,1746667.875,1321.615630582508,62.4221033270623
84,2153762.25,1467.57018571515,63.33197760609201
85,2653668.25,1629.0083640055382,64.23846628324969
86,3257365.0,1804.817165255251,65.12866425621773
87,4000789.75,2000.1974277555703,66.02145728881108
88,4912405.5,2216.3947076276822,66.91294208935994
89,6023525.0,2454.2870655243246,67.79850717174642
90,7372851.5,2715.2995230729152,68.67635486665876
91,9030173.0,3005.024625523059,69.55696070604277
92,11067218.0,3326.7428514990456,70.44038464682582
93,13583741.0,3685.612703472789,71.33019392323968
94,16683267.0,4084.515515945557,72.2228110032697
95,20513360.0,4529.1676939587915,73.12036801760122
96,25207250.0,5020.68222455873,74.0152546864472
97,31011618.0,5568.807592294781,74.91524425706542
98,38201008.0,6180.696400892055,75.82074822677731
99,47055256.0,6859.683374617228,76.72608140500954
100,57795392.0,7602.3280644813,77.61893213701688
101,70895280.0,8419.93349142379,78.50617322091526
102,86796040.0,9316.439233956287,79.38499911289624
103,106012968.0,10296.259903479515,80.25358993438027
104,129291360.0,11370.635866124638,81.11569503769054
105,157576656.0,12552.954074639165,81.97491879896545
106,192193776.0,13863.396986308948,82.83739319375073
107,234247952.0,15305.160959624045,83.6967580259509
108,286120832.0,16915.10662100597,84.5654947924281
109,350101440.0,18710.99783549771,85.4419389706257
110,428488608.0,20699.966376784287,86.31939280055005
111,525405248.0,22921.720005270112,87.20494406413619
112,643890304.0,25374.99367487606,88.08811885332842
113,790414784.0,28114.31635306112,88.97855054744518
114,971230400.0,31164.56962642032,89.87322267579643
115,1193523584.0,34547.41066997641,90.76831005077055
116,1464193280.0,38264.7785829214,91.65598409302265
117,1796548736.0,42385.71381963503,92.54439003054044
118,2197342720.0,46875.822339453414,93.41897799203998
119,2688603648.0,51851.74681724812,94.29526783564407
120,3279734784.0,57268.968770181295,95.15838725875618
121,4005852672.0,63291.80572554396,96.02694972687458
122,4887407104.0,69909.9928765552,96.8907851575357
123,5977997824.0,77317.51304846788,97.7655575261946
124,7327211520.0,85599.13270588669,98.64938728817958
125,8983427072.0,94780.94255703517,99.53442046525538
126,11032213504.0,105034.34440220018,100.42662658054653
127,13568798720.0,116485.18669770847,101.32541400174944
128,16693132288.0,129201.90512527282,102.22537835047127
129,20552370176.0,143360.97856808873,103.12861913560077
130,25316747264.0,159112.37307010413,104.03407906083017
131,31161186304.0,176525.31349356103,104.9361398287325
132,38254313472.0,195587.09945188102,105.8268041233847
133,46887464960.0,216535.13562468332,106.71056752601395
134,57390870528.0,239563.917416626,107.58842812351757
135,70134865920.0,264829.881093505,108.45933971066128
136,85737414656.0,292809.51940809574,109.33170383565081
137,104771043328.0,323683.5543057447,110.202412687112
138,128186023936.0,358030.75836581417,111.0784067683372
139,157126819840.0,396392.2550202009,111.96250320714017
140,192941457408.0,439251.0186761096,112.85425554699607
141,236917407744.0,486741.6231883195,113.74596972117499
142,291345661952.0,539764.4504337054,114.64408555962004
143,358508232704.0,598755.5700818156,115.54499133161045
144,441329221632.0,664326.1410120785,116.44762684241606
145,543108497408.0,736958.9523223122,117.34886597763233
146,667823570944.0,817204.7301282586,118.24661743484833
147,819332841472.0,905170.0621827922,119.13460363115483
148,1004806406144.0,1002400.3222984318,120.02082395246744
149,1230970290176.0,1109491.0050000406,120.90247571234869
150,1507434037248.0,1227776.0533778137,121.78238317239405
151,1845984231424.0,1358670.0230092662,122.66227986920234
152,2261134606336.0,1503706.9549403568,123.54326416856142
153,2771644055552.0,1664825.5330670539,124.4273745586929
154,3398889373696.0,1843607.7060199114,125.31337029491786
155,4174782922752.0,2043228.5537237385,126.20633898286222
156,5131333533696.0,2265244.696207454,127.10230244461653
157,6309191614464.0,2511810.425661937,127.99973717426695
158,7756478152704.0,2785045.4489476467,128.8966457357326
159,9547661967360.0,3089929.120119101,129.79897034516847
160,11751109165056.0,3427989.084734081,130.70078860780438
161,14449798807552.0,3801289.098128686,131.5986180021518
162,17756302868480.0,4213822.83306738,132.49352544158455
163,21806131970048.0,4669703.627645764,133.3857863609477
164,26766821294080.0,5173666.136704223,134.2759679941226
165,32823415144448.0,5729172.291391488,135.1618376566365
166,40252026650624.0,6344448.490658901,136.04787751561642
167,49376344932352.0,7026830.361717294,136.93518938279965
168,60614034587648.0,7785501.563011082,137.82573192454757
169,74443284021248.0,8628052.1568456,138.71825523524384
170,91310677557248.0,9555662.067970382,139.60521565410016
171,112251663024128.0,10594888.532878863,140.5019278385667
172,138013598285824.0,11747918.891694138,141.399218789342
173,169771886706688.0,13029654.128436718,142.29865775077508
174,208905766436864.0,14453572.791419566,143.199504279992
175,256941267877888.0,16029387.632654218,144.09833862819448
