t,mse_t,rmse_t,mse_db_t
0,0.9972940683364868,0.998646117669561,-0.01176764030398042
1,1.4147863388061523,1.1894479134481477,1.5069085761023684
2,2.2946910858154297,1.514823780449538,3.6072422854181587
3,2.9907803535461426,1.7293872769123007,4.757845191009881
4,3.218822479248047,1.7941077111611907,5.0769702564214665
5,2.9943065643310547,1.7304064737312603,4.762962624003324
6,2.597982406616211,1.6118257990912699,4.146362057303237
7,2.3522896766662598,1.5337176000379795,3.714908026214232
8,2.440716028213501,1.5622791134152376,3.8751725317628516
9,2.812299966812134,1.6769913436902808,4.490616417330453
10,3.279425859451294,1.8109185126480136,5.157978169135661
11,3.6612789630889893,1.91344688013255,5.636328202540046
12,3.8906049728393555,1.9724616530719565,5.900171375564456
13,4.019057750701904,2.0047587761877748,6.041242467073288
14,4.19230842590332,2.0475127413286884,6.224532259653024
15,4.568276405334473,2.1373526628365456,6.597523731887294
16,5.199522972106934,2.2802462525146123,7.159635013108053
17,6.1034626960754395,2.4705187099221573,7.855762945404732
18,7.19748067855835,2.6828120840935448,8.57180507699928
19,8.401386260986328,2.898514492112525,9.243509522314291
20,9.703437805175781,3.1150341579468726,9.869256265659821
21,11.214694023132324,3.3488347261595823,10.497874289775705
22,13.107458114624023,3.6204223668826296,11.175184785836077
23,15.565454483032227,3.945307907252896,11.921618058146423
24,18.640201568603516,4.3174299726345895,12.704506043515952
25,22.357574462890625,4.728379686836774,13.494246858637204
26,26.620853424072266,5.159540039971806,14.252219741823907
27,31.387672424316406,5.602470207356431,14.96759111470831
28,36.708946228027344,6.0587908222703435,15.647719177668174
29,42.796573638916016,6.541909020990434,16.314090001048076
30,50.03207778930664,7.073335690415565,16.99248539135514
31,58.78981399536133,7.6674515971971635,17.693020861302966
32,69.39643096923828,8.33045202670529,18.413371354372313
33,82.12225341796875,9.06213293976472,19.14460857814509
34,97.29222869873047,9.863682309296587,19.88078152004767
35,115.50062561035156,10.747121736090625,20.62584336595156
36,137.7447052001953,11.73646902608256,21.390749139010794
37,165.1341552734375,12.850453504582532,22.178369091964658
38,198.88356018066406,14.10260827580005,22.985988855985454
39,239.937744140625,15.489923955288644,23.800985713635264
40,288.92388916015625,16.99776129848152,24.607834521990082
41,346.29168701171875,18.608914181427103,25.394420661140806
42,412.89300537109375,20.31976883163521,26.158375257556244
43,491.0820617675781,22.160371426661108,26.91154070524112
44,583.4124755859375,24.153932921699056,27.659757117589763
45,694.4205932617188,26.351861286476876,28.416225914992474
46,828.3302001953125,28.780726192980477,29.182034956449073
47,990.8826293945312,31.4782882221148,29.960222151057717
48,1188.1895751953125,34.47012583666199,30.748857376930737
49,1426.9510498046875,37.775005622828004,31.544090753120262
50,1719.2261962890625,41.46355262503519,32.35333019989849
51,2079.039306640625,45.59648348985506,33.17862700248138
52,2525.335693359375,50.25271826836211,34.02319117141107
53,3074.164306640625,55.44514682675685,34.87727075772831
54,3742.80322265625,61.178453908678094,35.73196994744392
55,4553.47216796875,67.4794203292289,36.58342686396757
56,5524.99072265625,74.33028133039892,37.423315531078124
57,6681.5947265625,81.74102229947029,38.248801298840704
58,8071.27294921875,89.84026351930825,39.06942034254212
59,9733.205078125,98.65700724289684,39.88255874033937
60,11744.8427734375,108.37362582029587,40.69847207313238
61,14188.267578125,119.11451455689604,41.51929370285342
62,17169.330078125,131.0317903339682,42.34753349962918
63,20824.064453125,144.30545538241097,43.18565499299854
64,25303.22265625,159.0698672164216,44.03175837092665
65,30812.46484375,175.53479667504675,44.88726441102471
66,37615.484375,193.94711747020114,45.753666586059644
67,46029.0546875,214.54382929252475,46.63032055749544
