t,mse_t,rmse_t,mse_db_t
0,0.48970815539360046,0.6997915085177874,-3.1006266336396267
1,0.1930515617132187,0.43937633267305,-7.143266807496456
2,0.11831971257925034,0.34397632560868246,-9.269428939925465
3,0.06831227988004684,0.2613661796790986,-11.65501220113871
4,0.039375342428684235,0.19843221116714957,-14.047756563327214
5,0.023837286978960037,0.1543932867030171,-16.2274317498529
6,0.014718817546963692,0.12132113396669061,-18.321270781409012
7,0.009303179569542408,0.09645299150126142,-20.313685962300756
8,0.005952922627329826,0.07715518535607199,-22.2526976212187
9,0.004131843335926533,0.06427941611376485,-23.838561536656027
10,0.003008906962350011,0.054853504558505746,-25.215912407619733
11,0.0022795384284108877,0.047744512024010546,-26.421530820730638
12,0.0018303116085007787,0.04278214123323865,-27.37474965825925
13,0.0015572129050269723,0.03946153703325521,-28.07652005828022
14,0.0013755828840658069,0.037088851209842115,-28.615132366025815
15,0.0013272875221446157,0.03643195742949609,-28.770349883977936
16,0.0012441547587513924,0.03527257799979174,-29.051255949736188
17,0.0012455512769520283,0.03529236853700851,-29.046383886903683
18,0.0011923147831112146,0.03452991142634476,-29.236090713404224
19,0.0011912540066987276,0.03451454775451545,-29.2399562563234
20,0.0012321998365223408,0.03510270411980167,-29.093188531610558
21,0.0012108455412089825,0.034797205939686916,-29.16911253123613
22,0.001197418081574142,0.03460372930153832,-29.217541880906314
23,0.0011907628504559398,0.03450743181484157,-29.241747229786725
24,0.0011666161008179188,0.03415576233694571,-29.33072034036534
25,0.0011651853565126657,0.03413481150545094,-29.336049820135663
26,0.0011464296840131283,0.03385896755681024,-29.406525774639896
27,0.0011765219969674945,0.03430046642492627,-29.293999485795066
28,0.001129074371419847,0.033601701912549714,-29.472774504280288
29,0.001185897970572114,0.0344368693491745,-29.2595267414513
30,0.00112104881554842,0.033482067074008734,-29.503754758423824
31,0.0011623830068856478,0.03409373852902682,-29.346507477032713
32,0.0011521696578711271,0.033943624701424084,-29.384835660064276
33,0.0011776498286053538,0.034316902957658546,-29.289838267918018
34,0.0011485141003504395,0.033889734439066344,-29.398636685866755
35,0.0011803825618699193,0.03435669602668335,-29.279772150816083
36,0.0011254303390160203,0.033547434164418896,-29.48681381442872
37,0.0011313825380057096,0.03363603035445339,-29.46390528535584
38,0.0011170196812599897,0.033421844372505685,-29.519391747919027
39,0.0011042250553146005,0.03322988196359717,-29.56942402766048
40,0.001084082992747426,0.032925415604779025,-29.649374688008145
41,0.0011402054224163294,0.03376692793868476,-29.430168979750277
42,0.0011701529147103429,0.034207497931160395,-29.317573812662236
43,0.0011587258195504546,0.034040061979239325,-29.360193156697804
44,0.0012131379917263985,0.03483013051549475,-29.16089796300124
45,0.0011559192789718509,0.033998812905333194,-29.370724928368762
46,0.0011345900129526854,0.033683675763679435,-29.451610435622815
47,0.0011699297465384007,0.03420423579819319,-29.318402165502157
48,0.0011916063958778977,0.03451965231397758,-29.23867174400412
49,0.0011682509211823344,0.034179685797010105,-29.324638678561875
50,0.0011432128958404064,0.03381143143731727,-29.418728851961454
51,0.0011202484602108598,0.033470112939917904,-29.506856443552326
52,0.0011407198617234826,0.03377454458202927,-29.428209966382216
53,0.0011006812565028667,0.03317651664208988,-29.583384290605814
54,0.0011368412524461746,0.033717076570280745,-29.443001755937097
55,0.0011234913254156709,0.033518522124575706,-29.494302764612748
56,0.0011166103649884462,0.03341572032724188,-29.520983451078404
57,0.0010853387648239732,0.03294448003572029,-29.64434685105222
58,0.0011519723339006305,0.033940717934372436,-29.38557950928928
59,0.0011976453242823482,0.03460701264602809,-29.21671776698698
60,0.0011289085960015655,0.03359923505083956,-29.473412200406102
