t,mse_t,rmse_t,mse_db_t
0,1.0018929243087769,1.0009460146824987,0.008213094886229034
1,1.452926516532898,1.2053740152056116,1.6224364989933573
2,2.405574321746826,1.550991399636641,3.8121877924976966
3,3.2061891555786133,1.7905834679172634,5.059891408505296
4,3.4668242931365967,1.8619410015187368,5.399318311415642
5,3.179452657699585,1.7831019762480174,5.0235236268874575
6,2.662902355194092,1.6318401745250948,4.253552417758254
7,2.314063787460327,1.5212047158289799,3.6437532616293007
8,2.3441591262817383,1.5310647034928793,3.6998708913805274
9,2.71669602394104,1.6482402810091252,4.3404104713689415
10,3.207341432571411,1.7909051992139091,5.06145194536749
11,3.616128444671631,1.9016120647155221,5.582438481919889
12,3.868429660797119,1.9668323926550324,5.875347045397747
13,4.03863525390625,2.009635602268792,6.062346319843467
14,4.2603864669799805,2.0640703638635918,6.294489964886495
15,4.663976192474365,2.1596240859173537,6.687563248763007
16,5.321204662322998,2.306773647830016,7.260099629292709
17,6.2217326164245605,2.4943401164285035,7.9391134304613855
18,7.31057596206665,2.7038076784539706,8.639515940978843
19,8.520794868469238,2.9190400594149506,9.304801101291517
20,9.885486602783203,3.1441193684055957,9.949980518694499
21,11.503250122070312,3.3916441620651057,10.608205630195437
22,13.522390365600586,3.6772802946743925,11.3105346903385
23,16.114892959594727,4.014335930087905,12.072274251315216
24,19.3829345703125,4.402605429778201,12.874195297432088
25,23.336864471435547,4.830824409087495,13.68042504055932
26,27.938859939575195,5.285722272270385,14.462086805164148
27,33.16757583618164,5.759129781154583,15.20713730806719
28,39.06022644042969,6.249818112587732,15.917347566564962
29,45.821014404296875,6.769122129515531,16.610646995480966
30,53.77787399291992,7.3333398934537275,17.306036292113095
31,63.327537536621094,7.957860110395325,18.015926010061705
32,74.89803314208984,8.65436497624695,18.744704130699237
33,88.9055404663086,9.428973457715776,19.489288264254235
34,105.86495208740234,10.289069544298082,20.247522052978972
35,126.51671600341797,11.247964971647892,21.02147910400623
36,151.84556579589844,12.32256328025539,21.814021141437102
37,183.1326446533203,13.5326510578423,22.627657671805423
38,221.8802490234375,14.895645304028875,23.46118644629928
39,269.2831115722656,16.40984800576366,24.302091169430142
40,326.52008056640625,18.06986664495359,25.139098949863357
41,394.445068359375,19.860641187015464,25.959865305631986
42,474.5914611816406,21.785120178269402,26.76319920153854
43,568.8369140625,23.850302179689464,27.549877717116207
44,680.4108276367188,26.08468569173719,28.32771216089067
45,813.857177734375,28.52818216666416,29.105481980537846
46,975.2034912109375,31.228248289184226,29.89095247379533
47,1171.8309326171875,34.23201619269872,30.68864957818663
48,1412.6959228515625,37.585847374398284,31.50048691757116
49,1708.9884033203125,41.33991295733836,32.32739115739412
50,2073.814697265625,45.539155649458685,33.16769948026831
51,2524.07568359375,50.24017997174921,34.021023729470365
52,3081.048828125,55.50719618324276,34.886985810229504
53,3769.98388671875,61.40019451694555,35.76339493992507
54,4616.515625,67.94494554416833,36.643143098067014
55,5650.57568359375,75.17031118462761,37.520926962215206
56,6902.97509765625,83.08414468270254,38.39036306682528
57,8407.490234375,91.69236737250816,39.24666371537133
58,10208.7998046875,101.03860551634459,40.0897468735235
59,12375.3857421875,111.24471107512258,40.92558744825205
60,14997.865234375,122.46577168488753,41.76029446861686
61,18193.20703125,134.88219686544997,42.59909261636848
62,22108.03125,148.68769703643943,43.44550069791272
63,26939.314453125,164.13200313505286,44.30386539678981
64,32920.3359375,181.43962063865763,45.174642583463715
65,40275.26953125,200.68699392648742,46.0503845549828
66,49388.63671875,222.23554332903186,46.93627038437404
67,60673.703125,246.3203262522198,47.83000502240469
68,74645.1171875,273.21258607081046,48.73001404185882
69,91886.2421875,303.1274355572257,49.63250490827534
70,113073.4453125,336.26395184809803,50.533606251878524
71,138873.09375,372.65680424487084,51.42618110620117
72,170071.65625,412.39744937378066,52.30631941126362
73,207764.515625,455.81193010385323,53.175713758285426
74,253494.265625,503.4821403237656,54.03968139465853
75,308981.09375,555.860678362843,54.89931906184539
76,376988.84375,613.994172407198,55.76328498297295
77,460742.03125,678.7798105792482,56.63457832628864
78,564074.125,751.0486835085992,57.51336178386175
