t,mse_t,rmse_t,mse_db_t
0,0.42282363772392273,0.6502489044388485,-3.7384074169074912
1,0.1719638556241989,0.4146852488625547,-7.645628260722328
2,0.10826253890991211,0.329032732277371,-9.655217923046692
3,0.06660023331642151,0.2580702100522676,-11.76524249390406
4,0.04218730330467224,0.20539548024402154,-13.748182346875868
5,0.027207138016819954,0.1649458638972798,-15.653171402810354
6,0.018427275121212006,0.13574709986298789,-17.345388800447918
7,0.0128901032730937,0.11353459064573096,-18.89743603146593
8,0.008927097544074059,0.09448331886673995,-20.492897197773136
9,0.006557357031852007,0.08097750941991243,-21.83271169430651
10,0.004919703118503094,0.07014059536746957,-23.080611041200573
11,0.003914837725460529,0.06256866408563098,-24.07286235240178
12,0.003098364220932126,0.055662951960277186,-25.08867531107651
13,0.002770128892734647,0.052632013952865674,-25.575000229568168
14,0.0024857225362211466,0.04985702093207281,-26.045473502370832
15,0.0022738149855285883,0.04768453612575662,-26.43244875634601
16,0.0021035331301391125,0.045864290359048536,-26.770506435598467
17,0.0020905258134007454,0.04572226824426742,-26.79744465497786
18,0.0020336403977125883,0.04509590222750387,-26.917258395627858
19,0.0020272997207939625,0.045025545202628726,-26.930820394350867
20,0.0019615008495748043,0.04428883436685599,-27.074114994306626
21,0.0019128330750390887,0.043735947172081326,-27.183229273864384
22,0.0018486572662368417,0.0429960145389877,-27.33143597861437
23,0.0018570112297311425,0.043093053149331886,-27.31185469983686
24,0.0018960455199703574,0.04354360481138829,-27.22151240397407
25,0.001908129546791315,0.0436821421955393,-27.193921434963254
26,0.0018821862759068608,0.0433841707988854,-27.253373975957174
27,0.0018825154984369874,0.04338796490315013,-27.252614396383088
28,0.0018655939493328333,0.04319252191447998,-27.291828754629023
29,0.0018069809302687645,0.04250859830985685,-27.43046430683533
30,0.0018664180533960462,0.04320206075404327,-27.28991073371846
31,0.0017806428950279951,0.04219766456840941,-27.494231688406053
32,0.0017725673969835043,0.0421018692813455,-27.51397242981811
33,0.0018905067117884755,0.043479957587243295,-27.23421776440814
34,0.001893627573736012,0.04351583130006839,-27.227054311276596
35,0.0018910131184384227,0.043485780646533446,-27.233054583333548
36,0.001794113777577877,0.04235698026981948,-27.461500187014096
37,0.0017320784972980618,0.04161824716753532,-27.61432429771972
38,0.0018424901645630598,0.042924237495418134,-27.34594821779571
39,0.0019028541864827275,0.04362171691351371,-27.205944899222153
40,0.0019927567336708307,0.044640303915529415,-27.005457146827077
41,0.001978778513148427,0.044483463367283205,-27.036028141314542
42,0.001967543037608266,0.0443569953627189,-27.06075759202005
43,0.001992223784327507,0.044634334142311424,-27.006618793461353
44,0.0018815567018464208,0.04337691438825981,-27.254826894206722
45,0.0018841787241399288,0.04340712757301419,-27.248779045015496
46,0.0018555597634986043,0.04307620878743398,-27.31525053419923
47,0.0018644577357918024,0.04317936701471899,-27.294474569368607
48,0.001911669154651463,0.043722638925978184,-27.185872672596915
49,0.001817456097342074,0.0426316325906254,-27.40536071204751
50,0.0018019186099991202,0.04244901188483803,-27.442648293539275
51,0.001771814189851284,0.04209292327519299,-27.515818245220114
52,0.0017901628743857145,0.04231031640611678,-27.47107453808375
53,0.001860403805039823,0.04313239855421703,-27.30392780907399
54,0.0019033931894227862,0.043627894625145346,-27.204714889813708
55,0.001910291495732963,0.0437068815603786,-27.189003577108465
56,0.0019090850837528706,0.043693078213292214,-27.191747156184142
57,0.001950184116140008,0.04416088898720233,-27.099243851251792
58,0.0019503175280988216,0.04416239948303106,-27.098946760862713
59,0.0019319116836413741,0.043953517306825104,-27.140127310177803
60,0.0018760641105473042,0.043313555736597106,-27.26752324602378
61,0.0018971017561852932,0.0435557316111817,-27.219093739270633
62,0.0018301672535017133,0.04278045410583802,-27.375092195844775
63,0.0019323404412716627,0.04395839443464311,-27.139163568332535
64,0.00201333686709404,0.04487022249882476,-26.960835538345762
65,0.001966574927791953,0.04434608131269271,-27.062895020349785
66,0.0019134727772325277,0.04374325979202428,-27.181777120555232
67,0.0019029186805710196,0.04362245615014152,-27.20579770480125
68,0.0018868379993364215,0.04343774855280164,-27.242653860112704
69,0.0019103193189948797,0.04370719985305487,-27.18894032288182
70,0.0019420782336965203,0.044069016708981834,-27.1173327917655
71,0.0018131082179024816,0.04258060847266607,-27.415762736566816
72,0.0018576366128399968,0.0431003087325369,-27.310392378522288
73,0.001860711257904768,0.04313596246642432,-27.30321014740142
74,0.0018761551473289728,0.04331460662789139,-27.26731250795535
75,0.0019558242056518793,0.04422470130653094,-27.086701832633167
76,0.0018810756737366319,0.04337136928593138,-27.255937328785528
77,0.0019589709118008614,0.04426026334988147,-27.079720126720144
78,0.001860129414126277,0.04312921763869914,-27.30456839714475
79,0.0018626432865858078,0.043158351295963654,-27.29870308550154
80,0.0018942138412967324,0.04352256703477786,-27.225709942594413
81,0.0019344291649758816,0.043982145979657265,-27.1344716866868
82,0.0018576428992673755,0.043100381660344675,-27.310377681589188
83,0.0018445411697030067,0.04294812184139147,-27.34111646983505
84,0.0018640724010765553,0.04317490476048042,-27.29537223539232
85,0.0018617097521200776,0.04314753471659855,-27.300880262967855
86,0.0018299653893336654,0.04277809473706917,-27.375571241294328
87,0.00181461067404598,0.04259824731190216,-27.412165388099826
88,0.001924178097397089,0.04386545448752457,-27.15754733162462
89,0.0018524741753935814,0.04304037842995321,-27.32247837633244
90,0.0018676139879971743,0.043215899712920176,-27.28712881963744
91,0.0019315517274662852,0.043949422379210915,-27.140936568422987
92,0.001966802403330803,0.044348646014628255,-27.06239269696159
93,0.0019334704848006368,0.043971246113803014,-27.13662453219079
94,0.0019239253597334027,0.04386257356486738,-27.158117807829786
95,0.0018661721842363477,0.04319921508819747,-27.290482881276503
96,0.0018388113239780068,0.04288136336426358,-27.3546283039159
97,0.0019634931813925505,0.04431132114248627,-27.069706025620025
98,0.0018724935362115502,0.04327231835956505,-27.27579672796721
99,0.0018670810386538506,0.0432097331472187,-27.28836831554733
100,0.00424172542989254,0.06512853007624646,-23.724574471211707
101,0.0059851473197340965,0.07736373387921563,-22.229251553059957
102,0.007183586247265339,0.08475603959167358,-21.43658689662613
103,0.007478106766939163,0.08647604735959642,-21.262083385985523
104,0.007975803688168526,0.08930735517396383,-20.982255440387235
105,0.008152966387569904,0.0902937782328877,-20.88684348148557
106,0.007917016744613647,0.08897761934674162,-21.014384365197273
107,0.007984902709722519,0.08935828282662173,-20.977303710581296
108,0.008120844140648842,0.09011572637807921,-20.903988246293626
109,0.008115842938423157,0.09008797332842579,-20.90666366226686
110,0.008034286089241505,0.08963417924676671,-20.950527077342002
111,0.007902497425675392,0.08889599218004933,-21.022356369645173
112,0.007674336899071932,0.0876032927410376,-21.14959139435811
113,0.0078584561124444,0.08864793349223885,-21.046627679180745
114,0.008171719498932362,0.09039756356745662,-20.876865493030024
115,0.008052523247897625,0.08973585263370279,-20.940680126841073
116,0.007946004159748554,0.0891403621248453,-20.998512119265946
117,0.008050762116909027,0.08972603923560332,-20.941630056567803
118,0.008435243740677834,0.09184358301306539,-20.7390236373259
119,0.00830012746155262,0.09110503532490737,-20.809152382957432
120,0.007994577288627625,0.08941240008314073,-20.972044945281006
121,0.008388834074139595,0.09159057852279127,-20.76298395590114
122,0.008648637682199478,0.092998052034435,-20.630522964309673
123,0.008020047098398209,0.08955471566812218,-20.958230812776335
124,0.008128151297569275,0.09015626044579086,-20.900082210188277
125,0.008440038189291954,0.09186968046799746,-20.736555882841508
126,0.008798760361969471,0.09380170767085998,-20.55578510336101
127,0.008305832743644714,0.09113634150899802,-20.806168186202566
128,0.008387884125113487,0.09158539253130647,-20.763475777502563
129,0.008227967657148838,0.09070814548401283,-20.84707424117493
130,0.008305003866553307,0.09113179393907105,-20.806601610184416
131,0.008317935280501842,0.09120271531320678,-20.79984463080278
132,0.00858423300087452,0.09265113599343787,-20.662985028756605
133,0.008875658735632896,0.09421071454793715,-20.51799404511317
134,0.008615115657448769,0.09281764733847098,-20.647388877975402
135,0.00833082478493452,0.09127335199791076,-20.79311999575968
136,0.008157028816640377,0.0903162710514577,-20.884680034417897
137,0.008507859893143177,0.09223806097887778,-20.70179670642347
138,0.008019582368433475,0.08955212095999444,-20.95848247651923
139,0.008105752058327198,0.09003195020839656,-20.912066847476922
140,0.007823537103831768,0.08845076090024194,-21.065968534145654
141,0.00798640213906765,0.08936667241800855,-20.976488255740662
142,0.008334905840456486,0.09129570548747891,-20.790993020388733
143,0.008228459395468235,0.09071085599567581,-20.84681469608895
144,0.008094758726656437,0.08997087710285166,-20.917960913507955
145,0.008394410833716393,0.0916210174234951,-20.760097796504027
146,0.00837439764291048,0.09151173500109415,-20.770464212783573
147,0.008135030046105385,0.09019440141220177,-20.896408386910224
148,0.008256235159933567,0.09086382756594379,-20.832179456578707
149,0.008246738463640213,0.09081155468133013,-20.837177783966055
150,0.008233396336436272,0.09073806442963324,-20.84420978165026
151,0.008604970760643482,0.09276298162868356,-20.652506010496996
152,0.008921658620238304,0.0944545320259346,-20.495543986894717
