t,mse_t,rmse_t,mse_db_t
0,0.4614919424057007,0.6793319824693231,-3.3583587730175433
1,0.18215349316596985,0.4267944390054419,-7.395624958568245
2,0.10934847593307495,0.3306788108317117,-9.611872656530311
3,0.06160794198513031,0.2482094719891453,-12.103632985825012
4,0.035451341420412064,0.18828526607361518,-14.503673271815929
5,0.021198663860559464,0.14559760939163618,-16.736915115369555
6,0.01293419674038887,0.11372861003454175,-18.8826053734163
7,0.008103903383016586,0.09002168284928129,-20.913057453961574
8,0.005165030248463154,0.07186814487979465,-22.869271307363903
9,0.0034612517338246107,0.058832403773979955,-24.607668136977168
10,0.002565717324614525,0.050652910327191714,-25.90791193293341
11,0.001938211964443326,0.044025128783949354,-27.1259872988881
12,0.0016075164312496781,0.040093845303857775,-27.93844579234474
13,0.001405563554726541,0.037490846279145805,-28.521495123169423
14,0.0012584186624735594,0.03547419713641958,-29.001748497067766
15,0.001167662558145821,0.03417107780193392,-29.3268264550166
16,0.0011140144197270274,0.03337685455112611,-29.531091876476147
17,0.0010717791737988591,0.03273803863701763,-29.69894686172897
18,0.001048390637151897,0.032378860961310804,-29.79476866255982
19,0.0010493920417502522,0.03239432113427062,-29.790622336740398
20,0.0010929733980447054,0.033060148185461984,-29.613904082451615
21,0.001054722466506064,0.032476490982032896,-29.768618030407097
22,0.0011099069379270077,0.03331526583905654,-29.547134338611958
23,0.0010608285665512085,0.03257036331622981,-29.743547938709444
24,0.0010775855043902993,0.03282659751467245,-29.67548259346733
25,0.0010578286601230502,0.032524278010788346,-29.75584670664855
26,0.0010775222908705473,0.0328256346605903,-29.67573736757077
27,0.0011092642089352012,0.033305618278830995,-29.54964999552918
28,0.0011561447754502296,0.03400212898408318,-29.369877790276966
29,0.0011199751170352101,0.03346602929890563,-29.507916261283427
30,0.0010636091465130448,0.03261302111907213,-29.73217936606488
31,0.0010687996400520205,0.032692501281670394,-29.711037011292404
32,0.0010628723539412022,0.03260172317441522,-29.735188891057174
33,0.001084335264749825,0.032929246343483556,-29.64836417872382
34,0.0010641441913321614,0.032621223020177545,-29.729995212354222
35,0.0010700053535401821,0.03271093629873933,-29.706140494109178
