t,mse_t,rmse_t,mse_db_t
0,0.9840898513793945,0.9920130298435573,-0.06965246917462348
1,1.4749287366867065,1.2144664411529478,1.6877103725561051
2,2.430448293685913,1.5589895104476852,3.856863861570114
3,3.1544504165649414,1.7760772552355208,4.989237053094523
4,3.3236277103424072,1.8230819263934375,5.216123711894061
5,2.986772060394287,1.7282280116912487,4.752020800898122
6,2.493779420852661,1.5791704850498762,3.9685803673552194
7,2.228010654449463,1.492652221533691,3.4791726332285187
8,2.353868246078491,1.534232135655648,3.7178215026508434
9,2.793785572052002,1.671462106077192,4.4619307019325305
10,3.327758550643921,1.8242145023664078,5.221518080252261
11,3.7463746070861816,1.9355553743270126,5.7361120113753925
12,3.9831340312957764,1.9957790537270843,6.0022492053757
13,4.113801956176758,2.0282509598609235,6.142433803558181
14,4.31033182144165,2.076133864046741,6.3451070465586294
15,4.719396591186523,2.1724172230919465,6.738864745090338
16,5.409027099609375,2.3257315192449397,7.331191572936692
17,6.374163627624512,2.5247106027472754,8.044232078139455
18,7.509730339050293,2.740388720428234,8.756243425481014
19,8.733073234558105,2.95517736093083,9.411671021178357
20,10.063688278198242,3.172331678465895,10.027571760786333
21,11.640730857849121,3.411851529279831,10.6598024814605
22,13.675265312194824,3.698008289903475,11.359357607827603
23,16.337186813354492,4.041928600724472,12.131772751694324
24,19.729745864868164,4.441817855886052,12.951214912229851
25,23.832130432128906,4.881816304627706,13.771628670867639
26,28.5098876953125,5.339465113221782,14.549955065622788
27,33.74826431274414,5.809325633216315,15.282514417957458
28,39.649539947509766,6.296788065951542,15.982381525762703
29,46.479225158691406,6.817567393043607,16.672588794487634
30,54.60520553588867,7.389533512738722,17.37234046143381
31,64.42454528808594,8.02649022226315,18.090513619598916
32,76.34004211425781,8.737278873554272,18.827523951989424
33,90.7640380859375,9.52701622156368,19.579138093749535
34,108.17823791503906,10.400876785879115,20.341399030627127
35,129.43087768554688,11.376769211228066,21.120378961838405
36,155.62416076660156,12.474941313152602,21.920770224291015
37,188.0015869140625,13.711367069481529,22.741615151419346
38,227.88699340820312,15.095926384564914,23.577195386413607
39,276.40472412109375,16.625424028309585,24.415454614307784
40,334.44171142578125,18.287747576609352,25.243204371651608
41,402.8584899902344,20.071335032584017,26.051525205605756
42,483.09423828125,21.979404866402774,26.84031857818581
43,577.8491821289062,24.03849375749043,27.618145029255995
44,690.6239013671875,26.279724149373934,28.392416044974436
45,826.2193603515625,28.74403173445859,29.170953673475868
46,990.5263061523438,31.47262788761599,29.958660139130266
47,1191.04150390625,34.51146916470306,30.75926895490673
48,1437.0428466796875,37.90834798141021,31.574697171941736
49,1740.5137939453125,41.7194654081918,32.4067746951091
50,2115.44091796875,45.993922619936974,33.25400900450361
51,2578.962158203125,50.7834831239757,34.114449696663826
52,3151.589599609375,56.13902029434941,34.9852965861784
53,3854.886474609375,62.08773207815997,35.86011592717278
54,4713.193359375,68.65270103480998,36.733152571131306
55,5755.39599609375,75.86432624161208,37.60075210329284
56,7008.73583984375,83.71819300393284,38.456396916770615
57,8512.8203125,92.26494628243167,39.30073466457881
58,10320.3603515625,101.5891743817347,40.136948616286844
59,12498.6328125,111.79728445941788,40.968625094512
60,15141.7060546875,123.05163978869807,41.80174810989271
61,18368.51953125,135.53051144022885,42.64074154383177
62,22337.294921875,149.45666569904134,43.49030578285636
63,27236.400390625,165.03454302243819,44.35149709929896
64,33297.73046875,182.47665732567,45.224146335517325
65,40811.87109375,202.01948196584902,46.107865062425866
66,50137.0625,223.91306906922605,47.00158885318004
67,61688.37890625,248.37145348499695,47.90203357675966
68,75961.2578125,275.6106997424084,48.80592147435508
69,93515.7734375,305.80348826901894,49.708848701143154
70,114944.265625,339.0343133445345,50.60487309928571
71,141000.453125,375.5002704726057,51.49220508324677
72,172583.515625,415.4317219772703,52.369993115704425
73,210889.5625,459.2271360666745,53.240550858522084
74,257482.859375,507.4276888138841,54.10748323370902
75,314292.59375,560.6180462222029,54.97334147064655
76,384032.71875,619.7037346587481,55.843682268864114
77,469774.375,685.4008863431678,56.71889323425799
78,575753.0625,758.783936638092,57.60236256707156
79,706788.0,840.7068454580348,58.492891673513874
80,869399.5625,932.4159814696443,59.39219417308828
81,1071247.625,1035.0109298939794,60.298898720836114
82,1321722.0,1149.6616893677897,61.21140118869624
83,1631302.875,1277.2246767894833,62.12534601585696
84,2012434.0,1418.6028337769526,63.03721646105335
85,2480034.0,1574.8123697761584,63.94457634822655
