t,mse_t,rmse_t,mse_db_t
0,1.0103888511657715,1.0051810041807254,0.044885454808668436
1,1.49906325340271,1.22436238647008,1.758199584147807
2,2.4626247882843018,1.5692752429973214,3.913982466783399
3,3.192911148071289,1.7868718891043334,5.041868332155332
4,3.357103109359741,1.8322399158843095,5.259646802823533
5,3.010298728942871,1.735021247403867,4.786095952264102
6,2.5075910091400146,1.5835374984950672,3.9925670402547957
7,2.222938060760498,1.4909520652121913,3.469273618241862
8,2.351785659790039,1.5335532790842445,3.7139773789209367
9,2.7997889518737793,1.6732569891901778,4.4712529545254025
10,3.3310704231262207,1.8251220296534203,5.225838143338719
11,3.7415950298309326,1.9343203017677637,5.730567800032825
12,3.9683735370635986,1.9920776935309523,5.986125448960184
13,4.112198829650879,2.0278557220993014,6.140741051439812
14,4.333871841430664,2.081795340909059,6.368760644867033
15,4.761462211608887,2.1820774989923906,6.777403419886525
16,5.471899032592773,2.339209061326664,7.381380751900634
17,6.432304859161377,2.5361988997634586,8.083666196200554
18,7.556816577911377,2.7489664563088754,8.783388809755232
19,8.810989379882812,2.9683310765281576,9.450246777762192
20,10.261176109313965,3.2033070582312217,10.111971413325268
21,12.02894401550293,3.468276807797055,10.802275036183671
22,14.28676700592041,3.779783989320079,11.54933962146987
23,17.179533004760742,4.144820020792308,12.350113541278184
24,20.7664737701416,4.557024662007175,13.173627578647642
25,25.038192749023438,5.003817817329428,13.986029783941408
26,29.933822631835938,5.471181100259425,14.76162180986715
27,35.449485778808594,5.95394707558008,15.496099397998854
28,41.765113830566406,6.462593429155699,16.208136694104866
29,49.11289978027344,7.008059630188191,16.911955770025568
30,57.83723831176758,7.605079770243543,17.622075475196255
31,68.37113189697266,8.26868380680823,18.34872769786541
32,81.13245391845703,9.007355545245066,19.09194611773834
33,96.62214660644531,9.829656484661369,19.850766817633986
34,115.4548110961914,10.744990046351434,20.624120350357245
35,138.47463989257812,11.767524798893696,21.413702444244652
36,166.89169311523438,12.918656784481673,22.224347205977764
37,202.1285400390625,14.217191707192475,23.05627639128273
38,245.57142639160156,15.67071875797666,23.901778328177592
39,298.4415283203125,17.275460292574333,24.748592553471106
40,361.7114562988281,19.018713318698197,25.583622641627024
41,436.68499755859375,20.897009296992568,26.401682718630916
42,525.3287963867188,22.92005227713756,27.204312077116892
43,630.2024536132812,25.10383344458135,27.994800897117265
44,755.16943359375,27.480346315025763,28.78044403045548
45,905.5283203125,30.091997612529813,29.569020373812887
46,1088.6739501953125,32.99505948161501,30.368978312404344
47,1312.617919921875,36.230069278458124,31.18138328970167
48,1588.3668212890625,39.854319982770534,32.00950806696069
49,1927.0416259765625,43.89808225852882,32.848910959407014
50,2342.814453125,48.402628576607285,33.69737894582946
