t,mse_t,rmse_t,mse_db_t
0,1.1169863939285278,1.0568757703384668,0.4804788298333531
1,3.223115921020508,1.7953038520040299,5.082759254174574
2,18.24445915222168,4.27135331624787,12.611309934508892
3,111.49275207519531,10.559012836207527,20.472466356706395
4,646.7467041015625,25.431215151886914,28.107342241776777
5,3539.058837890625,59.489989392255104,35.48887782970606
6,19819.123046875,140.78040718393663,42.97084433987351
7,114760.140625,338.7626612025003,50.597910717508874
8,668408.75,817.5626887279042,58.25042126517349
9,4057455.5,2014.3126619271397,66.08253765414986
10,25184864.0,5018.452351073985,74.01139609979951
11,162873968.0,12762.208586291012,82.11851676958092
12,1041310912.0,32269.349420154103,90.17580419429734
13,7085707776.0,84176.64626248779,98.50383237485215
14,47308869632.0,217506.02205916046,106.74942571416781
15,334094139392.0,578008.7710337967,115.23868857403954
16,2282859790336.0,1510913.5615037677,123.58479238624139
17,16580774723584.0,4071949.744727211,132.19604818754487
18,115043291103232.0,10725823.562935948,140.60861297304527
19,854700438061056.0,29235260.184596546,149.31813926548878
20,6037995484348416.0,77704539.66370572,157.80892783890243
21,4.590659043957146e+16,214258233.07301742,166.61875038175137
22,3.3052848539303936e+17,574916068.1291134,175.1920889352187
23,2.569385775909044e+18,1602930371.5099556,184.0982931554326
24,1.8880886239936905e+19,4345214176.532258,192.76022375559563
25,1.4884826017798973e+20,12200338527.188076,201.72743762734746
26,1.1075625861661107e+21,33280062893.061226,210.44368276708747
27,8.844713883785092e+21,94046339023.82959,219.46683788551212
28,6.678587396891201e+22,258429630593.92398,228.2468461358175
29,5.406630800173362e+23,735297953225.3141,237.3292671414343
30,4.1561626967319565e+24,2038666892047.8296,246.18692540066542
31,3.401779754365241e+25,5832477821959.755,255.31706192121874
32,2.6577777402844357e+26,16302692232525.387,264.2451865975044
33,2.1988368410430144e+27,46891756642751.336,273.4219300486621
34,1.7451586798266603e+28,132104454119710.14,282.41834921633307
35,1.457045377043017e+29,381712637600986.06,291.63473077296766
36,1.1739796276206203e+30,1083503404526548.0,300.6966056054983
37,9.857457218241176e+30,3139658774172947.5,309.93764900893916
