t,mse_t,rmse_t,mse_db_t
0,1.0728694200515747,1.0357941011859328,0.30546866791644206
1,3.2420098781585693,1.8005582129324698,5.108143337769078
2,20.11884307861328,4.485403335109707,13.036030032715464
3,125.93646240234375,11.222141613896332,21.001514896590763
4,724.2999267578125,26.912820862143242,28.59918441284273
5,3927.17236328125,62.66715537888448,35.940799628388376
6,21712.916015625,147.35303191867143,43.3671815254022
7,118657.328125,344.4667300698284,50.742945648540115
8,643750.0625,802.3403657426193,58.087172842137576
9,3528873.25,1878.5295446172786,65.47636059659443
10,20009998.0,4473.2536257180855,73.01247045228465
11,117428848.0,10836.459200310774,80.69774800388478
12,717272896.0,26781.950937151683,88.55684420212216
13,4452845056.0,66729.641509602,96.48637583409923
14,28001607680.0,167336.8091006877,104.47182966574681
15,178726617088.0,422760.7090163418,112.5218923517846
16,1163989745664.0,1078883.5644609663,120.65949154350676
17,7615301550080.0,2759583.5827312786,128.8168710516948
18,50276291575808.0,7090577.661644219,137.01363236246232
19,334213148573696.0,18281497.43794791,145.24023531855013
20,2240923614314496.0,47338394.716281794,153.504270531227
21,1.548102708232192e+16,124422775.57715034,161.89799770390016
22,1.083680378322944e+17,329193009.9991408,170.34901209878572
23,7.774708567533158e+17,881743078.6534793,178.90684118614072
24,5.693408097821786e+18,2386086355.902021,187.55372314723184
25,4.28993329196339e+19,6549758233.678088,196.3245053900117
26,3.304798405247254e+20,18179104502.827564,205.1914497239685
27,2.6299417416476446e+21,51282957614.08116,214.19946128124286
28,2.099062934482754e+22,144881432022.28345,223.2202545987294
29,1.7184273408886843e+23,414539182814.92816,232.35131173878997
30,1.4264104822854675e+24,1194324278529.6912,241.5424452168581
31,1.2009220079453475e+25,3465432163447.075,250.7951480372363
32,1.0264319960259798e+26,10131298021606.016,260.11330181442617
33,8.920871259487642e+26,29867827606787.277,269.50407271944476
34,7.836348658592632e+27,88523153234578.31,278.9411375059149
35,6.891021203981114e+28,262507546634018.0,288.3828358626033
36,6.0819894393710615e+29,779871107258825.2,297.8404566170965
37,5.428571985192817e+30,2329929609493131.5,307.3468560113316
38,4.875692126719729e+31,6982615646532272.0,316.8803627449185
39,4.3585095023837716e+32,2.0877043618251536e+16,326.39337997167695
40,3.8969222816417923e+33,6.24253336526269e+16,335.90721744517174
41,3.5144337813087196e+34,1.874682314769284e+17,345.45855364786473
42,inf,inf,inf
43,inf,inf,inf
44,inf,inf,inf
45,inf,inf,inf
46,inf,inf,inf
47,inf,inf,inf
48,inf,inf,inf
49,inf,inf,inf
50,inf,inf,inf
51,inf,inf,inf
52,inf,inf,inf
53,inf,inf,inf
54,inf,inf,inf
55,inf,inf,inf
56,inf,inf,inf
57,inf,inf,inf
58,inf,inf,inf
59,inf,inf,inf
60,inf,inf,inf
61,inf,inf,inf
62,inf,inf,inf
63,inf,inf,inf
64,inf,inf,inf
65,inf,inf,inf
66,inf,inf,inf
67,inf,inf,inf
68,inf,inf,inf
69,inf,inf,inf
70,inf,inf,inf
71,inf,inf,inf
72,inf,inf,inf
73,inf,inf,inf
74,inf,inf,inf
75,inf,inf,inf
76,inf,inf,inf
77,inf,inf,inf
78,inf,inf,inf
79,inf,inf,inf
80,inf,inf,inf
81,inf,inf,inf
82,inf,inf,inf
83,nan,nan,nan
84,nan,nan,nan
85,nan,nan,nan
86,nan,nan,nan
87,nan,nan,nan
88,nan,nan,nan
89,nan,nan,nan
90,nan,nan,nan
91,nan,nan,nan
92,nan,nan,nan
93,nan,nan,nan
94,nan,nan,nan
95,nan,nan,nan
96,nan,nan,nan
97,nan,nan,nan
98,nan,nan,nan
99,nan,nan,nan
100,nan,nan,nan
101,nan,nan,nan
102,nan,nan,nan
103,nan,nan,nan
104,nan,nan,nan
105,nan,nan,nan
106,nan,nan,nan
107,nan,nan,nan
108,nan,nan,nan
109,nan,nan,nan
110,nan,nan,nan
111,nan,nan,nan
112,nan,nan,nan
113,nan,nan,nan
114,nan,nan,nan
115,nan,nan,nan
116,nan,nan,nan
117,nan,nan,nan
118,nan,nan,nan
119,nan,nan,nan
120,nan,nan,nan
121,nan,nan,nan
122,nan,nan,nan
123,nan,nan,nan
124,nan,nan,nan
125,nan,nan,nan
126,nan,nan,nan
127,nan,nan,nan
128,nan,nan,nan
129,nan,nan,nan
130,nan,nan,nan
131,nan,nan,nan
132,nan,nan,nan
133,nan,nan,nan
134,nan,nan,nan
135,nan,nan,nan
136,nan,nan,nan
137,nan,nan,nan
138,nan,nan,nan
139,nan,nan,nan
140,nan,nan,nan
141,nan,nan,nan
142,nan,nan,nan
143,nan,nan,nan
144,nan,nan,nan
145,nan,nan,nan
146,nan,nan,nan
147,nan,nan,nan
148,nan,nan,nan
149,nan,nan,nan
150,nan,nan,nan
151,nan,nan,nan
152,nan,nan,nan
153,nan,nan,nan
154,nan,nan,nan
155,nan,nan,nan
156,nan,nan,nan
157,nan,nan,nan
158,nan,nan,nan
159,nan,nan,nan
160,nan,nan,nan
161,nan,nan,nan
162,nan,nan,nan
163,nan,nan,nan
164,nan,nan,nan
165,nan,nan,nan
166,nan,nan,nan
167,nan,nan,nan
168,nan,nan,nan
169,nan,nan,nan
170,nan,nan,nan
171,nan,nan,nan
172,nan,nan,nan
173,nan,nan,nan
174,nan,nan,nan
175,nan,nan,nan
176,nan,nan,nan
177,nan,nan,nan
178,nan,nan,nan
179,nan,nan,nan
180,nan,nan,nan
181,nan,nan,nan
182,nan,nan,nan
183,nan,nan,nan
184,nan,nan,nan
185,nan,nan,nan
186,nan,nan,nan
187,nan,nan,nan
188,nan,nan,nan
189,nan,nan,nan
190,nan,nan,nan
191,nan,nan,nan
192,nan,nan,nan
193,nan,nan,nan
194,nan,nan,nan
195,nan,nan,nan
196,nan,nan,nan
197,nan,nan,nan
198,nan,nan,nan
199,nan,nan,nan
