t,mse_t,rmse_t,mse_db_t
0,1.033798098564148,1.0167586235504216,0.14435729046745002
1,2.660079002380371,1.6309748625838385,4.248945350477407
2,15.266926765441895,3.9072914871355446,11.837516223126299
3,94.11443328857422,9.701259366111918,19.736562314709257
4,550.27734375,23.45799104249978,27.405816322243663
5,3036.962158203125,55.10863959673769,34.82439380464213
6,16796.255859375,129.600369827308,42.252124816760926
7,90964.1796875,301.60268514636937,49.588704074131144
8,495668.84375,704.0375300720835,56.951916213205195
9,2726297.5,1651.150356569625,64.35573245320614
10,15883102.0,3985.3609623219827,72.00935324912282
11,95968656.0,9796.359323748798,79.82129412737802
12,594658304.0,24385.616744302366,87.74267487889628
13,3682279680.0,60681.790349329676,95.66116771367297
14,22874832896.0,151244.28219274935,103.59357930165362
15,144347643904.0,379931.1041544243,111.59409699558323
16,917094793216.0,957650.6634551035,119.624142277561
17,5820511158272.0,2412573.5549972355,127.64961126139386
18,37087529140224.0,6089953.131200929,135.69227900556675
19,241244588474368.0,15532050.362858344,143.82457580162648
20,1554860302401536.0,39431716.95984764,151.91691375599814
21,1.0299244602720256e+16,101485194.00740315,160.1280537257887
22,6.990152904527053e+16,264388973.00241274,168.44486675726523
23,4.8247563223249715e+17,694604658.9481654,176.83475383888717
24,3.419732400790307e+18,1849251848.9352138,185.33992123188565
25,2.50838360636166e+19,5008376589.636267,193.99393953764158
26,1.8537824098517307e+20,13615367824.086615,202.6805875691397
27,1.3988312735851815e+21,37400952843.27902,211.45765333240902
28,1.0619600511330314e+22,103051445944.87898,220.26108179740925
29,8.188650206628044e+22,286158176654.59155,229.13212319815986
30,6.447014555851624e+23,802933033063.8804,238.09358650747618
31,5.155635537222403e+24,2270602461291.3647,247.1228220857125
32,4.18764656188761e+25,6471202795375.532,256.21970020022263
33,3.4302524883104525e+26,18520940819273.875,265.3532608804401
34,2.839895139613517e+27,53290666533770.41,274.5330230443859
35,2.3676207714242705e+28,153870750028206.16,283.74312141434706
36,1.988583992464584e+29,445935420488727.75,292.9854393914575
37,1.67758193185535e+30,1295215013754608.2,302.2468373997888
38,1.4237957008748188e+31,3773321747313392.0,311.53447677258686
39,1.2125144917316388e+32,1.101142357613964e+16,320.8368693790644
40,1.035547442723807e+33,3.217992297572831e+16,330.15170000516935
41,8.875213041250248e+33,9.420834910585286e+16,339.4817878668814
42,7.620261725121024e+34,2.7604821544652346e+17,348.81969887851915
43,inf,inf,inf
44,inf,inf,inf
45,inf,inf,inf
46,inf,inf,inf
47,inf,inf,inf
48,inf,inf,inf
49,inf,inf,inf
50,inf,inf,inf
51,inf,inf,inf
52,inf,inf,inf
53,inf,inf,inf
54,inf,inf,inf
55,inf,inf,inf
56,inf,inf,inf
57,inf,inf,inf
58,inf,inf,inf
59,inf,inf,inf
60,inf,inf,inf
61,inf,inf,inf
62,inf,inf,inf
63,inf,inf,inf
64,inf,inf,inf
65,inf,inf,inf
66,inf,inf,inf
67,inf,inf,inf
68,inf,inf,inf
69,inf,inf,inf
70,inf,inf,inf
71,inf,inf,inf
72,inf,inf,inf
73,inf,inf,inf
74,inf,inf,inf
75,inf,inf,inf
76,inf,inf,inf
77,inf,inf,inf
78,inf,inf,inf
79,inf,inf,inf
80,inf,inf,inf
81,inf,inf,inf
82,inf,inf,inf
83,inf,inf,inf
84,nan,nan,nan
85,nan,nan,nan
86,nan,nan,nan
87,nan,nan,nan
88,nan,nan,nan
89,nan,nan,nan
90,nan,nan,nan
91,nan,nan,nan
92,nan,nan,nan
93,nan,nan,nan
94,nan,nan,nan
95,nan,nan,nan
96,nan,nan,nan
97,nan,nan,nan
98,nan,nan,nan
99,nan,nan,nan
100,nan,nan,nan
101,nan,nan,nan
102,nan,nan,nan
103,nan,nan,nan
104,nan,nan,nan
105,nan,nan,nan
106,nan,nan,nan
107,nan,nan,nan
108,nan,nan,nan
109,nan,nan,nan
110,nan,nan,nan
111,nan,nan,nan
112,nan,nan,nan
113,nan,nan,nan
114,nan,nan,nan
115,nan,nan,nan
