t,mse_t,rmse_t,mse_db_t
0,1.0540610551834106,1.026674756280396,0.228657675760352
1,2.911752939224243,1.7063859291567787,4.641545225353914
2,16.769609451293945,4.095071360952572,12.245229484067412
3,101.33042907714844,10.066301658362342,20.05739881647214
4,574.9915771484375,23.978981987324598,27.596614829074607
5,3113.138427734375,55.795505443847134,34.93198432299785
6,17121.94140625,130.8508364751636,42.33553006498787
7,94925.015625,308.0990354171853,49.77380677298279
8,528010.375,726.6432240102429,57.22642456172035
9,2940856.25,1714.892489341533,64.68473796571828
10,17170192.0,4143.6930388241835,72.34775151542647
11,102738656.0,10136.007892656753,80.11733880099614
12,626517376.0,25030.329122886098,87.96933120336189
13,3873930496.0,62240.90693426631,95.88151824572444
14,24552079360.0,156691.03152382397,103.90088279201642
15,156378431488.0,395447.1285620873,111.94176852741138
16,1025948909568.0,1012891.3611873684,120.11125734221066
17,6751854788608.0,2598433.1410694406,128.2942309339479
18,44784144089088.0,6692095.642553833,136.51124278429054
19,303658382131200.0,17425796.456150863,144.82385273810576
20,2103859396739072.0,45867847.09073527,153.23016712068784
21,1.478064139665408e+16,121575661.2017968,161.69693280404115
22,1.0708690921743974e+17,327241362.32670796,170.2973638397741
23,7.907300049116201e+17,889230006.7539444,178.98028218777657
24,5.986337236914799e+18,2446699253.4667597,187.7716117892678
25,4.613403455589974e+19,6792203954.233099,196.64021436588433
26,3.6238780870027326e+20,19036486248.787437,205.59173578896448
27,2.908395928908242e+21,53929545973.50363,214.63653528058913
28,2.364902764367068e+22,153782403556.68356,223.7381328893558
29,1.954738419096218e+23,442124238093.3461,232.91088648819422
30,1.6259673596748574e+24,1275134251627.9834,242.11111823142812
31,1.372146531111927e+25,3704249628618.3613,251.37400492023278
32,1.1607674582637179e+26,10773891860714.576,260.64745224296496
33,9.933575373041408e+26,31517575054311.22,269.97105591426623
34,8.50168877532224e+27,92204602788159.33,279.2950520253252
35,7.344881707573288e+28,271014422265186.62,288.65984805686264
36,6.3280976464670655e+29,795493409555796.8,298.01273171974236
37,5.496904703757805e+30,2344547867661866.5,307.40118207951565
