t,mse_t,rmse_t,mse_db_t
0,1.0685971975326538,1.033729750724363,0.28814030882166863
1,2.8423306941986084,1.685921319100808,4.536746050167116
2,16.670499801635742,4.082952338888582,12.219486206941445
3,104.3873062133789,10.217010629992458,20.18647690460699
4,602.7488403320312,24.550943776808893,27.801363834826986
5,3247.1708984375,56.98395299062272,35.11505146123764
6,17741.20703125,133.19612243323752,42.48983163927423
7,96419.3359375,310.51463079458915,49.841641360696954
8,525131.5,724.6595752489578,57.2026807021215
9,2920491.5,1708.9445573218577,64.65455946576922
10,16678237.0,4083.8997294252954,72.22150140927745
11,99973504.0,9998.67511223362,79.99884914086819
12,603394752.0,24564.094772655473,87.8060152859775
13,3769067008.0,61392.727647499094,95.76233858581459
14,23822872576.0,154346.59884817677,103.76994127788565
15,157018652672.0,396255.7919728114,111.95951246494253
16,1043019071488.0,1021283.0516012688,120.1829224952555
17,6848016547840.0,2616871.519169407,128.35564801118122
18,45516347932672.0,6746580.46218023,136.58167408564591
19,303171977084928.0,17411834.397470243,144.81689055931568
20,2081938688966656.0,45628266.33750899,153.18467935820277
21,1.4515794385829888e+16,120481510.55589354,161.61840807852303
22,1.0333404410360627e+17,321456130.9161894,170.14243426365053
23,7.439256503430676e+17,862511246.5023675,178.71529533315726
24,5.402907779914531e+18,2324415578.143145,187.3262755480256
25,4.061275775218536e+19,6372813958.698729,196.086624806472
26,3.1349268494274894e+20,17705724637.606586,204.96227411431283
27,2.4997922160162646e+21,49997922116.98667,213.979039113969
28,2.0230529814118458e+22,142234066995.63385,223.06007256588654
29,1.668595191155815e+23,408484417224.91876,232.22350987625185
30,1.3988993252273508e+24,1182750745181.482,241.4578646068805
31,1.1860236103863665e+25,3443869350579.9062,250.74093334693043
32,1.0120379093915439e+26,10060009490013.139,260.0519678081524
33,8.698038280426046e+26,29492436793907.086,269.39421314681493
34,7.506821925417988e+27,86641917830909.0,278.7545611378491
35,6.516542736492682e+28,255275199275070.25,288.1401724777399
36,5.666468034754043e+29,752759459240071.1,297.53312443201753
37,4.949886926584028e+30,2224834134623079.8,306.9459527818175
38,4.33283075740637e+31,6582424141155270.0,316.36771725600266
39,3.803051222744093e+32,1.9501413340432772e+16,325.8013217490022
40,3.337105369866295e+33,5.776768447727756e+16,335.23369919819015
41,2.9334246977947e+34,1.7127243496239258e+17,344.6737494417942
42,inf,inf,inf
43,inf,inf,inf
44,inf,inf,inf
45,inf,inf,inf
46,inf,inf,inf
47,inf,inf,inf
48,inf,inf,inf
49,inf,inf,inf
50,inf,inf,inf
51,inf,inf,inf
52,inf,inf,inf
53,inf,inf,inf
54,inf,inf,inf
55,inf,inf,inf
56,inf,inf,inf
57,inf,inf,inf
58,inf,inf,inf
59,inf,inf,inf
60,inf,inf,inf
61,inf,inf,inf
62,inf,inf,inf
63,inf,inf,inf
64,inf,inf,inf
65,inf,inf,inf
66,inf,inf,inf
67,inf,inf,inf
68,inf,inf,inf
69,inf,inf,inf
70,inf,inf,inf
71,inf,inf,inf
72,inf,inf,inf
73,inf,inf,inf
74,inf,inf,inf
75,inf,inf,inf
76,inf,inf,inf
77,inf,inf,inf
78,inf,inf,inf
79,inf,inf,inf
80,inf,inf,inf
81,inf,inf,inf
82,inf,inf,inf
83,nan,nan,nan
84,nan,nan,nan
85,nan,nan,nan
86,nan,nan,nan
87,nan,nan,nan
88,nan,nan,nan
89,nan,nan,nan
90,nan,nan,nan
91,nan,nan,nan
92,nan,nan,nan
93,nan,nan,nan
94,nan,nan,nan
95,nan,nan,nan
96,nan,nan,nan
97,nan,nan,nan
98,nan,nan,nan
99,nan,nan,nan
100,nan,nan,nan
101,nan,nan,nan
102,nan,nan,nan
103,nan,nan,nan
104,nan,nan,nan
105,nan,nan,nan
106,nan,nan,nan
107,nan,nan,nan
108,nan,nan,nan
109,nan,nan,nan
110,nan,nan,nan
111,nan,nan,nan
112,nan,nan,nan
113,nan,nan,nan
114,nan,nan,nan
115,nan,nan,nan
116,nan,nan,nan
117,nan,nan,nan
118,nan,nan,nan
119,nan,nan,nan
120,nan,nan,nan
121,nan,nan,nan
122,nan,nan,nan
123,nan,nan,nan
124,nan,nan,nan
125,nan,nan,nan
126,nan,nan,nan
127,nan,nan,nan
128,nan,nan,nan
129,nan,nan,nan
130,nan,nan,nan
131,nan,nan,nan
132,nan,nan,nan
133,nan,nan,nan
134,nan,nan,nan
135,nan,nan,nan
136,nan,nan,nan
137,nan,nan,nan
138,nan,nan,nan
139,nan,nan,nan
140,nan,nan,nan
141,nan,nan,nan
142,nan,nan,nan
143,nan,nan,nan
144,nan,nan,nan
145,nan,nan,nan
146,nan,nan,nan
147,nan,nan,nan
148,nan,nan,nan
149,nan,nan,nan
150,nan,nan,nan
151,nan,nan,nan
152,nan,nan,nan
153,nan,nan,nan
154,nan,nan,nan
155,nan,nan,nan
156,nan,nan,nan
157,nan,nan,nan
158,nan,nan,nan
159,nan,nan,nan
160,nan,nan,nan
161,nan,nan,nan
162,nan,nan,nan
163,nan,nan,nan
164,nan,nan,nan
165,nan,nan,nan
166,nan,nan,nan
167,nan,nan,nan
168,nan,nan,nan
169,nan,nan,nan
170,nan,nan,nan
171,nan,nan,nan
172,nan,nan,nan
173,nan,nan,nan
174,nan,nan,nan
175,nan,nan,nan
176,nan,nan,nan
177,nan,nan,nan
178,nan,nan,nan
179,nan,nan,nan
180,nan,nan,nan
181,nan,nan,nan
182,nan,nan,nan
183,nan,nan,nan
184,nan,nan,nan
185,nan,nan,nan
186,nan,nan,nan
187,nan,nan,nan
188,nan,nan,nan
189,nan,nan,nan
190,nan,nan,nan
191,nan,nan,nan
192,nan,nan,nan
193,nan,nan,nan
194,nan,nan,nan
195,nan,nan,nan
