t,mse_t,rmse_t,mse_db_t
0,1.0617185831069946,1.0303972938177752,0.2600941881728396
1,2.850017547607422,1.6881994987581954,4.54847533975392
2,16.18381690979004,4.022911496638975,12.090809565449
3,98.17012786865234,9.90808396556329,19.919793566726312
4,570.7435302734375,23.890239225956645,27.564409971969276
5,3162.507080078125,56.23617234554753,35.00031506463849
6,17722.986328125,133.12770683867802,42.48536902458021
7,98571.34375,313.96073600053876,49.93750677009289
8,549748.625,741.450352350041,57.40164151801524
9,3108208.25,1763.011131558732,64.92510108840584
10,18022246.0,4245.2615938243425,72.55808913425687
11,108389936.0,10411.048746403985,80.34988959853926
12,671976128.0,25922.502348345926,88.27353844985339
13,4151474176.0,64431.93444247969,96.18202340764489
14,26639450112.0,163215.96157239034,104.25525255941625
15,169507799040.0,411713.2485602085,112.29189684852466
16,1085502390272.0,1041874.4599384323,120.35630784106235
17,6880252395520.0,2623023.5217245,128.37604370208044
18,43723949867008.0,6612408.779484825,136.4071938767752
19,276410790838272.0,16625606.480314394,144.41554993514168
20,1756180317732864.0,41906805.148243695,152.44569105519912
21,1.1261261442449408e+16,106119090.84820417,160.51587041208984
22,7.212042940946842e+16,268552470.495932,168.58058303874094
23,4.646542667331666e+17,681655533.780198,176.6712992945578
24,3.0893593932133827e+18,1757657359.4456294,184.89868433847036
25,2.0863004438631023e+19,4567603796.15297,193.1937685045497
26,1.4320799422591743e+20,11966954258.537025,201.55967262045147
27,1.0049193582088495e+21,31700463059.848976,210.02131212313634
28,7.138350650470219e+21,84488760497.89238,218.5359787758209
29,5.178998158447771e+22,227574123275.20392,227.14245756591146
30,3.861856496308561e+23,621438371546.8945,235.86796131685932
31,2.940810492650649e+24,1714879148118.2131,244.68467039247687
32,2.2759795752327656e+25,4770722770432.973,253.57168360357696
33,1.7902323471187754e+26,13379956454035.176,262.52909399987226
34,1.434877626590256e+27,37879778597429.21,271.5681486388339
35,1.1556093575497343e+28,107499272441711.64,280.6281104988708
36,9.491978353453808e+28,308090544377035.5,289.7735673913377
37,7.878259023608625e+29,887595573648755.0,298.9643025556358
38,6.62522055864635e+30,2573950379989161.5,308.2120034084411
39,5.606904138729048e+31,7487926374323567.0,317.48723131026816
40,4.785381402717828e+32,2.187551462873006e+16,326.7991655747224
41,4.09414934127569e+33,6.398554009520971e+16,336.12163680268117
42,3.530383895950888e+34,1.8789315836269526e+17,345.47821933384404
43,inf,inf,inf
44,inf,inf,inf
45,inf,inf,inf
46,inf,inf,inf
47,inf,inf,inf
48,inf,inf,inf
49,inf,inf,inf
50,inf,inf,inf
51,inf,inf,inf
52,inf,inf,inf
53,inf,inf,inf
54,inf,inf,inf
55,inf,inf,inf
56,inf,inf,inf
57,inf,inf,inf
58,inf,inf,inf
59,inf,inf,inf
60,inf,inf,inf
61,inf,inf,inf
62,inf,inf,inf
63,inf,inf,inf
64,inf,inf,inf
65,inf,inf,inf
66,inf,inf,inf
67,inf,inf,inf
68,inf,inf,inf
69,inf,inf,inf
70,inf,inf,inf
71,inf,inf,inf
72,inf,inf,inf
73,inf,inf,inf
74,inf,inf,inf
75,inf,inf,inf
76,inf,inf,inf
77,inf,inf,inf
78,inf,inf,inf
79,inf,inf,inf
80,inf,inf,inf
81,inf,inf,inf
82,inf,inf,inf
83,inf,inf,inf
84,nan,nan,nan
