t,mse_t,rmse_t,mse_db_t
0,1.0887682437896729,1.0434405799036535,0.3693544527018736
1,3.2781145572662354,1.8105564220057422,5.1562412639105935
2,19.959674835205078,4.467625189651105,13.00153461879888
3,124.12940216064453,11.141337539121796,20.938746637203565
4,715.8364868164062,26.755120758770765,28.54813830990529
5,3881.016357421875,62.297803792925755,35.889454731762655
6,21368.513671875,146.17973071488058,43.29774315025459
7,117819.125,343.2479060387696,50.712157930640146
8,646728.0,804.1940064437188,58.107216640741484
9,3624662.25,1903.8545769044442,65.59267544756642
10,20728680.0,4552.876014125577,73.16571647150853
11,124072848.0,11138.799217150832,80.93676751249332
12,767334976.0,27700.811829258724,88.84984994287802
13,4775120896.0,69102.24957264416,96.7898437148019
14,30097889280.0,173487.43262841835,104.78536040238674
15,188308553728.0,433945.3349536091,112.74870047857861
16,1184556777472.0,1088373.4549647928,120.73555881902875
17,7448719523840.0,2729234.237627837,128.72081621536694
18,46857048817664.0,6845220.87427893,136.7077493209354
19,298396476768256.0,17274156.32580231,144.74793691022018
20,1907623414726656.0,43676348.459167875,152.80492644451792
21,1.2317088957857792e+16,110982381.29477035,160.90508078045562
22,8.080405441806336e+16,284260539.6780625,169.07433152448056
23,5.39501390490239e+17,734507583.6846336,177.3199256835435
24,3.613710990941618e+18,1900976325.7183447,185.57953416609467
25,2.374285189117169e+19,4872663736.722625,193.75532883372176
26,1.6223545636095315e+20,12737168302.293613,202.1014577477727
27,1.0887037627264968e+21,32995511251.176224,210.36909723910878
28,7.582044722808807e+21,87074937397.67377,218.79786341790734
29,5.013116172652908e+22,223899892198.56512,227.00107768957258
30,3.2973292021537585e+23,574223754485.4583,235.181623088482
31,2.1737000462720517e+24,1474347328912.7131,243.3719961461851
32,1.4871426113302286e+25,3856348805969.487,251.72352617710925
33,1.055281320251456e+26,10272688646364.477,260.2336825067295
34,7.47788651023792e+26,27345724547427.74,268.73778869704074
35,5.28907938530871e+27,72726057127474.67,277.23380085518284
36,3.955399858837062e+28,198881870939436.34,285.9719039370185
37,3.024623597352037e+29,549965780512936.75,294.8067133609125
38,2.3285100566552804e+30,1525945627031081.5,303.6707811795716
39,1.8260565795153576e+31,4273238326509952.0,312.61514229819653
40,1.4366857998909106e+32,1.1986182878176482e+16,321.57361799245047
41,1.154475413842924e+33,3.3977572218198932e+16,330.62384688447617
42,9.454490989413331e+33,9.723420688941382e+16,339.7563815227787
43,7.913248460450805e+34,2.8130496725885955e+17,348.9835480193486
44,inf,inf,inf
45,inf,inf,inf
46,inf,inf,inf
47,inf,inf,inf
48,inf,inf,inf
49,inf,inf,inf
50,inf,inf,inf
51,inf,inf,inf
52,inf,inf,inf
53,inf,inf,inf
54,inf,inf,inf
55,inf,inf,inf
56,inf,inf,inf
57,inf,inf,inf
58,inf,inf,inf
59,inf,inf,inf
60,inf,inf,inf
61,inf,inf,inf
62,inf,inf,inf
63,inf,inf,inf
64,inf,inf,inf
65,inf,inf,inf
66,inf,inf,inf
67,inf,inf,inf
68,inf,inf,inf
69,inf,inf,inf
70,inf,inf,inf
71,inf,inf,inf
