t,mse_t,rmse_t,mse_db_t
0,0.0018175087170675397,0.04263224973031027,-27.405234975169286
1,0.0010119139915332198,0.03181059558595563,-29.94856399146318
2,0.0008510509505867958,0.02917277756036946,-30.7004443886216
3,0.0007747076451778412,0.02783357047124643,-31.108621581907997
4,0.000776355795096606,0.027863161972335553,-31.09939200862452
5,0.0007707728655077517,0.027762796428093327,-31.13073582765521
6,0.0007503263186663389,0.027392084963842,-31.247498198418544
7,0.0007534835604019463,0.02744965501426104,-31.229262187370143
8,0.0007748309290036559,0.027835785043782327,-31.107930518306684
9,0.0007866082014515996,0.02804653635391721,-31.042415297968482
10,0.0007594916387461126,0.02755887586143732,-31.194770029287962
11,0.0007318122661672533,0.02705202887339974,-31.356003154231928
12,0.0007284771418198943,0.02699031570433911,-31.37584070986966
13,0.0007335025002248585,0.027083251286078237,-31.34598401477128
14,0.0007197412196546793,0.026827993209606254,-31.428236245100145
15,0.0007181543624028563,0.026798402236007584,-31.437821970745567
16,0.0007663403521291912,0.02768285303449034,-31.155783057944223
17,0.0007109114085324109,0.026662921980390875,-31.48184516264213
18,0.0007667907630093396,0.027690987035664503,-31.153231274035672
19,0.0007897932664491236,0.028103260779651952,-31.024865732538874
20,0.0007358919829130173,0.027127329078127416,-31.331859284173454
21,0.0007484532543458045,0.027357873717557154,-31.258353189196356
22,0.000743890879675746,0.02727436304803003,-31.284907658389734
23,0.0007399111054837704,0.027201307054694455,-31.308204542107877
24,0.0007383557967841625,0.027172703155633273,-31.31734311152445
25,0.0007480518543161452,0.02735053663671236,-31.260682961692126
26,0.0007149826851673424,0.026739160143268194,-31.457044754399416
27,0.0007228361791931093,0.0268856128662359,-31.409601183818534
28,0.0007221714477054775,0.02687324780716833,-31.413596861516226
29,0.0006974819116294384,0.02640988284013086,-31.56467050823375
30,0.0007684538722969592,0.027721000564499096,-31.143821966198487
31,0.0007138617802411318,0.026718191934356858,-31.463858693016785
32,0.0007167031290009618,0.026771311678753466,-31.44660699472297
33,0.0007493341690860689,0.02737396882233318,-31.253244634419467
34,0.000738288217689842,0.027171459616477028,-31.31774062409333
35,0.0007765794289298356,0.02786717475686826,-31.098141178082365
36,0.0007344470941461623,0.027100684385198876,-31.340394831248148
37,0.0007199292886070907,0.02683149806863364,-31.427101578407374
38,0.0007592533365823328,0.0275545520120058,-31.19613290873495
39,0.0007693396764807403,0.027736973095143967,-31.138818694960722
40,0.000735781155526638,0.027125286275478052,-31.332513393040188
41,0.0007638264796696603,0.027637410871311018,-31.17005289959718
42,0.0007439892506226897,0.02727616634761362,-31.284333392242484
43,0.0007659919210709631,0.02767655905402554,-31.15775810854084
44,0.0007673667860217392,0.027701385994598524,-31.149970023225443
45,0.0007715541869401932,0.027776864238790402,-31.126335676400775
46,0.0007147516589611769,0.026734839796811516,-31.458448279575933
47,0.0007801537285558879,0.027931232134581672,-31.078198115591835
48,0.0007912195869721472,0.028128625756907274,-31.017029701360684
49,0.0007736891275271773,0.027815267885231258,-31.1143350613856
50,0.0007699294947087765,0.027747603404776718,-31.135490429585268
51,0.0007657301030121744,0.027671828689339893,-31.159242792282594
52,0.0007763588801026344,0.027863217332221964,-31.099374751093354
53,0.0007518226630054414,0.02741938480355534,-31.238845870155828
54,0.000750382780097425,0.027393115560253912,-31.247171407730157
55,0.0007324502803385258,0.027063818657730578,-31.352218504379938
56,0.0007269372581504285,0.026961774017123363,-31.38503071417336
57,0.0007460553315468132,0.027314013464645088,-31.272289616770237
58,0.0007507301052100956,0.027399454469206056,-31.245161680360187
59,0.0007346413331106305,0.027104267802518307,-31.33924640601566
60,0.0007353437249548733,0.027117221925464143,-31.335096092736894
61,0.0007593335467390716,0.027556007452805488,-31.195674129209333
62,0.000713128421921283,0.02670446445673987,-31.46832254286138
63,0.0007125041447579861,0.026692773268395812,-31.4721260494712
64,0.0007657347014173865,0.02767191177742128,-31.159216711865945
65,0.0007028561667539179,0.026511434641563966,-31.531335403801833
66,0.000746421399526298,0.0273207137448182,-31.27015918078595
67,0.0007460049819201231,0.027313091767870643,-31.27258272241548
68,0.0007399790338240564,0.027202555648763158,-31.307805851656628
69,0.0007602144032716751,0.02757198584200411,-31.19063906369126
70,0.0007313148234970868,0.027042833126303293,-31.358956234884545
71,0.0007763447356410325,0.027862963511461454,-31.09945387580925
72,0.000732296088244766,0.027060969831932593,-31.35313285756977
73,0.0007974642794579268,0.02823941004089722,-30.982887610378626
74,0.0007594019989483058,0.027557249480822752,-31.195282640159792
75,0.0007433057180605829,0.02726363361807415,-31.288325262679418
76,0.0007546978304162621,0.02747176423923775,-31.222268985041627
77,0.0007572097820229828,0.02751744504896817,-31.20783784233911
78,0.0007504278910346329,0.027393938947048724,-31.24691032974763
79,0.0007428314420394599,0.027254934269586122,-31.291097220361323
80,0.0007212815107777715,0.026856684657227733,-31.41895200306959
81,0.0007013406720943749,0.026482837312009733,-31.5407097479868
82,0.0007712814840488136,0.02777195499148041,-31.127870945054276
83,0.0007263243896886706,0.026950406113613032,-31.388693721550574
84,0.0007602599216625094,0.02757281127601082,-31.190379034493183
85,0.0007289749337360263,0.026999535805936115,-31.372874049156152
86,0.0007779822335578501,0.02789233288123907,-31.090303206914037
87,0.0007544606924057007,0.027467447868444215,-31.22363382152138
88,0.000803164264652878,0.028340152869257392,-30.95195622919821
89,0.0007708203629590571,0.027763651830388904,-31.130468209964214
90,0.00074573396705091,0.02730813005408664,-31.27416075004007
91,0.0007694456726312637,0.0277388837668581,-31.138220384827676
92,0.0007546836859546602,0.027471506801678355,-31.222350380786263
93,0.0007518990314565599,0.027420777367838423,-31.238404746016126
94,0.0007625853759236634,0.027614948414285755,-31.177115274344352
95,0.0007299912977032363,0.027018351128505907,-31.366823171151488
96,0.0007447546231560409,0.027290192801738153,-31.279867921680705
97,0.0007920609787106514,0.028143577930154002,-31.012413819229995
98,0.000740388291887939,0.027210077028335274,-31.305404575699512
99,0.000755709654185921,0.02749017377511319,-31.216450296376017
100,0.00636360002681613,0.07977217576834751,-21.96297125003701
101,0.008342882618308067,0.09133938153013774,-20.786838667577463
102,0.007855687290430069,0.08863231515891971,-21.04815812739394
103,0.007993185892701149,0.08940461896737298,-20.972800867879663
104,0.008194015361368656,0.09052080071104462,-20.86503226207701
105,0.008516342379152775,0.09228403100836446,-20.697468871130248
106,0.008381083607673645,0.09154825835412515,-20.766998269056227
107,0.008815376088023186,0.09389023425268032,-20.547591547805393
108,0.008651618845760822,0.09301407875026674,-20.629026220148607
109,0.008149097673594952,0.09027235276425973,-20.888904767905032
110,0.008488350547850132,0.09213224488663094,-20.711766934501036
111,0.008334374986588955,0.09129279810910035,-20.79126963328864
112,0.008173330686986446,0.09040647480676617,-20.876009294883794
113,0.008606038056313992,0.09276873426060092,-20.65196737778141
114,0.00810952577739954,0.09005290543563567,-20.910045413844315
115,0.007800396531820297,0.08831985355411487,-21.078833194628267
116,0.008116547018289566,0.09009188097875172,-20.90628691182924
117,0.008017404936254025,0.08953996278899173,-20.95966180873182
118,0.008089739829301834,0.08994298098963495,-20.92065445324127
119,0.007741367444396019,0.08798504102627912,-21.11182318244608
120,0.008149917237460613,0.09027689204586417,-20.888468015050133
121,0.008445912972092628,0.09190164836439349,-20.73353397921136
122,0.00799604319036007,0.08942059712594223,-20.97124868720455
123,0.007855618372559547,0.08863192637283446,-21.048196228175012
124,0.007948243990540504,0.08915292474473568,-20.997288096398577
125,0.00822215061634779,0.0906760752147323,-20.850145719184027
126,0.008001320995390415,0.0894501033839001,-20.96838306302073
127,0.00831531174480915,0.091188331187763,-20.80121464242123
128,0.008405945263803005,0.09168394223528462,-20.754134422755865
129,0.008374887518584728,0.09151441153493109,-20.770210171730294
130,0.008251550607383251,0.09083804603459528,-20.83464432425518
131,0.008075820282101631,0.08986556783385743,-20.92813354334641
132,0.007802324835211039,0.08833076947027597,-21.07775972608826
133,0.00757912453263998,0.08705816752401799,-21.20380956980325
134,0.007915067486464977,0.0889666650294647,-21.01545377848449
135,0.00814626645296812,0.09025666985308133,-20.890413888533583
136,0.008388293907046318,0.09158762966168695,-20.763263612333706
137,0.008373306132853031,0.09150577103578239,-20.771030304472212
138,0.008162032812833786,0.09034396943257356,-20.882016636176356
139,0.008274699561297894,0.09096537561785745,-20.822477656778226
140,0.007997281849384308,0.08942752288520749,-20.97057597808506
