t,mse_t,rmse_t,mse_db_t
0,0.9992617964744568,0.9996308300940187,-0.003207161091159176
1,0.9354945421218872,0.967209668128833,-0.2895874192480695
2,0.8894763588905334,0.9431205431388574,-0.5086559040167566
3,0.8264874815940857,0.9091135691397889,-0.8276372009106238
4,0.80205899477005,0.8955774644161442,-0.9579368637817874
5,0.7674394845962524,0.8760362347507393,-1.1495586020528639
6,0.720771849155426,0.8489828320734325,-1.422021837315518
7,0.6711518168449402,0.8192385591785462,-1.7317922981566514
8,0.6481629014015198,0.8050856484881095,-1.883158301036961
9,0.6056647300720215,0.778244646670969,-2.177677160528709
10,0.5822245478630066,0.7630364000904587,-2.3490948770397972
11,0.5667874217033386,0.7528528552800597,-2.4657979629586513
12,0.5760015249252319,0.7589476430724533,-2.3957636680988363
13,0.5585197806358337,0.747341809773703,-2.5296144122542517
14,0.5457208752632141,0.7387292300046169,-2.6302943298940207
15,0.5325847864151001,0.7297840683483712,-2.7361124358678834
16,0.5011548399925232,0.7079229054017981,-3.0002807100928015
17,0.4996524453163147,0.7068609801908114,-3.0133198279575524
18,0.4996558725833893,0.7068634044731622,-3.0132900384891403
19,0.4828788936138153,0.6948948795420896,-3.1616177697152983
20,0.46815502643585205,0.6842185516601053,-3.296103093683051
21,0.4497218728065491,0.6706130574381541,-3.4705598944299796
22,0.44120025634765625,0.6642290691829561,-3.553642438965338
23,0.4437571167945862,0.6661509714731235,-3.528546688442678
24,0.4406532645225525,0.6638171920962521,-3.5590300811560756
25,0.42978838086128235,0.6555824744921743,-3.6674532964503817
26,0.40604355931282043,0.6372154732214375,-3.9142737392417795
27,0.3914042115211487,0.6256230586552486,-4.0737450563112185
28,0.4072496294975281,0.6381611312964212,-3.9013930212627264
29,0.4038536250591278,0.6354947875939879,-3.937760144636978
30,0.40842404961586,0.6390806284154292,-3.8888869286342365
31,0.416628897190094,0.6454679675941278,-3.802506108766
32,0.41889551281929016,0.6472213785246052,-3.778942917473005
33,0.39904525876045227,0.6317002918793471,-3.989778448765782
34,0.39423251152038574,0.6278793765687688,-4.042475632334398
