t,mse_t,rmse_t,mse_db_t
0,0.0016962956869974732,0.04118611036499409,-27.70498442150957
1,0.0009429247002117336,0.03070707899185029,-30.255229876319845
2,0.0008191072265617549,0.02862004938084061,-30.86659242493639
3,0.000778214365709573,0.02789649378881821,-31.089007564533624
4,0.0007601830875501037,0.02757141794594728,-31.19081796749976
5,0.000775554624851793,0.02784878138899067,-31.10387607990628
6,0.0007673603249713778,0.027701269374730428,-31.150006589967493
7,0.0007819647435098886,0.02796363251635754,-31.068128275594376
8,0.0007435362203978002,0.027267860576103146,-31.286978705371183
9,0.0006949703092686832,0.026362289530097404,-31.580337490735012
10,0.0006951270624995232,0.02636526242045626,-31.579358033254614
11,0.000774193205870688,0.027824327590629895,-31.11150644261983
12,0.0007434369763359427,0.02726604071617188,-31.287558421920004
13,0.0007323239115066826,0.027061483911764384,-31.35296785246097
14,0.0007184459245763719,0.026803841601090915,-31.436059144356406
15,0.0007926131365820765,0.02815338588131233,-31.009387340484746
16,0.0007489226409234107,0.027366451010743257,-31.25563039917609
17,0.0007419524481520057,0.027238804088138776,-31.296239278300742
18,0.0007664174772799015,0.027684246012486983,-31.15534600224299
19,0.0007217008387669921,0.026864490294196762,-31.41642789961109
20,0.0007586952415294945,0.027544423056754964,-31.19932639784573
21,0.0007529109716415405,0.027439223233202876,-31.23256374145482
22,0.0007366752834059298,0.02714176271736841,-31.327239011516177
23,0.0007370207458734512,0.027148126010342798,-31.325202873220128
24,0.0007556264754384756,0.027488660852039985,-31.21692833789644
25,0.0007702179718762636,0.02775280115369012,-31.133863519874634
26,0.0007596481591463089,0.027561715460876324,-31.193875102482078
27,0.0007423285860568285,0.027245707662984796,-31.29403815039799
28,0.0008007302531041205,0.02829717747592718,-30.965137627155435
29,0.0007815520511940122,0.027956252452609097,-31.070420927650026
30,0.00073722266824916,0.027151844656471504,-31.32401319486374
31,0.0007183798588812351,0.026802609180474113,-31.436458524256068
32,0.000781633541919291,0.02795770988330931,-31.069968121885914
33,0.0007370003731921315,0.027147750794350008,-31.32532292228815
34,0.0007427837117575109,0.027254058629083318,-31.291376283186235
35,0.0007634029607288539,0.02762974775000405,-31.172461600461936
36,0.0007328224019147456,0.027070692675192957,-31.350012630311838
37,0.0007371775573119521,0.027151013927880337,-31.324278949450175
38,0.0007787619833834469,0.027906307233015386,-31.085952574727237
39,0.0007386725628748536,0.027178531286198186,-31.315480320380992
40,0.0007683303556405008,0.027718772621465416,-31.144520081151303
41,0.0007951120496727526,0.02819773128591647,-30.995716648962656
42,0.0007279405253939331,0.026980372966175486,-31.379041022094455
43,0.0006952109979465604,0.02636685415339798,-31.578833661483955
44,0.0007582974503748119,0.02753720120808961,-31.201604042402757
45,0.0007305702893063426,0.027029063788935468,-31.363379935704167
46,0.000691960274707526,0.02630513780058044,-31.59918837581587
47,0.000747762038372457,0.027345237946897756,-31.262365864455653
48,0.0007435066509060562,0.0272673183666098,-31.287151422208694
49,0.0008019001106731594,0.028317840854718414,-30.958797265852308
50,0.0007733348174951971,0.027808898171182494,-31.116324363425267
51,0.0008007949800230563,0.028298321152023423,-30.964786580001654
52,0.0007380206370726228,0.027166535242327514,-31.31931493947348
53,0.0006955185090191662,0.026372684903497524,-31.576913081479514
54,0.0007292168447747827,0.027004015345403407,-31.371433077786605
55,0.0007223818101920187,0.026877161498045487,-31.41233198232606
56,0.0007367164362221956,0.027142520815543195,-31.326996408808622
57,0.0007443764479830861,0.02728326314763478,-31.282073763698524
58,0.0007418858003802598,0.027237580663125347,-31.296629411922765
59,0.0007537658675573766,0.027454796804153855,-31.2276353240393
60,0.000730707950424403,0.027031610207762374,-31.362561673137908
61,0.0007334480178542435,0.02708224543597232,-31.346306607696377
62,0.0007751878583803773,0.027842195645824654,-31.105930381756846
63,0.0007811369141563773,0.027948826704467886,-31.072728382721607
64,0.0007633291534148157,0.027628412068282458,-31.17288150528924
65,0.0007712896913290024,0.02777210275310464,-31.127824731608126
66,0.0007175497012212873,0.026787118195529865,-31.441480120593525
67,0.000732692948076874,0.027068301536610568,-31.350779883791585
68,0.0007746038609184325,0.027831706036792508,-31.109203426566864
69,0.0007457764004357159,0.027308906979879585,-31.273913636975674
70,0.0007313936948776245,0.027044291354694886,-31.35848787902347
71,0.0007408416131511331,0.02721840577901529,-31.302746312743686
72,0.0007642940618097782,0.02764586880186221,-31.167395146571618
73,0.0007477779290638864,0.027345528502186356,-31.262273573513895
74,0.0007438093307428062,0.027272868032951838,-31.285383779201823
75,0.0007287234184332192,0.026994877633232925,-31.374372736577246
76,0.0007232953794300556,0.02689415139821399,-31.406843092626787
77,0.0007749130018055439,0.0278372592365977,-31.10747052276421
78,0.0007916384493000805,0.02813607025332572,-31.014731205882555
79,0.0007393872947432101,0.02719167693878423,-31.31128016395212
80,0.0007367361686192453,0.027142884309137916,-31.326880087847556
81,0.0007795854471623898,0.027921057414832803,-31.081362766299176
82,0.0007626209990121424,0.027615593403223157,-31.176912404608007
83,0.0007072128937579691,0.026593474646197875,-31.504498299563938
84,0.0007505259127356112,0.027395728001562782,-31.24634308665467
85,0.0007161908433772624,0.02676174215885921,-31.449712358180406
86,0.0006904090405441821,0.026275635873260653,-31.608935303972135
87,0.0007568029686808586,0.027510052138824796,-31.21017173013258
88,0.0007327709463424981,0.02706974226590453,-31.3503175835395
89,0.0007398712914437056,0.02720057520428025,-31.30843823887224
90,0.0007266288157552481,0.026956053415796016,-31.386873834133674
91,0.000718660419806838,0.026807842505633273,-31.43476273235403
92,0.0006889853393658996,0.0262485302324892,-31.617900191667303
93,0.0007143295370042324,0.026726944026660295,-31.461013917447886
94,0.0007805479690432549,0.027938288584722845,-31.07600401953733
95,0.0007791921379975975,0.02791401329077561,-31.08355438112867
96,0.0007304842001758516,0.027027471213116695,-31.363891730912854
97,0.0007641625124961138,0.027643489513737476,-31.168142713000705
98,0.0007374056149274111,0.027155213402354456,-31.322935598100393
99,0.0007502808002755046,0.027391254083657883,-31.247761670258992
100,0.01108541525900364,0.10528729865944723,-19.55248033599024
101,0.012874496169388294,0.11346583701444367,-18.90269757637132
102,0.013733213767409325,0.11718879540045339,-18.62227819782188
103,0.01371639221906662,0.11711700226297897,-18.627601047658352
104,0.01471876259893179,0.12132090750951292,-18.321286994444815
105,0.013995971530675888,0.11830457104725872,-18.53996949590313
106,0.014736711047589779,0.12139485593545461,-18.31599431895151
107,0.014536285772919655,0.12056652011615686,-18.375465476990506
108,0.0143507719039917,0.1197947073287952,-18.43124738328723
109,0.014362471178174019,0.11984352789439244,-18.42770829821329
110,0.015176896937191486,0.12319454913749832,-18.188170150554694
111,0.014796432107686996,0.12164058577500766,-18.298429942501397
112,0.01483398862183094,0.12179486287126785,-18.287420584425963
113,0.014013754203915596,0.11837970351337934,-18.53445504140808
114,0.01454613171517849,0.12060734519579847,-18.372524842115656
115,0.013512112200260162,0.11624161131135512,-18.692767571795326
116,0.014250779524445534,0.119376628887088,-18.46161378890152
117,0.01462517399340868,0.12093458559654753,-18.348989584814888
118,0.013981484808027744,0.11824332880982226,-18.54446704864207
119,0.014142101630568504,0.118920568576544,-18.494860460740366
120,0.014159854501485825,0.11899518688369637,-18.489412091834303
121,0.013914758339524269,0.11796083392179062,-18.565243317462127
122,0.013911215588450432,0.11794581632449043,-18.566349188727887
123,0.01375284232199192,0.11727251307101728,-18.616075362199084
124,0.013927504420280457,0.11801484830427253,-18.561266950330783
125,0.013786131516098976,0.11741435821950813,-18.60557582765985
126,0.014086201786994934,0.1186853056911214,-18.512060945642524
127,0.013698771595954895,0.1170417515075492,-18.633183753996
128,0.01415454875677824,0.11897289084820223,-18.491039712699095
129,0.014390789903700352,0.11996161846065746,-18.41915367188956
130,0.01354461070150137,0.11638131594676772,-18.682334729209163
131,0.014765724539756775,0.12151429767626842,-18.30745237767779
132,0.015255777165293694,0.12351427919594436,-18.165656634721522
133,0.015385868959128857,0.12403978780669071,-18.128779707523982
134,0.014603382907807827,0.1208444574972631,-18.355465272284874
135,0.015050381422042847,0.12267999601419478,-18.22452493599079
136,0.013789651915431023,0.11742934861196762,-18.6044669634159
137,0.014245511963963509,0.11935456406842392,-18.463219382020483
138,0.014628876931965351,0.12094989430324175,-18.347890136540407
139,0.015134925954043865,0.12302408688563336,-18.20019699440069
140,0.015882251784205437,0.12602480622562146,-17.990879233115898
141,0.015001177787780762,0.12247929534325694,-18.238746418340824
142,0.014843104407191277,0.12183227982431945,-18.284752576881665
143,0.015033889561891556,0.12261276263868927,-18.229286443810807
144,0.014410045929253101,0.12004185074070252,-18.413346349535754
145,0.01462593674659729,0.12093773913298235,-18.348763091192893
146,0.014859672635793686,0.12190025691438754,-18.2799075814169
147,0.015328388661146164,0.12380786994834442,-18.1450349631021
148,0.014968575909733772,0.12234613156832451,-18.248195158869972
149,0.01471150666475296,0.12129099993302454,-18.32342847144629
150,0.01529416162520647,0.12366956628534957,-18.154743245979578
151,0.014871484600007534,0.1219486965900314,-18.276456742885635
152,0.0140392379835248,0.11848729038814584,-18.526564640389374
153,0.014962869696319103,0.12232280938696226,-18.24985106086762
154,0.014922897331416607,0.12215931127595885,-18.26146848921833
155,0.01408251654356718,0.11866977940304423,-18.513197299008333
156,0.015411408618092537,0.12414269458205157,-18.121576645193265
157,0.015575035475194454,0.12479998187177134,-18.075709554769052
158,0.014270187355577946,0.1194578894656102,-18.45570324926032
159,0.014166247099637985,0.11902204459526809,-18.487451871406705
160,0.014009693637490273,0.11836255166855043,-18.535713617165243
161,0.014344521798193455,0.1197686177518696,-18.433139252058872
162,0.015121723525226116,0.12297041727678294,-18.203987065307977
163,0.015167131088674068,0.12315490688021354,-18.19096559634392
164,0.014352958649396896,0.11980383403462885,-18.430585663401814
165,0.014049850404262543,0.11853206487808496,-18.523282998833974
166,0.01494278758764267,0.12224069530088034,-18.255683770184984
167,0.015289997681975365,0.12365273018407384,-18.155925804284504
168,0.015552565455436707,0.12470992524830053,-18.081979621842862
169,0.015132617205381393,0.12301470320811815,-18.200859536980293
170,0.014707313850522041,0.12127371459026907,-18.324666397416514
171,0.014258274808526039,0.11940801819193735,-18.459330191169062
172,0.01472557708621025,0.12134898881412343,-18.319276764766364
173,0.01472430769354105,0.12134375836251755,-18.319651156881015
174,0.01447466854006052,0.12031071664677474,-18.393913725311563
175,0.014194895513355732,0.11914233300282369,-18.478677999074126
176,0.014448856003582478,0.12020339430973852,-18.401665370596398
177,0.014155462384223938,0.11897673043172743,-18.49075939959265
178,0.014928714372217655,0.12218311819649086,-18.259775911425237
179,0.014487747102975845,0.12036505764953484,-18.389991436396553
180,0.014347181655466557,0.11977972138666276,-18.432334028805723
181,0.014264813624322414,0.11943539519054816,-18.457338982064915
182,0.014249264262616634,0.11937028215857008,-18.462075591596605
183,0.014931312762200832,0.12219375091305133,-18.259020073910893
184,0.014686593785881996,0.12118825762375658,-18.3307891704344
185,0.014844468794763088,0.1218378791458678,-18.28435338898577
186,0.014477084390819073,0.12032075627596044,-18.393188939728816
187,0.015688596293330193,0.12525412685149417,-18.04415912329728
188,0.01402016170322895,0.11840676375625234,-18.532469773525946
189,0.014338389970362186,0.1197430163740758,-18.43499612004575
190,0.014201061800122261,0.11916820800919288,-18.476791826103042
191,0.014607243239879608,0.1208604287592908,-18.354317388005793
192,0.014033468440175056,0.11846294121021585,-18.528349777053688
193,0.014509802684187889,0.12045664234149933,-18.38338493403136
194,0.014495239593088627,0.12039617765148787,-18.387746017580124
195,0.014668875373899937,0.12111513272048187,-18.336031811554847
196,0.014470556750893593,0.12029362722477693,-18.39514759192687
197,0.014411704614758492,0.1200487593220292,-18.412846478466577
198,0.014576484449207783,0.12073311248041187,-18.36347206361647
199,0.014164471067488194,0.11901458342357962,-18.487996383521644
